,OPEN,HIGH,LOW,CLOSE,VOLUME,30DSMA,90DSMA,120DSMA,30DEMA,90DEMA,120DEMA,30DSDEV,90DSDEV,120DSDEV,30DMOM,90DMOM,120DMOM,30-90MACD,30-120MACD,120DBBAND_LOW,120DBBAND_HIGH,90DBBAND_LOW,90DBBAND_HIGH,30DRSI,90DRSI,120DRSI,PVT,30DATR,90DATR,120DATR,30DSTOCH,90DSTOCH,120DSTOCH,OSC
2014-12-31,99.0655871863,100.034008708,98.5745565557,99.1065064055,11337219.0,99.240175855,101.215513275,103.181605982,101.145049059,101.53456616,100.211166449,3.89086724438,3.79482535623,4.93919201509,-3.62817077074,-7.31090050044,-10.7890341341,-1.97533741963,-3.94143012676,98.2424139666,108.120797997,97.4206879183,105.010338631,46.0882352941,46.5894629677,46.116838488,-94211.0353462,2.74613426758,2.34876318317,2.21566205621,50.7668463573,31.9897451972,45.2470436335,245.879995727
2014-12-30,99.5429780772,100.388641941,99.1883448439,99.8839715707,8743369.0,99.3611148806,101.296745502,103.2715146,101.192697735,101.553338824,100.217567827,3.94261192093,3.8272825469,4.96253100849,-2.8234261261,-7.59733503498,-11.1436673673,-1.93563062172,-3.91039971886,98.308983591,108.234045608,97.4694629555,105.124028049,46.9058295964,46.465287473,45.9994123984,-24828.3498261,2.74067837168,2.35073336779,2.21770801717,51.5803138106,31.7149376455,45.6323943755,-127.130511954
2014-12-29,100.306803503,101.029709709,99.7066549541,99.9521702694,9892119.0,99.4552290849,101.381160336,103.364378494,101.223287759,101.566245622,100.219500982,3.9889501647,3.8792036986,5.00271030731,-2.1687186186,-8.10200540534,-12.4121631631,-1.92593125124,-3.90914940938,98.3616681869,108.367088802,97.5019566375,105.260364035,47.6500147798,46.2481051036,45.5842391304,-100406.609807,2.72158273605,2.34967249915,2.22486888053,52.2151170281,31.6258687964,46.031905321,80.3489253587
2014-12-26,101.207026325,101.807174874,99.3383819811,100.143126626,10584997.0,99.5275197055,101.471182618,103.467813187,101.252998722,101.578724929,100.221050139,4.01781375063,3.93921434435,5.05955981368,-2.9598235235,-7.62461451446,-11.2391455455,-1.9436629129,-3.94029348179,98.4082533736,108.527373001,97.531968274,105.410396963,46.8468468468,46.4722958475,46.0239336036,-155999.874504,2.74795289955,2.34800541985,2.22384590005,52.7037648199,31.610304257,46.4783377945,111.319089983
2014-12-24,101.520740339,101.561659559,99.8294126117,100.920591791,6875691.0,99.6261804896,101.555900557,103.561472733,101.278940752,101.589824335,100.221501699,4.06946029284,3.99196726274,5.10135159424,-3.58725155152,-6.88806856852,-10.216165065,-1.92972006783,-3.93529224388,98.4601211392,108.662824328,97.5639332947,105.54786782,46.2288500143,46.7912059982,46.3721786302,160385.117836,2.72476534199,2.32845512622,2.21532106271,53.3694053295,31.5856763751,46.8817295999,115.790608515
2014-12-23,100.565958558,102.830155354,99.9248907899,102.02541071,13706536.0,99.7457555413,101.632434653,103.646607442,101.287316762,101.594998543,100.217450521,4.16049106426,4.04532279458,5.14199362117,-2.305116016,-5.11490240236,-9.02950770764,-1.88667911132,-3.90085190104,98.5046138212,108.788601064,97.587111858,105.677757447,47.5285171103,47.607502871,46.7701014832,159820.872105,2.6924846246,2.31163278054,2.20418194193,54.1763084773,31.519919849,47.2484256169,108.408708799
2014-12-22,99.8021331322,100.770554654,99.1065064055,100.306803503,17871762.0,99.8225927418,101.689266902,103.72185334,101.270064634,101.591670787,100.206973497,4.22483246533,4.08662418461,5.18396612454,-4.44655515512,-6.915348048,-9.35686146139,-1.8666741597,-3.89926059807,98.5378872154,108.905819464,97.6026427169,105.775891086,45.0962695548,46.7150447065,46.6451486698,1261715.90307,2.64247224556,2.29890235678,2.19929436852,54.6983700234,31.3280346863,47.5728334701,148.366816334
2014-12-19,96.0512047038,100.729635435,95.2328203195,100.729635435,38468954.0,99.970811247,101.766104102,103.799827185,101.292579796,101.601604813,100.206394987,4.31934702177,4.12516871244,5.20250427609,-2.63246976975,-6.49251611607,-8.64759499493,-1.79529285506,-3.82901593841,98.5973229093,109.002331462,97.6409353896,105.891272815,47.1575846834,46.9034608379,46.896416683,2044072.56267,2.65929459124,2.29071851294,2.19224716965,55.6963575601,31.2476322619,47.9069638312,148.29714437
2014-12-18,96.2694405397,97.3469799791,93.582411811,97.3469799791,22882705.0,100.058560239,101.83824317,103.871890477,101.305737996,101.608346496,100.203362826,4.36182525116,4.16343139466,5.21948371009,-4.39199619616,-9.05678718712,-11.1027481481,-1.7796829307,-3.81333023771,98.652406767,109.091374187,97.6748117754,106.001674565,45.0704225352,45.572152574,45.9437911102,1621071.68245,2.57336423088,2.24222166053,2.15678384633,56.4993864181,31.1415824477,48.215492057,115.416956784
2014-12-17,92.0002020012,95.6283727719,91.8774443435,94.4280756748,23323043.0,100.204960113,101.938874139,103.964413378,101.398269579,101.64129351,100.219915499,4.34133385133,4.16310911538,5.20122246123,-6.56071481476,-12.3030452452,-14.7445586585,-1.73391402624,-3.75945326574,98.763190917,109.16563584,97.7757650234,106.101983254,42.2594142259,43.8286808976,44.5254735136,721178.793001,2.50471087419,2.21418441773,2.13393728227,57.6639773259,31.1683266629,48.610005542,37.2505852131
