,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,85.4601883061,86.1738193381,85.3327581072,85.5111639536,6389200.0,88.8435317597,87.9620097575,2.63750433381,-6.04031876727,0.387193305614,86.2060274259,91.4810360936,28.5714874895,-64915.105509,1.4308883298,28.8429376163
2013-12-31,86.6580602832,86.6835519296,85.4856790163,86.1483267488,4992000.0,89.05925743,88.0234382762,2.60162952776,-5.91287667234,0.618491077831,86.4576279023,91.6608869578,32.0176610182,-4914.03021324,1.44909264215,28.7644673872
2013-12-30,86.3267268276,86.9129276369,86.1738151826,86.4541697643,3917800.0,89.2704315969,88.070436469,2.59656734148,-4.38368278537,0.948868568543,86.6738642554,91.8669989384,32.7355651999,-23865.3394203,1.43998975706,27.9206661357
2013-12-27,86.8874402441,86.9638947954,86.071870659,86.1738194059,4029800.0,89.4269916964,88.1109469203,2.55225057409,-7.79887769831,1.27219425627,86.8747411223,91.9792422704,28.9721396331,-39210.4336983,1.48186033666,26.7641282245
2013-12-26,87.0403630578,87.6265537024,86.5816051614,86.9638957623,2219800.0,89.7055230427,88.1594994949,2.60899879057,-7.21269491978,1.5462806424,87.0965242521,92.3145218333,45.2488377102,-2599.26681277,1.56014056403,26.1419038907
2013-12-24,86.8874418991,87.2697426971,86.5051385524,87.0658452,1736800.0,89.9631192899,88.1894663603,2.68329247144,-5.70898839225,1.76558866016,87.2798268184,92.6464117613,27.5482694684,27058.545109,1.86779944252,23.7006798426
2013-12-23,87.2187695972,88.1617693966,86.734517502,87.0658452,4838000.0,90.1670117324,88.2176290392,2.67186368398,-4.72774889352,1.94173104251,87.4951480485,92.8388754164,23.7530426539,37153.4076363,1.94607901024,22.3762182396
2013-12-20,86.224789581,86.7854885569,86.046386288,86.5816012638,11420000.0,90.3358599072,88.2464975935,2.6174582262,-4.24731402224,2.16102999528,87.718401681,92.9533181334,25.8660774164,-70047.7361633,1.94061763934,24.3082767772
2013-12-19,87.1932732534,88.4930923378,85.5621341318,86.5051338878,6714600.0,90.4875496937,88.288226908,2.51280966964,-5.4153884213,2.34201008435,87.9747400241,93.0003593634,26.0368627177,-8603.30870425,1.98613006173,25.6899657514
2013-12-18,87.1677910984,87.5755758859,84.4407328783,87.550094434,9758400.0,90.680956423,88.3329187294,2.40084968038,-3.58346128388,2.60959192259,88.2801067427,93.0818061034,27.83252543,30390.4828476,1.84231292549,26.9650259661
2013-12-17,87.524603729,87.6010582798,86.3777064538,86.9129316388,6142200.0,90.8089371832,88.3525396035,2.32198887688,-7.03848450035,2.85395276854,88.4869483063,93.1309260601,22.6804328062,-10223.5095507,1.6639072629,27.9281822237
2013-12-16,87.3461978698,87.9323885075,86.1738191426,87.4991197151,7552600.0,91.0603116296,88.3886222427,2.26487750417,-6.17305858813,3.10287342606,88.7954341255,93.3251891338,20.6572877621,15081.2911974,1.72216308461,30.8566183349
2013-12-13,87.2442507286,87.6520355268,86.0208988835,87.1423019806,7754600.0,91.2807780078,88.4109169226,2.20504388753,-6.1744624855,3.33461508884,89.0757341202,93.4858218953,21.2121491093,-105800.290333,1.6566270306,35.4612459626
2013-12-12,87.9833586667,88.0343317639,86.7090312296,87.3207134967,8419800.0,91.5012945251,88.4427137564,2.08110179871,-6.47839302202,3.60327265976,89.4201927264,93.5823963238,28.1995671386,-88085.2631552,1.66390835135,39.7798960167
2013-12-11,88.3401685594,89.0792810265,87.9833594227,88.2637140097,6476200.0,91.7326657045,88.4708358087,1.95543265646,-5.89079575067,3.86376720025,89.777233048,93.6880983609,35.9476908112,-9571.86831834,1.65116502631,42.559934609
