,OPEN,HIGH,LOW,CLOSE,VOLUME,30dSMA,90dSMA,120dSMA,30dEMA,90dEMA,120dEMA,30dSDev,90dSDev,120dSDev,30dMOM,90dMOM,120dMOM,30-90MACD,30-120MACD,120dBBand_low,120dBBand_high,90dBBand_low,90dBBand_high,30dRSI,90dRSI,120dRSI,PVT,30dATR,90dATR,120dATR,30dSTOCH,90dSTOCH,120dSTOCH,OSC
2014-12-31,44.0380867293,44.3589681015,43.0754426127,43.5300245567,12414512.0,48.0740613218,59.9101569812,64.959797314,56.680608975,64.5031637219,65.4250499241,7.11596157821,10.9611534557,12.98083793,-13.5304978608,-34.13910399,-40.2091099473,-11.8360956595,-16.8857359923,51.9789593841,77.940635244,48.9490035256,70.8713104369,35.5428571429,34.0996836625,34.8834871424,125935.53996,2.41106697718,2.09999031358,1.9910243476,19.6640267325,14.1364697638,34.1339210991,197.313493243
2014-12-30,43.2893635275,44.626369245,43.2091431845,44.1183070724,14736631.0,48.5250779172,60.2894803589,65.2948732303,56.9879893149,64.6653185838,65.5519290758,7.24563150223,10.9786285469,12.9419231134,-12.6213339729,-34.1925842187,-39.1849635677,-11.7644024418,-16.7697953131,52.3529501169,78.2367963437,49.310851812,71.2681089058,36.4367816092,34.0827047078,35.251610306,106548.373987,2.42265436006,2.09701918976,1.99147001618,19.6591231526,14.6428274315,34.8271913726,212.076655472
2014-12-29,44.1183070724,44.5728890163,43.0754426127,43.2626234132,12152461.0,48.9457890496,60.6693979613,65.6214145933,57.2888038777,64.8241788472,65.6761346896,7.34665202312,11.0043246792,12.8973879847,-12.4074130581,-35.8504713083,-40.5219692852,-11.7236089118,-16.6756255438,52.7240266087,78.518802578,49.6650732821,71.6737226406,36.7276887872,33.3026128976,34.7052886556,236405.078363,2.44137244011,2.09701918976,1.99770937619,19.4209806144,15.1892835269,35.4954803607,255.454227774
2014-12-26,42.7010810118,44.9472506172,42.5941205544,43.9311262719,11115330.0,49.3593694849,61.0677365314,65.9590976707,57.616650305,64.9908831388,65.8060189139,7.3649010363,11.0160061846,12.8374037648,-13.5037577465,-33.3369005595,-39.051262996,-11.7083670466,-16.5997281859,53.1216939059,78.7965014355,50.0517303469,72.083742716,35.8859698155,34.6416340207,35.2752571083,446308.043447,2.47078656589,2.1044469993,1.99770937619,19.0603805824,15.8076864668,36.1967146019,2694.27417848
2014-12-24,41.6849566666,42.5673804401,41.257114837,42.326719411,5623270.0,49.8094947431,61.4381465377,66.2845248623,57.9365342657,65.1537077784,65.9327821423,7.43403398896,10.993767685,12.7690954073,-14.7605431209,-35.1552283352,-40.4684890565,-11.6286517946,-16.4750301193,53.515429455,79.0536202697,50.4443788527,72.4319142226,34.1561423651,33.5937305014,34.5760293518,234494.39834,2.43513308009,2.08870004307,1.98634482759,19.0050276944,16.3013190969,36.8946143921,581.080653943
2014-12-23,41.6047363235,43.0487024984,41.2838549513,42.1395386105,11175829.0,50.3015128471,61.8287601858,66.6217622712,58.3013963922,65.3301958957,66.0695776315,7.41013402549,10.931464422,12.665013228,-13.851379233,-34.6204260482,-40.2278280273,-11.5272473387,-16.320249424,53.9567490432,79.2867754991,50.8972957638,72.7602246078,35.4166666667,33.9235602354,34.6958290946,-549304.285352,2.44582912583,2.08572891926,1.98901883903,19.0939889642,16.8496955517,37.6140047823,1024.06294538
2014-12-22,43.8509059289,43.9578663863,40.8560131217,41.3640752944,14568392.0,50.7632254882,62.2134315864,66.9569941714,58.6791619104,65.5094957725,66.2082508165,7.31495551377,10.8395775631,12.543358006,-15.4825262083,-35.2621887926,-39.1849635677,-11.4502060982,-16.1937686832,54.4136361654,79.5003521774,51.3738540232,73.0530091495,33.7268128162,33.5273690259,35.2099313686,125551.359689,2.44048110296,2.07919244686,1.99124718189,18.9616629287,17.3602023521,38.3505498385,1463.79739089
2014-12-19,42.2999792966,43.8241658145,41.791917124,43.6369850141,23998380.0,51.2793096952,62.6052336841,67.2835355344,59.0838828749,65.6961774899,66.3522216575,7.1737591814,10.7140575507,12.3804923976,-11.1506276837,-33.8984429608,-34.2915226417,-11.3259239889,-16.0042258393,54.9030431369,79.664027932,51.8911761333,73.3192912348,38.2269904009,33.9600678189,37.0907992752,1856710.92326,2.41017564003,2.06285126587,1.99080151332,19.129975494,17.8831206829,39.0916672919,-68.6399608146
2014-12-18,41.4710357518,42.1127984962,40.3212108347,42.0860583818,21206746.0,51.6509972846,62.9818830503,67.5692982231,59.4449369972,65.8667294467,66.4838556617,7.05197530775,10.6352973977,12.2248786459,-11.5249892846,-36.7596351962,-34.9065452718,-11.3308857657,-15.9183009385,55.3444195772,79.794176869,52.3465856525,73.617180448,37.734775185,32.5665153321,36.7981391586,2462389.74877,2.40571895431,2.05690901824,1.99213851903,18.5178405401,18.4003095461,39.7558120288,-80.9234624172
2014-12-17,37.9948208863,40.5351317495,37.8076400859,40.2409904917,22364904.0,52.0351635941,63.3903234414,67.8601861004,59.8506815511,66.0505911525,66.6252403323,6.82315162587,10.5291254115,12.0271124291,-15.1349047218,-38.658183315,-35.6017882449,-11.3551598473,-15.8250225063,55.8330736713,79.8872985295,52.8611980299,73.9194488528,33.8654503991,31.3491756328,36.4640097601,1756398.69253,2.4075016286,2.04769853441,1.99548103333,17.8378921659,19.0357986631,40.4469731025,-58.9475934486
