,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,176.821346627,178.270582853,174.851286604,175.326814976,4958100.0,173.638246865,173.071341816,3.47196937003,-2.96597808295,-1.23505196265,170.166277495,177.110216235,60.8064528508,-40192.2569326,3.25916310283,58.4141492536
2013-12-31,176.866627012,178.474371174,175.89292143,178.247932544,3397400.0,173.744174654,173.014810158,3.5692762197,-1.91768953309,-0.823075708124,170.174898434,177.313450873,62.9382202215,3601.23332911,3.27048510011,53.4551190822
2013-12-30,177.930914111,178.587601542,176.051431347,176.119362031,4028500.0,173.812663566,172.883646069,3.67570902804,-5.71600243878,-0.417293962005,170.136954538,177.488372594,54.7263684239,-14648.3709125,3.28827722536,47.2524812415
2013-12-27,176.957206675,177.976194097,175.847639726,177.772404311,3488600.0,174.01680651,172.802545399,3.95656316259,-6.2291343739,0.114555641606,170.060243347,177.973369672,57.6419212343,73926.9802575,3.36267868168,43.5028552427
2013-12-26,174.556915944,177.002490764,174.37575915,176.617539654,3640400.0,174.239275595,172.677979802,4.33279123769,-8.12860318204,0.578136244586,169.906484357,178.572066832,60.310956672,75236.43499,3.4791353561,38.40511343
2013-12-24,172.405693533,174.602194425,172.043393538,174.171947897,1849900.0,174.529582851,172.579237838,4.75024944514,-10.0552275291,0.990641861952,169.779333406,179.279832296,54.458873489,27557.1063431,3.49531059662,32.0123796027
2013-12-23,173.198241652,173.764349551,171.81693838,171.930166753,5214500.0,174.88869812,172.539317816,5.09013533115,-9.83750621005,1.56118407965,169.798562789,179.978833451,48.5347972973,102774.64743,3.53089495876,26.2017554106
2013-12-20,170.095980077,172.926519545,168.941115445,171.816936752,9322500.0,175.240037627,172.554585707,5.2163098212,-14.1928091228,2.17377817012,170.023727806,180.456347449,48.4876141818,32957.0258188,3.66999580546,22.703816498
2013-12-19,171.296128017,171.386707545,168.148570369,170.00540201,6374800.0,175.746923668,172.573074297,5.55024804042,-15.8238267237,2.65377063541,170.196675627,181.297171708,42.2906759572,142172.420622,3.65220384707,19.1783061744
2013-12-18,167.990061629,171.907519255,166.47289698,171.794306732,8990400.0,176.312060336,172.637430979,5.74613241633,-10.1087637721,3.26127338854,170.56592792,182.058192753,48.1610171234,68054.148853,3.71091639762,17.8989414933
2013-12-17,171.273479434,172.383046386,167.695672985,167.899480886,7275800.0,176.673087614,172.658563224,5.7692889887,-16.6661617583,3.81504376858,170.903798625,182.442376603,32.1263792598,-97784.0010596,3.75789449249,15.1452037957
2013-12-16,171.182899653,171.499917811,169.280786173,171.205548498,5083600.0,177.268307677,172.777845873,5.68976661892,-11.4646956427,4.53361158628,171.578541058,182.958074296,36.1068782835,-4827.69175727,3.60198363543,15.656864484
2013-12-13,172.066026125,172.360413555,168.601448046,169.778963799,6089300.0,177.677761092,172.817254267,5.64968895475,-15.41847189,5.12187024061,172.028072138,183.327450047,23.1884801937,17439.060946,3.96406220881,13.935490509
2013-12-12,169.461944292,172.654783801,168.873187546,171.114970308,5923400.0,178.228420803,172.893406624,5.60250201644,-12.9316879773,5.80048041877,172.625918786,183.830922819,34.9347983478,2996.48320908,3.98406369831,17.2072496562
2013-12-11,171.205550236,172.292484203,168.714679992,169.258136785,5387500.0,178.690266802,172.937981729,5.52688727577,-16.413144292,6.43221462412,173.163379526,184.217154078,33.5272734336,-126764.661443,3.83482909185,17.1644579957
2013-12-10,172.790644369,173.696419272,170.865879774,171.228197888,4867100.0,179.276450527,173.030214142,5.35724986629,-14.8041005222,7.09750436945,173.91920066,184.633700393,33.6465717364,-72700.6843166,3.84681856442,17.1254188289
2013-12-09,174.647477201,174.647477201,171.069686618,173.537910253,5066900.0,179.805168403,173.07538026,5.26323137967,-12.7651638687,7.63251895805,174.541937023,185.068399782,34.4534704191,95568.421003,3.90734794371,17.5815598942
2013-12-06,173.696419028,174.670126879,172.949154337,173.809649666,6102400.0,180.261067112,173.06378731,5.2531047444,-9.89854382263,8.10348387134,175.007962368,185.514171857,32.1697352555,71148.2018262,3.92095059706,17.8414083178
2013-12-05,170.616791637,173.266190185,170.209193951,170.911179066,5986200.0,180.614586534,173.045092858,5.13459768338,-12.9098424782,8.62009398076,175.479988851,185.749184218,23.8236342701,-63950.4105508,3.90066021306,19.8221708524
2013-12-04,172.043394042,173.243540515,170.073331773,171.839586142,6694500.0,181.075652337,173.098577725,4.79970424662,-11.8686073465,9.19786476159,176.275948091,185.875356584,26.1932802062,-28547.2218893,3.81607687703,23.8174085809
2013-12-03,171.567869152,173.69642129,169.801596637,172.654785008,5831900.0,181.499531171,173.130133357,4.46632604751,-11.0308389946,9.88384394169,177.033205123,185.965857218,33.5277331855,-27695.7729837,3.96355354591,26.9958511013
2013-12-02,174.919215535,175.711764333,171.97544765,172.564204397,4653800.0,181.893489706,173.142047589,4.13118949692,-14.7768190726,10.4590171964,177.76230021,186.024679203,28.8677158502,-5610.14113944,4.10117729291,27.158913906
2013-11-29,173.057907075,176.51023886,172.042526789,173.712269879,4093900.0,182.421233245,173.156530773,3.82798326527,-11.4174767248,11.0580785009,178.59324998,186.24921651,30.3584681091,-140725.85217,4.04382119753,30.9325378277
2013-11-27,175.743049736,176.126635892,170.034320288,172.651753467,8571100.0,182.829000271,173.14260161,3.45595374582,-13.6287511694,11.4320869616,179.373046525,186.284954016,36.2784447372,-197075.045938,4.0599379687,34.0577893905
2013-11-26,176.98408374,177.299979678,174.795358276,176.058944286,6987200.0,183.315741384,173.154904332,2.88148943154,-4.44514258821,11.8680907362,180.434251952,186.197230815,37.0978764111,-291789.07434,3.93905984465,33.5132752343
2013-11-25,182.828191207,183.369726457,176.149203061,176.848687408,7255000.0,183.474496476,173.082116859,2.57278566589,-5.34771134425,12.0990344768,180.90171081,186.047282142,41.4569600995,-146591.363282,4.00030511387,36.0448920111
2013-11-22,180.233313149,183.572815155,179.533828794,183.437434726,5274000.0,183.665486167,172.987710737,2.23962574976,4.94155746218,12.3865362625,181.425860417,185.905111917,47.0676788429,154922.029238,3.74565194891,38.4850311276
2013-11-21,179.105103934,179.849723367,178.157411602,179.556396097,5774700.0,183.489001972,172.72579664,2.44366661691,-0.361017332709,12.5475192798,181.045335355,185.932668589,41.7700806652,-16810.5162481,3.60059633079,39.4056557273
2013-11-20,181.65486373,181.722553945,177.976897118,178.292793059,5554300.0,183.501895448,172.554593047,2.42301371431,0.970260262597,12.7713478038,181.078881734,185.924909163,36.6530638704,-115237.502897,3.79722700096,42.853518792
2013-11-19,181.045621941,182.241520001,178.563569193,180.165622077,6261800.0,183.467243296,172.410769586,2.50579351584,4.1969363619,12.8714706403,180.96144978,185.973036812,38.773767095,-108735.805058,3.71986369322,48.2750346372
2013-11-18,184.520503646,184.723590084,180.955362353,181.83536447,4352100.0,183.317352712,172.216400319,2.81682519449,11.2369402128,12.9859318221,180.500527517,186.134177906,40.9671531149,-71614.8828792,3.68440557123,53.0704415856
2013-11-15,184.926660097,186.00974866,182.534866223,184.001538685,5056400.0,182.916033418,171.975308563,3.69833227552,11.3497852182,13.168569939,179.217701143,186.614365694,50.582981272,-8472.80335463,3.60220711213,57.088247403
2013-11-14,184.45281331,185.174866329,183.302036799,184.746142836,4226700.0,182.510683946,171.673880582,4.16721487741,9.07078536801,13.362469688,178.343469069,186.677898824,51.8859025665,93200.984301,3.51839658029,58.6227869386
2013-11-13,181.023069682,184.272294714,179.037412607,184.227175426,6008000.0,182.186727326,171.34623463,4.33614962404,6.92719516586,13.5081895625,177.850577702,186.52287695,51.075782229,-69186.4092335,3.5248423541,59.6139202467
2013-11-12,185.107174924,185.332814234,180.188188764,181.767672963,6598400.0,181.939327499,171.023383999,4.41236607275,5.7538482768,13.6872883524,177.526961426,186.351693571,45.5775399595,-146743.567607,3.33465874966,60.971221413
2013-11-11,185.806659438,188.130765324,185.197433976,186.009745874,3847200.0,181.733832917,170.754086863,4.55241914272,9.07079989616,13.9045784543,177.181413775,186.28625206,46.8449453914,151206.332127,3.21539003636,64.9763499904
2013-11-08,181.496915144,186.054865788,181.361518921,185.829228733,6832400.0,181.409875778,170.371715792,4.55960930805,10.695405739,13.9931852546,176.85026647,185.969485086,51.5121782486,70303.6169518,3.26535433376,66.8411088253
2013-11-07,185.513333343,185.829229282,181.429207416,181.903070504,5349000.0,181.027897002,169.984285411,4.62322534578,8.32617879588,14.147374827,176.404671656,185.651122348,39.2461639713,-33126.3538837,3.25246037209,68.2206601892
2013-11-06,184.204609363,186.032299312,183.14408947,184.565642645,4244300.0,180.730533473,169.685550455,4.82807909605,9.95080158821,14.3995547721,175.902454377,185.558612569,58.6538553807,-22726.3129656,3.49421777129,74.1339775957
2013-11-05,183.978969759,184.294867956,181.474348333,182.670244141,4892700.0,180.375147702,169.31259267,4.90100763468,8.03283359886,14.5687649479,175.474140068,185.276155337,51.0184242075,-42746.5604237,3.49099478999,76.9325681905
