,OPEN,HIGH,LOW,CLOSE,VOLUME,14dSMA,28dSMA,60dSMA,14dEMA,28dEMA,60dEMA,14dSDev,28dSDev,60dSDev,14dMOM,28dMOM,60dMOM,30-60MACD,30-90MACD,60dBBand_low,60dBBand_high,28dBBand_low,28dBBand_high,14dRSI,28dRSI,PVT,14dATR,28dATR,14dSTOCH,28dSTOCH,OSC
2017-01-04,55.6462168997,56.3999261017,55.363575949,56.0701783258,9749900.0,55.2390793398,53.8581345177,46.428924609,50.9252835567,45.4752859819,39.1315651245,0.722159280508,2.3601732818,8.22366996458,1.55452522897,7.20746201046,20.4309460784,7.0899298537,11.4677740681,38.2052546444,54.6525945735,51.4979612359,56.2183077995,58.2089552239,66.6794504026,253938.834383,1.61509114698,1.56923747022,72.470062845,91.6117172697,111.688990112
2017-01-03,55.7875373751,56.541246577,54.2330121461,55.1751486485,15930600.0,55.1280418234,53.6007251601,46.088408841,50.664145992,45.2097333544,38.9347479197,0.703818799195,2.49894111564,8.24066265871,0.329747775842,6.49999757876,19.5828112455,7.20739072213,11.5104635292,37.8477461823,54.3290714997,51.1017840445,56.0996662758,51.8518518519,65.5514616216,393390.436434,1.6621979721,1.57071251068,71.7111285425,91.4529741546,127.207029458
2016-12-30,54.2330121461,55.363575949,53.9032643703,54.8454008727,17939300.0,55.1044884108,53.3685823895,45.7620286536,50.4351826602,44.9599580732,38.7460435529,0.707628319211,2.64491562728,8.26244308262,-1.13056380289,5.46686953295,19.2999488927,7.32648282141,11.5600101738,37.4995855709,54.0244717362,50.7236667622,56.0134980168,44.1747572816,62.849929911,-2788.08704172,1.63191501309,1.53349266051,72.9976331417,91.6367346022,129.920898873
2016-12-29,55.2693622988,55.4577895992,53.7148370698,53.9503711954,13532700.0,55.1852429682,53.173337049,45.4403628387,50.211334808,44.7121872395,38.5589780316,0.739575670651,2.73220002237,8.27849227879,-1.79005935457,4.99386519124,19.4834346872,7.40808644564,11.5710485068,37.1618705599,53.7188551175,50.4411370266,55.9055370714,40.1041666667,62.0050737451,-516722.446032,1.61509114698,1.51985694265,75.8726756941,92.1011517806,144.63177658
2016-12-28,56.2114988012,56.2586056263,54.7982940476,55.1751486485,12281800.0,55.3131043507,52.9949847208,45.1156389272,50.0215538892,44.4806394386,38.3801386576,0.660133071432,2.84044840287,8.32103902438,-0.141320475361,7.53161349548,21.4584825441,7.62261822879,11.7025297273,36.7945999028,53.4366779516,50.1545363179,55.8354331236,49.1428571429,68.0292810038,-150106.761733,1.60836160053,1.52962105148,80.2902465881,92.8551397774,124.990359562
2016-12-27,55.9759646756,56.3999261017,55.74043055,56.164391976,9802400.0,55.3231986703,52.7259985245,44.7579975515,49.7599747422,44.2125899929,38.1849900416,0.658940685311,2.97955359663,8.34246858218,2.19046736809,5.51978462961,22.6821859616,7.78860203202,11.7646013439,36.4155289693,53.1004661337,49.7464449279,55.7055521211,62.7397260274,62.0524579008,73461.3035147,1.63191501309,1.58799763086,82.9553231984,92.776571708,107.493790533
2016-12-23,55.7875373751,56.1172851509,55.2693622988,55.7875373751,8572100.0,55.1667367155,52.5288633591,44.3799611188,49.4349080509,43.9130274946,37.9760794542,0.702459758453,2.9257507185,8.33074059111,2.84522868385,6.36211590163,23.2431622992,7.81383519546,11.6796243999,36.0492205277,52.7107017099,49.6031126407,55.4546140776,65.3766939325,63.3988188636,26141.715198,1.70203769043,1.67999901469,83.6337263436,92.9287229715,115.325449577
2016-12-22,55.6933237248,56.164391976,55.1280418234,55.74043055,11161500.0,54.9635060952,52.3016449341,43.9925750805,49.1124699398,43.615402262,37.7691202822,0.894396885098,2.91030908021,8.33170106277,4.11109742053,10.1601366517,22.4457897811,7.81877725099,11.5649602637,35.6608740177,52.3242761433,49.3913358539,55.2119540143,69.5438474541,68.446579107,-26208.4731652,1.73860515567,1.80881323438,84.9657299417,93.1058056673,118.521873886
2016-12-21,55.8346442002,55.9759646756,55.1751486485,55.6462168997,10701600.0,54.6698562794,51.9387829108,43.6184785841,48.7760569381,43.3114979829,37.5603037154,1.23117111233,3.09331331972,8.29912606431,3.54796359031,11.3319990082,22.9142765783,7.71196409526,11.3518246483,35.3193525198,51.9176046484,48.8454695911,55.0320962305,66.2865194342,69.7344475297,493018.621329,1.74831565757,1.85051196855,85.2756429064,93.4025517855,124.867434607
2016-12-20,55.0338281732,56.3528192765,54.7982940476,55.8817510253,20740700.0,54.4164303087,51.5340686605,43.2365739745,48.4273507114,43.0023379734,37.3501555268,1.37185684551,3.32306507557,8.26341053954,5.19024883448,14.5686100379,23.8531862631,7.51450060656,11.0381485697,34.973163435,51.499984514,48.2110035849,54.8571337361,71.5121137479,73.1418535931,678490.548488,1.81169322191,1.96593627485,86.2385414064,93.3591576866,120.676215715
2016-12-19,54.0445848456,54.7982940476,53.4793029442,54.4685462717,20147400.0,54.0456982491,51.0137611592,42.8390208701,48.0489904083,42.6795256347,37.1348287593,1.62361464498,3.73243751093,8.21840568744,5.46515013383,16.2033723221,21.4083655928,7.33577582034,10.7472604178,34.6206151827,51.0574265576,47.2813236482,54.7461986701,72.1468252923,74.4678780622,-951231.046692,1.83117544229,2.02424384863,86.6977580272,93.3509755988,160.727866503
