,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,170.659105339,170.761454182,167.281593501,169.123872685,4973200.0,161.810281434,159.170758617,5.31820648662,9.75766054301,4.05833482338,156.492074948,167.128487921,78.790166618,-13947.6565171,3.40405063998,76.0950011452
2013-12-31,169.840307667,171.887294701,169.328573701,170.966155141,5478600.0,161.461793558,158.921291656,5.13785543113,10.1766613057,4.11103443907,156.323938127,166.599648989,70.8586810179,33794.5343082,3.4894311344,72.1201560144
2013-12-30,169.737962947,170.659102526,168.612115449,169.737962947,3238400.0,161.098341368,158.619396645,4.78869983756,6.10188238917,4.19609027662,156.309641531,165.887041206,69.0671894517,9588.78085334,3.50273106619,69.9641801672
2013-12-27,169.021525469,170.249721837,166.872209972,170.045013913,4258900.0,160.880416997,158.340718542,4.51180244802,4.78231236996,4.27881366467,156.368614549,165.392219445,70.9592521748,15436.3727575,3.55258342399,67.9715081282
2013-12-26,169.735913258,170.955867533,168.109294004,169.430911982,3856700.0,160.709620127,158.047359602,4.2339874085,6.20148666984,4.31858121568,156.475632718,164.943607535,73.2824397384,22308.9294118,3.58001490789,64.8592586144
2013-12-24,168.719266058,169.634249555,167.702629025,169.430911982,2837700.0,160.48813846,157.762039832,3.91073784873,7.21813645401,4.3422351579,156.577400611,164.398876309,73.7827863479,95979.7246555,3.60179998711,60.4299264001
2013-12-23,166.584324005,168.719272007,166.177679346,168.109299935,5463600.0,160.230347872,157.469568747,3.51754813174,8.53976016972,4.38065665605,156.712799741,163.747896004,74.074094542,180961.125384,3.79060399376,55.1771520965
2013-12-20,165.059374776,166.482656473,164.55106642,165.872684412,8645400.0,159.925356438,157.20289227,3.1612769293,5.48983415466,4.41718743096,156.764079508,163.086633367,66.4179101282,110802.805744,3.79060387032,48.8107230577
2013-12-19,163.229417292,164.957710429,160.68782469,163.83941985,5656800.0,159.729290932,156.985590762,2.94134866201,2.74492874606,4.42011680084,156.78794227,162.670639594,58.5185506374,221597.047246,3.89226824288,42.5264023249
2013-12-18,159.061209793,164.246058543,156.62128097,163.737750204,7587300.0,159.631257763,156.813804937,2.8433996372,3.86322483868,4.60272711214,156.787858126,162.4746574,55.2817188865,280755.046599,3.79060453177,37.3955107051
2013-12-17,158.349563245,160.586154493,156.519616633,159.16287285,5388200.0,159.493285447,156.640261705,2.72815065086,-5.08319057722,4.74596751682,156.765134796,162.221436098,49.6031507453,160301.728329,3.42025819746,33.8946839443
2013-12-16,158.247897538,159.061207134,156.824605745,157.332924242,9345700.0,159.674827968,156.577034444,2.87075078649,-6.40482596166,5.05976923168,156.804077181,162.545578754,44.7698461447,166366.10889,3.26776410751,31.8000472351
2013-12-13,154.079695647,156.926289553,153.978031941,155.706314927,4716400.0,159.903571752,156.558088662,2.93175735456,-10.0646998398,5.326150783,156.971814397,162.835329107,39.055776655,-54705.7557804,3.20240885943,31.0277346009
2013-12-12,155.909639961,156.417948313,153.469711073,153.469711073,7290500.0,160.263025318,156.5794377,3.0139340751,-9.75971423952,5.54730291002,157.249091243,163.276959393,30.5309395186,-254133.954593,3.18062215951,32.648613176
2013-12-11,160.382845556,160.484509256,155.604631342,156.112970173,4797900.0,160.611586541,156.657380547,2.75217836286,-4.47319603922,5.80125881954,157.859408178,163.363764903,43.04345396,-133418.471256,3.19514566951,36.8017386319
2013-12-10,159.976191211,162.721111256,159.976191211,160.484519903,4305300.0,160.771343542,156.671025764,2.60739395643,0.203339291819,5.99560190936,158.163949586,163.378737498,49.2537705487,15716.9445012,3.253236303,37.287885628
2013-12-09,160.077857844,161.094494913,158.349574826,160.586166212,3622900.0,160.764081424,156.575443538,2.60850533911,-0.813310492354,6.04116233663,158.155576085,163.372586764,43.4210294481,85068.4720569,3.39120918827,36.0098987863
