,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,160.810254592,161.572649276,158.946610433,159.412522532,6494900.0,148.34952277,142.680946369,9.76226403051,20.7119540889,5.8145634144,138.58725874,158.111786801,78.8920750407,-131478.850266,3.17600250341,90.1291795422
2013-12-31,162.631530636,162.928017458,161.022026512,161.657363886,7920600.0,147.609810124,142.261582598,9.67727393999,21.1064467443,5.47863519104,137.932536184,157.287084064,76.1389585877,-41287.9689949,3.2827567404,89.621788885
2013-12-30,161.657367865,162.928021463,161.318517305,162.504456146,5971600.0,146.856008455,141.775442624,9.35933711487,21.2386426293,5.21512901793,137.49667134,156.21534557,82.1886627393,9524.95234397,3.59117615189,89.7882685626
2013-12-27,162.080912006,163.393929336,161.784425178,162.504456146,6081300.0,146.097485504,141.255886235,8.89317368183,19.7247265054,4.91689287458,137.204311822,154.990659186,85.6249583668,84808.8128709,3.93879627227,90.0684779611
2013-12-26,161.072845139,162.797023314,160.063561699,162.250328468,6526100.0,145.393030986,140.723307575,8.30732424561,20.0172953179,4.5573746321,137.08570674,153.700355232,86.6353719824,114995.728649,4.0761506042,86.3291786985
2013-12-24,158.633761506,160.484094916,158.381438535,160.399984456,2765300.0,144.678127582,140.183749761,7.63719177265,20.269609204,4.18189007585,137.040935809,152.315319354,83.0346345536,56196.9061787,4.05812723901,80.0442787648
2013-12-23,158.80197671,160.694371643,158.087065136,158.129126674,6182100.0,143.954212967,139.677045769,7.02812511749,19.0921256552,3.88032994968,136.92608785,150.982338085,82.2499864519,-20884.0962845,4.08516128243,74.7007326983
2013-12-20,158.465541065,159.979457834,156.993690038,157.708584783,11715600.0,143.272351337,139.214558902,6.50892623236,17.3258815848,3.61858356587,136.763425104,149.781277569,70.7423572816,101390.537781,4.32846758377,69.3418914799
2013-12-19,155.059251463,161.030787088,154.680769115,158.213235989,13246900.0,142.653569852,138.751020717,5.87874247818,17.7884875068,3.19819508985,136.774827373,148.53231233,74.2972074045,702483.164023,4.50268672792,68.7492342664
2013-12-18,151.442682214,156.783429461,151.274465497,156.573151205,15458200.0,142.018266726,138.263215628,5.03569814591,20.3537185194,2.84327105718,136.98256858,147.053964872,72.9448815902,804264.990422,4.18428508444,64.3060227159
2013-12-17,148.498956969,151.484724811,148.456912252,151.064201947,14160700.0,141.291348208,137.804291522,4.26727090418,12.3636335037,2.46763855427,137.024077304,145.558619112,69.8025878071,265364.648908,3.92295445186,59.3212075021
2013-12-16,148.625112618,150.096980493,147.15325736,148.541002158,10935500.0,140.849789868,137.471942316,3.83648870272,12.11128681,2.14361402215,137.013301166,144.686278571,65.7351560899,321226.859813,3.88691071457,53.2294901494
2013-12-13,145.891665859,148.877433677,144.672120968,148.204583643,13448200.0,140.417243911,137.194505054,3.61348838544,13.120570475,2.00513417965,136.803755525,144.030732296,60.5681984119,237838.304461,3.91394486422,48.6600959343
2013-12-12,145.807559481,145.933714657,142.905881099,145.008537451,7022200.0,139.948652108,136.918546111,3.41130773605,7.61160246967,1.97575971178,136.537344372,143.359959844,57.0012336811,-299521.848359,3.67063838765,47.3639793951
2013-12-11,149.676441503,150.012874936,145.807562165,146.228085031,11718500.0,139.676809163,136.715776853,3.29443533557,6.64438752281,1.99863145274,136.382373827,142.971244498,60.9816273411,196713.157571,3.58653237355,47.5789104823
2013-12-10,144.377750499,150.223130863,143.999268156,149.297957877,15417700.0,139.439509608,136.477358345,3.03407778986,10.5973894333,2.00297049232,136.405431819,142.473587398,63.2315586933,1084728.70374,3.50242641519,45.985980883
2013-12-09,138.826742237,145.21881762,138.742631777,145.176756082,13952900.0,139.061031414,136.15602012,2.34045032007,5.635122605,1.90207946399,136.720581094,141.401481734,56.5957598839,769006.686131,3.19003266399,44.3983515645
2013-12-06,138.069786637,139.499592978,137.56515331,138.742632475,5974000.0,138.859777036,135.929922482,2.01469513317,0.672851089869,1.98825081532,136.845081902,140.874472169,41.8367254103,62463.4594374,2.8836452901,42.9664444742
2013-12-05,136.892301176,137.649240644,135.168106141,135.967128173,6928300.0,138.83574664,135.859424123,2.02014948431,-3.82683325051,2.38828342471,136.815597155,140.855896124,36.0747667056,-7963.39744549,2.70942443899,46.729832215
2013-12-04,135.840972711,138.574417562,135.840972711,137.144607035,9832200.0,138.972419256,135.856724606,1.94701373149,-7.27518864173,2.90794166074,137.025405524,140.919432987,43.6265712748,-355708.380878,2.69140268143,53.0607100495
2013-12-03,141.013506286,141.265816643,135.336325613,136.429715348,10892500.0,139.232247421,135.824444847,2.16705979465,-9.7563243993,3.47570474482,137.065187627,141.399307216,44.5229798871,-5339.74788498,2.67638370786,55.4223188662
2013-12-02,139.205217292,143.28435797,138.952894327,141.728400691,14320500.0,139.580687579,135.809274219,2.46379372204,-6.60233755187,4.04662605523,137.116893857,142.044481301,53.3898263063,398117.929982,2.36098557134,57.3764815899
2013-11-29,138.952899279,139.163160713,137.270765748,137.859522156,3094900.0,139.816485348,135.660915979,2.94575303315,-9.67221508382,4.47934831453,136.870732315,142.762238381,41.9947896586,64323.3223668,2.16273547106,55.0004424367
2013-11-27,137.10256584,138.78468255,136.934349123,138.02772204,7141700.0,140.161921601,135.605809647,3.25829834171,-9.29375128494,5.03799708251,136.90362326,143.420219943,54.5073488902,28522.8758271,2.33395027256,56.0917247233
2013-11-26,137.73335053,138.448262099,135.925061863,136.724083892,5887700.0,140.49384129,135.545106322,3.49743457484,-10.9338079481,5.54811913835,136.996406715,143.991275865,45.3465669051,-158079.401639,2.4721242559,55.0207239789
2013-11-25,140.59296258,140.59296258,137.270761352,137.649239494,6086200.0,140.884334431,135.515556178,3.66721351868,-8.91527811247,5.98723278702,137.217120912,144.55154795,52.7001482672,-114360.943332,2.49615378869,56.348403238
2013-11-22,139.793959415,140.550919913,139.751897876,140.382703198,4610100.0,141.202737221,135.462077087,3.76173855101,-3.23809147612,6.45674851051,137.44099867,144.964475772,62.4999889435,74543.4579414,2.46611524512,55.6903489477
2013-11-21,139.28933087,140.845288178,139.247265127,140.256548598,6275200.0,141.318383345,135.338745471,3.78529489201,-5.00431679928,6.90473609451,137.533088453,145.103678237,56.1151080579,-15923.2039027,2.68839515254,51.280162549
2013-11-20,140.803224796,141.097613507,138.069784153,138.700568443,6556800.0,141.497108945,135.215484611,3.85087591052,-7.61162121687,7.25465634311,137.646233034,145.347984855,48.1610924006,-116765.436215,2.76048549621,46.6673766616
2013-11-19,141.391983881,141.602245309,139.751895119,140.550917142,6016100.0,141.76895256,135.128133732,3.91428918575,-2.94372293233,7.46691766829,137.854663374,145.683241746,54.0146234796,-105108.558532,2.72443905845,44.3855495883
2013-11-18,142.485358407,143.116159519,140.92939691,141.265813516,7041600.0,141.874085522,134.992215939,3.91989096698,3.99505188147,7.56205882604,137.954194555,145.793976489,53.7205113974,-49932.6606662,2.90166175076,40.1081053575
2013-11-15,142.527402468,143.074097323,141.980724434,142.77972964,6434100.0,141.731405097,134.834973159,4.01441984411,7.19108401305,7.77063851348,137.716985253,145.745824941,60.1818167449,137458.691436,2.89264954011,35.5825036746
2013-11-14,141.013505066,142.359205148,140.550920663,142.23303315,7512700.0,141.474580668,134.635844099,4.17180999889,3.15398216064,8.03158111106,137.302770669,145.646390667,55.0172833574,169926.28761,3.00378994443,30.6834334051
2013-11-13,138.322090783,140.46680868,137.943629459,140.130375252,7273500.0,141.361938448,134.445426542,4.19309840681,-1.64008478393,8.15266011443,137.168840041,145.555036855,42.0062603927,6647.56589008,3.36124112379,26.4596637808
2013-11-12,140.130373906,140.55091779,138.574416623,139.037001018,5273400.0,141.420512905,134.302937783,4.18670771226,2.39702644208,8.29999191638,137.233805193,145.607220617,37.0030442417,-52017.9448085,3.75173595046,27.4300195684
2013-11-11,139.331375013,141.181704208,138.532369799,140.382703198,4900800.0,141.334904818,134.184282218,4.2610957232,4.03709716561,8.46005796263,137.073809094,145.596000541,35.9583983456,166872.532785,3.79979648442,30.2699690943
2013-11-08,136.135346296,140.424748482,136.135346296,140.424748482,5452900.0,141.190722776,134.028923681,4.36162401844,5.71921317329,8.62137574906,136.829098757,145.552346794,37.7713216241,47750.404869,3.72470281451,33.7853944721
2013-11-07,139.2052173,139.836005791,135.840971366,136.219432686,6741200.0,140.986465163,133.868617372,4.52950973205,1.13541951743,8.88071993949,136.456955431,145.515974895,27.8523008638,-37931.1416325,3.56550348913,37.372225626
2013-11-06,136.976390233,139.289329044,136.976390233,138.700568443,4966000.0,140.945914466,133.809696039,4.57858410914,1.0092649178,9.36902405535,136.367330356,145.524498575,30.4586755979,127559.923391,3.41231145984,42.8608395254
2013-11-05,134.747586027,137.35487575,134.453214133,136.429715348,4507300.0,140.90986929,133.687110176,4.60083410506,-5.34074468761,9.7363310827,136.309035185,145.510703395,26.6924387588,-139146.477552,3.34923199677,47.7246845116
2013-11-04,137.985670468,137.985670468,134.074729728,135.084013168,10933200.0,141.100610172,133.618368939,4.51818280916,-4.79405757097,10.0651084988,136.582427362,145.618792981,31.711705018,-265321.76342,3.40330028759,53.3777429374
