,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,168.217371956,169.758174124,167.823967427,168.971384736,2745900.0,163.046994977,153.452391097,6.16377623128,10.9823666154,12.7570221318,156.883218746,169.210771208,64.97102448,-22213.2595116,4.87064015625,69.1761642274
2013-12-31,169.987652996,171.036714256,169.856530174,170.905591433,1391300.0,162.654767598,153.063419751,6.1221058516,13.473883828,12.9555421134,156.532661746,168.776873449,64.5966675943,9890.29406324,4.88937198803,64.2770672333
2013-12-30,170.217135147,170.643319562,168.807472193,169.823740453,1329100.0,162.173557461,152.616219778,5.97738129773,9.67103676289,13.1963159513,156.196176163,168.150938759,63.3354929694,-683.954947563,4.98772101276,60.5816897834
2013-12-27,170.413840689,171.266209519,168.938595015,169.692604517,1266900.0,161.828163291,152.184926833,5.79560364752,7.08116350057,13.4611309585,156.032559643,167.623766938,62.5885366918,-719.832057536,5.04626237768,57.531810583
2013-12-26,169.758174124,171.266209519,169.594261581,169.922099781,1026500.0,161.575264594,151.746110688,5.5905901611,7.9007557227,13.7729353137,155.984674433,167.165854756,64.1697953089,1973.40926464,5.12821888357,54.6378230012
2013-12-24,169.922099781,170.577753233,168.741902586,169.758174124,846700.0,161.293094747,151.290543845,5.34781654876,6.49106654219,13.9430436202,155.945278198,166.640911296,60.2473558583,8923.31555245,5.37877498876,50.3062940131
2013-12-23,170.44663041,170.938368041,168.414064385,169.561481695,1947900.0,161.061270942,150.827667245,5.10232773215,10.5889588082,14.091660632,155.95894321,166.163598674,58.8882451906,128229.837729,5.48415038228,46.4706756487
2013-12-20,166.119239602,169.823740453,165.46358615,168.873025408,5363200.0,160.683093842,150.358118949,4.83435233548,10.0972080646,14.0810971315,155.848741506,165.517446177,57.1756651038,61555.4108815,5.46073430464,43.3546570462
2013-12-19,167.135524254,167.955103363,164.971835407,165.168537671,3310500.0,160.322479268,149.894057409,4.57018320321,10.7856643509,13.8680064903,155.752296065,164.892662471,54.1385734585,77802.9019559,5.22656884497,41.5195544171
2013-12-18,163.36546691,168.250151842,161.529603149,168.151805627,4975300.0,159.93727697,149.511214598,4.60103646081,19.243727311,13.9131744785,155.336240509,164.538313431,56.8577010949,32658.6260906,5.12353651104,42.0030725508
2013-12-17,166.381511474,167.627274998,163.234330974,163.660502276,6351800.0,159.250000994,149.044002873,4.76296078276,9.14649301996,13.8800270568,154.487040212,164.012961777,53.3750791319,-499016.699665,4.72545499543,42.3927341483
2013-12-16,173.36432876,174.183907868,166.053686387,166.381511474,8786000.0,158.923340529,148.677651834,4.76291917499,12.1625506972,14.0129810375,154.160421354,163.686259704,55.6200161755,1969627.79258,4.58729737422,43.9202358692
2013-12-13,164.939055521,174.872351042,164.742353256,174.216684476,15848100.0,158.488963719,148.233918543,4.60968995448,18.030740395,13.9882117177,153.879273764,163.098653673,68.7604821076,2278157.2524,4.18453348608,44.9848992724
2013-12-12,153.071543468,154.710701685,151.399605364,151.596310907,6248200.0,157.845008705,147.58268099,3.44298123082,-2.03255291166,13.7616438813,154.402027474,161.287989936,28.5440475771,-143643.163441,2.66480035528,42.8765033538
2013-12-11,155.726983059,156.874387254,153.530517603,153.727206755,3990000.0,157.91759988,147.482082519,3.32578780159,1.37688634626,14.014073919,154.591812079,161.243387682,36.6255033955,-66562.7819278,2.59923402657,47.3166428621
2013-12-10,156.153167474,156.185944081,153.759999754,155.956465209,3787300.0,157.868425368,147.325553402,3.39940539456,3.99955260788,14.2934594764,154.469019973,161.267830762,44.8275790725,-20889.8899212,2.48917719719,51.0169779556
2013-12-09,157.989018121,158.349632929,155.694206451,156.349859903,3397700.0,157.725584203,147.109226399,3.56282207525,1.90141697593,14.4282346712,154.162762128,161.288406278,38.5375434314,28121.6246261,2.55708541466,52.6766875916
2013-12-06,158.152943777,158.513545472,156.710474711,156.874387254,3334300.0,157.657676454,146.877617202,3.60785073715,5.47478189057,14.5320481707,154.049825717,161.265527191,34.5132578902,-123463.245268,2.62265244586,55.2324937515
2013-12-05,156.972746582,157.366141276,153.169899517,155.038539885,7792700.0,157.462148529,146.627056038,3.7953543068,4.0323292156,14.683215057,153.666794223,161.257502836,29.7912883062,-189300.657261,2.56411201761,58.7678428608
2013-12-04,158.80859723,159.595396452,156.284290296,158.349632929,3663500.0,157.318136772,146.416228824,3.96349938186,6.03210224123,14.7465958414,153.35463739,161.281636154,33.8362068966,-56686.5360795,2.44703022443,63.407969942
2013-12-03,160.251063018,161.660739085,159.464260517,159.497053516,4129500.0,157.102704549,146.117127454,4.06791604735,10.9495801727,14.7553379457,153.034788501,161.170620596,51.4285729592,-31127.1080855,2.67885356118,68.7362192345
2013-12-02,160.611681104,161.562383035,160.185496689,160.677234319,1950800.0,156.711648114,145.781770152,4.34601382437,11.7691560033,14.7116271692,152.36563429,161.057661938,55.4716792453,-3348.07293914,2.69524514336,73.2512544365
2013-11-29,161.857431515,161.955790843,160.218273297,160.742803927,965200.0,156.291321114,145.40842708,4.51415268274,12.1297609762,14.5870513632,151.777168431,160.805473797,64.6525626363,6602.30592658,2.99263527714,76.9119775764
2013-11-27,160.972282799,161.562383035,160.414975561,161.168988341,2134000.0,155.858115365,145.024083009,4.65108543325,14.0311910654,14.3994589209,151.207029932,160.509200798,72.9166789216,-5280.73731372,3.28065855838,78.1105599819
2013-11-26,161.037852406,161.103418734,158.841386951,160.480545168,2841000.0,155.357001398,144.619423679,4.81081895732,15.1786083744,14.1750763738,150.546182441,160.167820355,59.4202859543,18704.5709914,3.68342338318,74.8361000771
2013-11-25,160.218273297,162.054133779,159.824878603,161.300124277,2986400.0,154.814908242,144.221877168,5.0607891267,16.522718113,13.9605287395,149.754119115,159.875697369,61.3684162659,43872.6229112,3.64127360044,75.5925980607
2013-11-22,159.038076102,159.824878603,157.825102299,159.529830124,2890800.0,154.224811166,143.793824363,5.23682208939,14.6868576308,13.8119117642,148.987989077,159.461633256,55.3347327056,25543.221072,3.62956556162,75.9020609057
2013-11-21,159.103645709,160.119927082,157.726759363,158.939733165,2461200.0,153.700280537,143.399413779,5.4181731757,11.8019358893,13.6501814139,148.282107361,159.118453712,57.9724368083,25187.3665286,3.6763977169,78.1547524925
2013-11-20,158.120154056,159.234781645,157.53005382,157.989018121,2931300.0,153.278782826,143.00990792,5.45441733628,12.2936866329,13.3955652491,147.82436549,158.733200163,58.3820581641,-47474.1407805,3.63190674789,79.7080431604
2013-11-19,160.578891383,160.578891383,157.038316189,157.431707605,3405000.0,152.83972259,142.634468327,5.55508708345,15.0802621597,12.9941537237,147.284635506,158.394809673,58.1782648035,-105836.838522,3.65766471429,80.9068070506
2013-11-18,162.939282495,163.070418431,159.497053516,160.15270369,3173600.0,152.301141798,142.263587185,5.81819779011,23.4399526785,12.5963849178,146.482944008,158.119339588,58.5798609409,-37387.7242502,3.72791505469,82.4552226053
2013-11-15,163.234330974,163.398243518,160.742803927,162.611441016,2909900.0,151.464000631,141.815210577,6.31200162833,25.4725055902,12.2638181104,145.151999003,157.776002259,66.5697449072,-24281.8835528,3.75601467568,84.1325430899
2013-11-14,163.299897303,164.709576648,161.168988341,162.021344058,4571300.0,150.554268289,141.293969449,6.479271069,20.8173028085,11.9731407927,144.07499722,157.033539358,66.3742432145,104747.830175,3.74898924356,84.2542887296
2013-11-13,156.841610647,163.398243518,156.841610647,163.267107582,5168600.0,149.810793188,140.774454138,6.30679092987,19.6043290057,11.647130691,143.504002258,156.117584118,66.2451298657,143256.795291,3.67171417354,84.4888501563
2013-11-12,157.661189756,159.300347973,156.874387254,158.972522886,2929200.0,149.110638581,140.210693505,5.82758810674,17.5717793723,11.363010079,143.283050474,154.938226688,65.7114596287,123759.707012,3.56165710999,84.089634545
2013-11-11,154.415649928,158.775817344,153.235469124,158.775817344,4221800.0,148.483075032,139.740443036,5.67025852338,15.2769545892,11.2967150534,142.812816509,154.153333555,64.7984365782,338555.503713,3.69044787864,83.5316639535
2013-11-08,149.727657425,154.677921799,149.432622059,154.38287332,5940900.0,147.937469511,139.26333638,5.3702406783,7.90074260943,11.167767831,142.567228833,153.307710189,59.8654640652,17913.8822407,3.4305242184,82.9237583078
2013-11-07,155.071316493,155.464711187,148.678596166,148.908078316,5526600.0,147.655300132,138.884377101,5.22462660931,4.03232593729,11.1674035372,142.430673523,152.879926741,53.5064763029,-194223.969258,3.16825820107,83.8861315382
2013-11-06,154.579578863,155.268022036,153.399381668,154.514009256,3286100.0,147.511288491,138.633140929,5.24435236703,9.34320839766,11.3105566518,142.266936124,152.755640858,71.4504122371,-39260.0424169,2.86618452393,88.4552687364
