,OPEN,HIGH,LOW,CLOSE,VOLUME,14dSMA,28dSMA,60dSMA,14dEMA,28dEMA,60dEMA,14dSDev,28dSDev,60dSDev,14dMOM,28dMOM,60dMOM,30-60MACD,30-90MACD,60dBBand_low,60dBBand_high,28dBBand_low,28dBBand_high,14dRSI,28dRSI,PVT,14dATR,28dATR,14dSTOCH,28dSTOCH,OSC
2017-01-04,120.925050488,122.675260951,120.800039027,121.550136965,9426400.0,123.106872943,121.566500171,114.231679296,118.808421833,113.571244911,102.752131183,1.64002266215,2.65043801005,7.72469511115,0.875121900209,2.37530527356,10.7717590926,7.11703568277,8.10290295519,106.506984185,121.956374407,118.916062161,124.216938181,52.3281934209,52.6963207933,-51066.0071063,2.91107641772,3.16557311366,63.5489325335,82.8615970802,-95.0839479845
2017-01-03,122.050195311,123.508702641,119.133159815,120.299976514,13185800.0,123.044364236,121.48166784,114.052149978,118.669261589,113.371260269,102.533708877,1.7187108187,2.68871780055,7.67674849577,-0.250027089568,2.87536361988,8.94005510875,7.07458488983,8.00522449427,106.375401482,121.728898474,118.792950039,124.17038564,49.292464122,53.2273214347,-226110.95326,2.86642827667,3.16259684874,66.5701336319,84.0924616505,-139.420654491
2016-12-30,124.133789117,124.342144331,121.300097373,121.675144259,5848300.0,123.062223314,121.378976282,113.90314906,118.586491981,113.197597456,102.327274791,1.68904331503,2.78857800595,7.64009967813,-0.333366674633,6.78441062863,10.1075218887,7.04189309465,7.93163497067,106.263049381,121.543248738,118.590398276,124.167554288,49.0610554564,57.421806299,-111633.873553,2.75629516354,3.11165863825,70.5823610083,85.6231782599,591.688997303
2016-12-29,123.883749526,124.675527674,122.550253657,123.300347427,4293800.0,123.086035219,121.136675902,113.734690361,118.429722373,112.985114426,102.102463376,1.67022933801,3.04486348864,7.57699947095,-0.208355213442,8.45115232367,13.1035089212,6.88451147571,7.71763891317,106.15769089,121.311689832,118.091812414,124.181539391,49.4089948527,59.576970914,-109825.070009,2.81285044788,3.13653215901,74.2668228934,86.4443741787,299.993694552
2016-12-28,127.009140236,127.550878792,124.217132869,124.300480789,5297100.0,123.100917735,120.834849034,113.516298546,118.182505818,112.72657124,101.856155828,1.67321146112,3.23535094221,7.4848969282,1.62521983766,12.4005460429,12.8159396385,6.66611966036,7.45229634418,106.031401618,121.001195474,117.599498091,124.070199976,54.6539901231,63.4579686174,-3977.65393025,2.80094270928,3.18672990122,77.4029590287,87.2652469723,299.843318673
2016-12-27,125.342277692,126.63409335,125.133901643,126.092371462,4945900.0,122.984830603,120.391972389,113.302699552,117.871977973,112.436480318,101.595365334,1.63962567925,3.57435600033,7.35364456992,7.16756686086,15.8955329561,13.6524358767,6.32374984634,7.05634314181,105.949054982,120.656344122,116.817616389,123.966328389,68.454974074,67.2842933712,56547.3001826,2.96763080909,3.18041583488,79.8176541259,87.6276235716,165.436238304
2016-12-23,124.383807872,124.717191216,123.300347427,124.300480789,4015100.0,122.472861542,119.824274784,113.075158954,117.454738431,112.094206168,101.310723834,1.71208979931,3.88432229352,7.15985913819,5.70905119645,16.6790642397,14.2282620282,5.91205331014,6.68718370564,105.915299816,120.235018092,115.93995249,123.708597077,65.8933088754,67.8324204473,122549.894145,2.9854913752,3.19350218993,78.5598149341,87.3049006197,2211.22847708
2016-12-22,124.508836002,127.300843368,124.133789117,124.758854758,9422300.0,122.065072171,119.228593918,112.838021254,117.10727156,111.788265513,101.043595725,1.9115740739,4.41509548918,7.01594688635,6.54247205022,17.8435973196,14.0220154117,5.48106720974,6.28716615259,105.822074367,119.85396814,114.813498429,123.643689407,68.2983461294,68.9769337298,130745.221022,3.03014040922,3.24229284136,78.6516984342,86.3256399659,-366.165221911
2016-12-21,122.633597409,124.675527674,122.633597409,122.966980753,6455800.0,121.597752739,118.591322585,112.604320997,116.718902916,111.463167915,100.768037689,2.0000388911,4.85331539255,6.84355304363,10.3346336136,18.7102139899,12.6455308354,5.16290431075,6.01172208931,105.760767953,119.44787404,113.738007192,123.444637978,73.8461639053,69.5384377048,40761.9110741,3.13432158782,3.18542519714,78.3374016266,84.9273212548,1634.06892461
2016-12-20,123.675394313,124.342144331,122.008510933,123.091992214,8174400.0,120.859564623,117.923100657,112.393562149,116.401771487,111.174833912,100.510098395,3.07442090672,5.47657174812,6.71247321497,1.70854692117,14.889032132,13.9751678886,4.9341452966,5.81721457921,105.681088935,119.106035364,112.446528909,123.399672405,52.8198058763,64.3989747929,22893.7126802,3.68796193012,3.37953523632,76.1210453566,82.7588564398,-889.324485453
2016-12-19,121.591800506,123.717057854,121.591800506,122.383561986,10271900.0,120.737525557,117.391349509,112.160642685,116.062198371,110.87613973,100.247709428,3.01227028348,5.6753301812,6.57602994361,1.16680836434,12.6021170749,11.9790350159,4.69845645781,5.60834448659,105.584612741,118.736672628,111.716019328,123.06667969,51.9607764871,61.9856327611,-263862.176147,3.66712599206,3.4667974631,77.1744318735,81.6852655772,-1106.47299316
2016-12-16,126.384074595,126.384074595,122.300214066,122.675260951,13055100.0,120.654182103,116.941273899,111.960992101,115.741347202,110.587715259,99.9905032106,2.97918441555,5.76377454464,6.44085248249,2.79200736607,13.6415178452,9.65377349835,4.29941886523,5.2780816722,105.520139619,118.401844584,111.177499355,122.705048444,54.5331369239,62.8626177626,128172.318562,3.74749318173,3.47397316895,78.7932973206,81.202194588,-1017.061231
2016-12-15,121.966847391,125.133901643,120.383311931,124.96722664,11615000.0,120.454753005,116.454076834,111.800095876,115.389405048,110.284750452,99.7269190222,2.92646782005,5.83721758713,6.28741829352,4.91728971724,20.5443099395,10.7826562882,3.85882698067,4.9671184001,105.512677583,118.08751417,110.616859246,122.291294421,58.5755959302,68.5596764831,406824.204753,3.61652293991,3.49576044676,80.0332255646,80.4463806518,109.35360749
2016-12-14,120.25830047,122.050195311,120.008273381,121.133405702,10323500.0,120.103518025,115.720351479,111.620384938,114.903267018,109.916745757,99.4336407747,2.622522484,6.01595151408,6.05447127639,1.08346877928,16.5027880365,7.69653715484,3.40495913091,4.63205216115,105.565913662,117.674856214,109.704399964,121.736302993,52.1812087856,65.9538149294,45677.8495976,3.43495232484,3.41807548683,79.958778356,77.7329982437,-1276.18120004
2016-12-13,120.716695275,122.091858853,120.34164839,120.675015064,6232800.0,120.026127398,115.130966192,111.492109319,114.58704612,109.635609014,99.1815016515,2.60572544614,6.26905894142,5.92975189457,1.50018337335,14.7151520617,7.61199741974,3.07037341499,4.42326559749,105.562357424,117.421861213,108.86190725,121.400025133,52.9702902493,63.9900845848,-84460.9451359,3.4200698096,3.41487565347,81.649173913,75.6127572645,-1472.49375698
2016-12-12,121.300097373,121.883503639,119.174831691,120.550003603,7606100.0,119.918971443,114.605425046,111.365242695,114.27804128,109.358915001,98.9317590556,2.60783378872,6.40245594726,5.81017777517,3.12539070945,13.3024379563,8.52545744599,2.77458178489,4.25050881574,105.55506492,117.17542047,108.202969099,121.007880994,55.8139552911,62.373427829,-221129.451642,3.4587654208,3.4443473927,83.4799257865,73.9736690323,166.338083264
2016-12-09,123.800405774,124.008777656,120.174956718,122.008510933,10719600.0,119.69572925,114.130337977,111.223151738,113.959697555,109.078419184,98.6805671536,2.68236786631,6.43845277792,5.68464365961,7.11777730326,14.0132434818,9.56857534761,2.44002704507,4.04261379871,105.538508078,116.907795397,107.691885199,120.568790754,62.7313580464,63.209262343,-61688.699301,3.46702211295,3.44995900561,85.4122044246,72.7341079421,146.407881205
2016-12-08,123.800405774,124.383807872,122.425242196,123.508702641,10085000.0,119.187316585,113.629864995,111.063675482,113.551166843,108.754336624,98.4095095035,2.87771973669,6.34738042833,5.50843093112,8.65950753711,17.2580699554,14.0595701065,2.10193346008,3.83781958599,105.555244551,116.572106413,107.282484567,119.977245423,66.3417333252,66.1932987875,459718.66864,3.46021387015,3.38869701921,85.6105837434,71.1172907342,121.313385879
2016-12-07,119.716561913,123.258683886,117.591304565,122.675260951,12404800.0,118.568780332,113.013505354,110.829349313,113.045755796,108.384530066,98.1178709272,2.8072053264,6.18850156156,5.26365760375,10.7753262052,15.5938452417,13.4338252145,1.78729877993,3.60888230882,105.56569171,116.093006917,106.825003792,119.202006915,68.8308132172,64.6324818021,419408.289836,3.57251709317,3.40924381621,85.7963036888,68.8154324255,102.573465564
2016-12-06,119.341515028,119.841581709,117.257921222,118.924804601,10033700.0,117.799114175,112.456582309,110.605452226,112.556994483,108.026344158,97.8325277999,3.06044412496,5.98513432242,5.0318434191,8.72796609521,11.884927418,8.81104731464,1.49140102545,3.38605172097,105.573608807,115.637295646,106.471447987,118.441716632,66.4284761823,61.9865459393,69406.5404637,3.39320086067,3.30029990252,85.2762664888,66.6727056944,154.367227964
2016-12-05,119.299851487,119.883253585,117.799659779,118.591429592,12986600.0,117.175688025,112.032120616,110.458601438,112.233785846,107.753182836,97.5874473487,3.64637133912,5.93060981667,4.91208070483,10.9700130433,11.5100138829,11.5100138829,1.2836263707,3.28579886415,105.546520733,115.370682143,106.101510799,117.962730433,69.0414748757,61.6771660308,795503.140863,3.40151300467,3.26736752567,86.3213003862,65.1344353962,-116.321191583
