Date,Open,High,Low,Close,Volume
17-May-16,209.59,212.40,208.13,209.56,47664401
16-May-16,210.86,213.09,209.35,210.00,11874179
13-May-16,215.26,216.18,214.22,215.51,11067868
12-May-16,217.24,217.91,213.66,215.28,16306960
11-May-16,217.00,217.15,214.87,216.59,1937735
10-May-16,214.50,216.14,214.00,216.12,2540441
9-May-16,212.46,214.63,212.46,213.79,2369059
6-May-16,211.85,213.20,211.23,213.16,2781344
5-May-16,212.33,213.91,211.96,212.52,1962035
4-May-16,211.92,213.81,211.29,212.37,1782959
3-May-16,213.72,214.89,212.58,212.77,2025231
2-May-16,212.80,216.10,211.67,215.06,2742295
29-Apr-16,210.00,212.25,208.32,212.11,2079254
28-Apr-16,207.00,212.67,206.33,210.79,2117832
27-Apr-16,210.88,211.62,208.91,209.19,2725734
26-Apr-16,209.63,212.34,209.04,210.84,5297790
25-Apr-16,200.51,210.39,199.30,209.63,7775560
22-Apr-16,201.97,202.63,200.69,201.45,3243410
21-Apr-16,202.01,202.72,199.78,202.30,2555096
20-Apr-16,206.10,206.37,202.06,202.12,1889979
19-Apr-16,204.89,207.93,204.10,205.93,1749451
18-Apr-16,205.45,205.69,204.37,204.83,1492842
15-Apr-16,203.96,205.88,203.01,205.44,1617520
14-Apr-16,204.35,205.41,203.41,203.89,2989702
13-Apr-16,203.20,206.50,203.04,205.13,1983468
12-Apr-16,203.04,204.06,202.55,202.67,2353386
11-Apr-16,204.21,205.00,202.54,202.54,2295958
8-Apr-16,205.50,205.66,203.70,204.46,1158862
7-Apr-16,205.48,205.87,203.87,204.68,1037072
6-Apr-16,204.11,206.30,204.00,206.12,1238746
5-Apr-16,205.21,205.37,204.17,204.51,1051979
4-Apr-16,205.95,206.66,205.04,205.99,1757231
1-Apr-16,204.50,206.52,204.06,205.03,1736894
31-Mar-16,205.88,206.00,203.55,204.62,1539998
30-Mar-16,205.50,205.88,203.88,205.79,1244510
29-Mar-16,203.52,205.97,203.49,205.28,1705905
28-Mar-16,202.79,203.63,202.30,203.17,1585377
24-Mar-16,204.45,204.53,201.87,202.70,1499507
23-Mar-16,205.23,205.75,204.32,204.45,1647621
22-Mar-16,204.10,205.64,203.35,205.23,1914959
21-Mar-16,202.97,204.58,202.43,204.33,1786029
18-Mar-16,203.52,204.37,202.83,202.90,3122914
17-Mar-16,202.09,204.13,201.81,203.31,3021174
16-Mar-16,196.72,203.32,196.72,202.19,5791303
15-Mar-16,194.28,195.74,193.88,195.68,1002383
14-Mar-16,195.90,196.00,195.00,195.07,1421344
11-Mar-16,196.00,196.00,194.50,195.91,1294409
10-Mar-16,195.35,195.98,193.03,194.47,2216634
9-Mar-16,194.68,195.48,193.68,195.48,2291580
8-Mar-16,194.61,195.41,193.45,193.47,1827479
7-Mar-16,194.67,195.67,193.87,195.23,1130347
4-Mar-16,194.68,195.40,193.52,195.33,1775868
3-Mar-16,193.46,195.74,192.84,194.43,2291184
2-Mar-16,192.56,194.16,192.20,193.41,2826918
1-Mar-16,192.60,194.49,190.84,194.49,3616073
29-Feb-16,192.62,194.41,190.86,190.86,3340528
26-Feb-16,193.49,194.11,192.12,192.50,2038260
25-Feb-16,190.47,194.00,189.86,193.47,3498309
24-Feb-16,189.43,190.15,187.23,189.86,1552361
23-Feb-16,190.22,191.42,189.36,189.43,1776319
22-Feb-16,190.00,191.23,189.28,190.76,2504948
19-Feb-16,186.74,189.24,185.39,188.84,1862485
18-Feb-16,187.16,189.45,186.60,187.75,1949779
17-Feb-16,184.96,188.49,184.60,187.68,2059611
16-Feb-16,182.65,186.55,182.65,186.09,1773400
12-Feb-16,179.95,185.25,179.28,184.99,2233781
11-Feb-16,176.99,179.86,176.49,179.35,3229277
10-Feb-16,180.00,181.82,178.86,179.20,1842714
9-Feb-16,177.24,180.59,175.72,180.59,2265865
8-Feb-16,179.74,180.36,173.41,177.73,2975521
5-Feb-16,182.72,183.31,178.86,181.48,2110479
4-Feb-16,186.00,188.31,181.55,183.44,2280435
3-Feb-16,183.10,185.80,181.95,185.75,1507190
2-Feb-16,182.96,184.83,181.46,182.09,1934545
1-Feb-16,182.45,184.76,179.42,184.31,1330767
29-Jan-16,179.72,182.82,178.43,182.01,2109772
28-Jan-16,174.78,178.68,174.78,178.48,2175897
27-Jan-16,179.01,180.42,175.52,175.64,2337340
26-Jan-16,179.98,181.13,179.17,179.17,2011805
25-Jan-16,182.15,182.62,179.76,179.80,1455508
22-Jan-16,180.87,182.56,180.02,182.04,2217306
21-Jan-16,180.01,181.12,177.85,179.29,1597600
20-Jan-16,175.90,180.95,174.67,180.23,2409804
19-Jan-16,178.16,179.00,176.54,177.63,1714832
15-Jan-16,178.28,179.91,175.33,177.03,2840453
14-Jan-16,179.77,183.43,179.66,181.96,1179812
13-Jan-16,183.46,184.35,178.66,179.57,1384048
12-Jan-16,184.00,185.24,181.65,183.58,1037371
11-Jan-16,183.72,184.31,181.69,183.30,964787
8-Jan-16,182.25,186.22,181.56,182.93,2114400
7-Jan-16,179.81,183.45,179.15,181.20,1353291
6-Jan-16,181.17,182.68,180.36,181.87,883369
5-Jan-16,183.52,183.52,181.57,182.93,1239835
4-Jan-16,183.63,184.77,181.06,183.08,1663806
31-Dec-15,184.97,186.82,184.94,185.59,651047
30-Dec-15,186.26,186.53,185.20,185.77,637598
29-Dec-15,185.89,187.45,185.28,187.23,866502
28-Dec-15,184.25,185.20,182.39,185.05,589148
24-Dec-15,184.00,184.82,183.50,184.50,257288
23-Dec-15,183.58,184.45,182.76,184.10,777789
22-Dec-15,183.15,183.34,180.83,183.14,1089670
21-Dec-15,181.39,182.10,180.40,181.97,1117923
18-Dec-15,184.29,184.29,180.57,181.13,2948436
17-Dec-15,184.98,186.29,183.85,184.51,1098196
16-Dec-15,182.15,185.61,181.30,185.06,2190045
15-Dec-15,179.71,182.66,179.31,181.08,1401258
14-Dec-15,181.57,181.65,177.87,178.81,1877977
11-Dec-15,181.87,183.12,178.87,180.50,2344434
10-Dec-15,183.86,184.82,183.00,183.51,1370449
9-Dec-15,184.27,186.55,183.54,183.92,1661865
8-Dec-15,185.02,186.65,184.07,184.88,1241302
7-Dec-15,184.04,186.76,183.68,185.61,1929010
4-Dec-15,182.04,185.19,181.38,185.19,1810432
3-Dec-15,184.63,185.40,180.80,181.38,1987702
2-Dec-15,186.21,186.45,184.58,184.62,2201761
1-Dec-15,185.86,187.26,185.02,186.50,1108301
30-Nov-15,185.43,185.77,183.59,184.77,1244363
27-Nov-15,184.04,185.88,183.47,185.26,283321
25-Nov-15,183.88,184.77,183.03,183.80,588404
24-Nov-15,183.38,185.61,182.90,183.65,856433
23-Nov-15,184.71,186.65,184.15,184.42,1229452
20-Nov-15,184.54,185.07,183.77,184.50,1653787
19-Nov-15,185.75,185.75,176.98,184.00,1544604
18-Nov-15,184.13,184.96,183.77,184.79,1385341
17-Nov-15,186.00,186.00,183.75,184.00,1197120
16-Nov-15,185.32,185.87,184.06,185.84,1009119
13-Nov-15,187.91,190.20,185.35,185.43,1779151
12-Nov-15,188.95,189.37,187.93,188.94,800306
11-Nov-15,190.14,190.21,188.26,189.40,538823
10-Nov-15,187.90,189.75,187.05,189.31,1113966
9-Nov-15,187.60,188.76,186.42,187.83,868485
6-Nov-15,187.57,188.80,186.97,188.09,1051761
5-Nov-15,187.75,189.20,186.85,187.68,1619569
4-Nov-15,189.54,190.40,188.38,188.65,1159398
3-Nov-15,186.70,189.37,185.72,189.31,1603285
2-Nov-15,190.47,190.79,186.84,187.41,1138089
30-Oct-15,192.45,192.45,189.17,189.40,1542752
29-Oct-15,183.52,192.85,183.52,191.82,2124292
28-Oct-15,183.50,185.71,182.56,185.25,1094289
27-Oct-15,184.84,185.98,182.87,183.35,1696994
26-Oct-15,185.09,186.19,184.77,185.20,1026067
23-Oct-15,183.56,185.62,183.09,185.19,1358993
22-Oct-15,180.94,184.91,180.91,182.90,1722741
21-Oct-15,188.08,188.08,180.32,180.44,3110557
20-Oct-15,186.50,187.96,186.50,187.31,584084
19-Oct-15,188.44,188.80,186.73,187.33,1556445
16-Oct-15,189.53,189.53,187.30,188.71,1103840
15-Oct-15,187.40,188.66,186.51,188.26,1111688
14-Oct-15,187.92,188.03,185.30,186.17,1185000
13-Oct-15,185.89,188.22,185.73,187.92,1308958
12-Oct-15,187.24,188.51,186.43,186.67,1402031
9-Oct-15,188.96,189.00,186.47,187.38,1751900
8-Oct-15,185.59,188.44,185.59,188.44,1761176
7-Oct-15,188.21,188.69,185.76,186.01,1598480
6-Oct-15,188.32,189.29,186.20,187.17,1510221
5-Oct-15,186.21,189.44,185.87,188.74,1866180
2-Oct-15,180.14,185.29,179.55,185.19,3185771
1-Oct-15,179.74,182.86,179.08,181.85,3332768
30-Sep-15,175.51,180.31,174.52,179.37,4236330
29-Sep-15,176.13,177.97,173.42,174.00,3749126
28-Sep-15,183.68,184.27,176.40,176.68,3606894
25-Sep-15,185.57,186.43,183.15,183.79,1290869
24-Sep-15,187.80,189.17,184.24,185.08,1997301
23-Sep-15,190.14,190.41,188.28,188.30,1565953
22-Sep-15,190.00,191.10,188.67,190.24,2062136
21-Sep-15,189.39,191.19,189.27,191.04,1875041
18-Sep-15,189.43,191.27,189.02,189.51,2802405
17-Sep-15,189.19,192.00,188.74,190.42,2862544
16-Sep-15,190.00,190.33,187.62,188.79,1932351
15-Sep-15,187.14,189.98,186.16,189.79,1637928
14-Sep-15,187.72,188.09,186.62,187.06,1091636
11-Sep-15,187.14,187.67,185.95,187.45,2035134
10-Sep-15,187.52,189.04,186.71,187.51,2235713
9-Sep-15,191.20,191.20,188.31,188.62,1155431
8-Sep-15,189.77,190.56,187.91,190.39,1402461
4-Sep-15,186.65,188.78,185.48,187.83,1038454
3-Sep-15,186.07,188.94,185.57,188.08,2354106
2-Sep-15,185.08,185.66,183.44,185.26,1354687
1-Sep-15,186.02,186.55,183.01,183.37,2022932
31-Aug-15,186.00,187.81,185.45,186.02,1790557
28-Aug-15,187.60,187.74,185.84,187.43,909466
27-Aug-15,186.34,188.61,184.23,187.89,1721265
26-Aug-15,183.56,185.41,180.20,185.20,2055846
25-Aug-15,183.27,184.25,180.34,180.72,1992688
24-Aug-15,178.08,185.70,173.49,179.17,3923349
21-Aug-15,185.74,187.33,183.59,183.59,2106739
20-Aug-15,189.53,191.39,187.62,187.62,1516296
19-Aug-15,191.40,192.54,190.55,191.48,1345498
18-Aug-15,189.32,191.48,189.32,191.10,1297121
17-Aug-15,185.62,190.52,185.48,190.31,1480544
14-Aug-15,186.96,186.96,185.43,186.00,1102657
13-Aug-15,186.50,187.61,186.00,186.65,1218065
12-Aug-15,186.18,187.64,185.31,186.51,1217824
11-Aug-15,188.67,189.98,186.85,186.85,1020284
10-Aug-15,189.91,191.34,189.06,189.33,1178340
7-Aug-15,188.29,190.33,186.43,188.91,1437203
6-Aug-15,191.56,192.10,183.72,190.22,4262630
5-Aug-15,194.19,194.22,188.77,191.50,1709323
4-Aug-15,191.41,193.80,190.16,193.01,921653
3-Aug-15,190.49,192.38,190.00,191.27,831119
31-Jul-15,191.51,191.51,189.55,190.01,1765344
30-Jul-15,189.14,191.73,189.14,190.84,1055534
29-Jul-15,188.94,190.35,188.10,189.43,927539
28-Jul-15,188.93,189.53,188.12,189.20,1617790
27-Jul-15,189.55,190.81,187.59,188.14,1583109
24-Jul-15,190.62,191.39,189.86,191.09,3303994
23-Jul-15,190.24,190.60,188.51,190.50,2737315
22-Jul-15,189.16,190.47,188.95,190.47,1404247
21-Jul-15,190.30,190.80,188.09,188.53,2200155
20-Jul-15,189.13,190.99,188.46,190.88,2068196
17-Jul-15,187.04,189.01,186.54,189.01,2325023
16-Jul-15,186.79,187.57,186.07,187.04,2765374
15-Jul-15,183.49,187.19,181.84,186.00,4132756
14-Jul-15,185.48,185.48,183.47,183.47,1885052
13-Jul-15,184.01,185.59,183.38,185.19,1678541
10-Jul-15,182.26,183.79,181.53,183.50,1439409
9-Jul-15,182.00,182.68,180.38,181.35,1360970
8-Jul-15,181.32,182.41,180.32,180.48,1788107
7-Jul-15,182.01,183.07,179.23,183.06,2094630
6-Jul-15,180.04,182.06,179.58,181.75,2168298
2-Jul-15,182.00,182.17,180.33,180.88,1842292
1-Jul-15,178.36,181.54,177.88,181.19,3053681
30-Jun-15,177.67,178.17,176.22,178.17,2608905
29-Jun-15,178.00,178.90,176.29,176.32,1686019
26-Jun-15,177.78,180.21,176.72,179.50,2296138
25-Jun-15,176.80,177.95,176.40,177.17,2167877
24-Jun-15,177.89,178.50,176.35,176.35,2187982
23-Jun-15,178.31,179.78,177.82,178.44,1329524
22-Jun-15,177.22,178.70,177.17,178.00,2206904
19-Jun-15,177.59,178.37,176.83,177.30,2344645
18-Jun-15,178.00,179.18,177.55,177.80,2773772
17-Jun-15,177.88,178.55,177.39,177.90,2532685
16-Jun-15,175.48,178.87,175.48,177.26,2922707
15-Jun-15,178.11,178.78,177.53,178.34,1663766
12-Jun-15,179.13,179.42,178.10,178.74,2641047
11-Jun-15,178.94,179.88,178.48,179.39,2428302
10-Jun-15,179.35,179.80,178.50,179.10,1693941
9-Jun-15,176.26,179.84,175.42,179.07,5552765
8-Jun-15,177.73,177.99,175.85,176.37,4871889
5-Jun-15,176.92,178.49,176.22,178.06,1664264
4-Jun-15,175.62,177.71,174.64,176.91,3313992
3-Jun-15,178.80,179.05,176.33,176.93,3894277
2-Jun-15,180.15,180.61,178.58,178.58,2871243
1-Jun-15,181.86,182.61,180.28,180.28,3284135
29-May-15,182.54,182.71,180.89,180.89,4678707
28-May-15,183.35,183.50,180.00,182.38,4146368
27-May-15,181.97,183.78,181.50,183.57,4925987
26-May-15,179.61,184.89,177.36,183.60,29795972
22-May-15,170.51,172.21,169.53,171.18,7322983
21-May-15,166.13,168.21,164.06,165.52,6631638
20-May-15,162.76,167.08,162.33,166.55,9815829
19-May-15,157.97,158.73,157.16,158.00,2429637
18-May-15,156.50,157.96,155.17,157.51,2098933
15-May-15,155.63,156.63,155.08,156.44,2363556
14-May-15,154.34,155.67,153.34,155.63,3118509
13-May-15,154.43,155.94,152.81,152.82,3243385
12-May-15,153.70,155.27,153.61,154.87,2462293
11-May-15,155.20,156.09,154.44,154.78,2229744
8-May-15,156.77,157.00,154.42,154.68,2470195
7-May-15,155.69,156.67,154.27,155.12,2119017
6-May-15,156.04,157.31,154.63,155.35,2371075
5-May-15,157.16,159.06,155.46,156.65,2129818
4-May-15,158.00,159.25,157.77,159.09,2186807
1-May-15,156.00,157.42,154.95,157.25,2357144
30-Apr-15,158.10,158.26,154.92,155.52,3532578
29-Apr-15,156.84,158.65,156.13,157.86,4678308
28-Apr-15,157.12,158.75,155.63,157.89,6343217
27-Apr-15,156.69,158.00,154.79,156.37,6953930
24-Apr-15,151.71,157.82,151.00,155.26,19731847
23-Apr-15,146.99,152.65,145.77,148.76,17494633
22-Apr-15,151.55,151.63,149.15,149.64,3592996
21-Apr-15,150.87,153.21,150.56,152.00,3577090
20-Apr-15,150.25,152.50,150.23,150.87,4181556
17-Apr-15,157.00,157.00,145.44,149.61,10585798
16-Apr-15,158.86,159.11,157.67,158.20,1236582
15-Apr-15,158.34,159.98,157.53,159.02,1283791
