,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,675.987,678.777,-2.750,95,19,675.40,675.60,1100,1100,677.70,678.80,150,50,675.35,675.95,1100,1100,677.65,678.90,2541,925,7700,6600,675.044,676.130,677.507,679.767,-3.450,0.000
2017-01-06 09:18:00,677.768,680.504,-3.250,1100,152,677.65,677.90,1100,1100,681.00,681.05,75,955,677.55,678.00,1100,1100,680.05,681.10,1634,1438,5500,8800,677.588,678.042,679.980,681.281,-3.480,700.000
2017-01-06 09:19:00,678.646,681.609,-3.800,70,234,678.35,678.65,2200,1100,682.00,682.60,100,73,678.25,678.70,1100,1100,681.10,682.65,2021,738,6600,11000,677.986,678.730,681.292,682.890,-3.225,600.167
2017-01-06 09:20:00,678.000,681.870,-3.825,100,104,677.95,678.00,1100,1100,681.60,682.00,100,75,677.65,678.10,1100,1100,681.45,682.30,1972,709,5500,5500,677.407,678.179,681.370,682.370,-3.075,490.624
2017-01-06 09:21:00,677.792,681.409,-3.525,20,63,678.00,678.05,1100,1100,681.15,681.95,82,145,677.65,678.10,1100,1100,681.10,682.00,473,833,5500,6600,677.399,678.246,680.660,682.258,-2.905,456.033
2017-01-06 09:22:00,679.458,682.743,-2.850,100,253,679.55,679.70,1100,1100,682.45,682.50,500,639,679.50,679.75,1100,3300,682.35,683.00,682,2362,6600,8800,679.488,679.845,682.192,683.300,-2.840,470.635
2017-01-06 09:23:00,682.478,685.994,-3.400,163,150,682.40,682.50,1100,3300,685.70,686.00,1000,75,682.35,682.70,1100,1100,685.65,686.25,2203,2100,8800,8800,682.282,682.810,685.350,686.444,-2.640,496.586
2017-01-06 09:24:00,684.526,686.666,-2.525,30,150,684.10,684.40,1100,2200,686.65,686.90,54,100,684.05,684.55,1100,6600,686.60,687.00,6083,903,5500,12100,683.984,684.660,686.250,687.059,-2.580,558.721
2017-01-06 09:25:00,684.283,687.050,-3.075,10,390,684.05,684.20,2200,1100,686.85,687.55,5173,30,684.00,684.35,1100,1100,686.70,687.60,5891,1010,6600,5500,683.960,684.346,686.408,687.680,-2.595,570.221
2017-01-06 09:26:00,682.500,684.923,-2.675,140,105,682.20,682.55,1100,1100,684.85,685.25,100,75,682.15,682.60,1100,1100,684.80,685.30,1315,635,5500,6600,681.999,682.745,684.380,685.717,-2.675,560.913
2017-01-06 09:27:00,681.838,684.132,-2.525,41,69,681.50,681.95,2200,1100,684.00,684.50,150,75,681.45,682.00,1100,1100,683.50,684.55,886,621,6600,5500,681.314,682.190,683.517,684.770,-2.765,537.077
2017-01-06 09:28:00,681.420,683.746,-2.400,46,652,681.20,681.50,1100,2200,683.50,684.00,66,75,681.15,681.70,1100,1100,683.05,684.90,1652,1485,5500,8800,680.967,681.678,683.050,684.769,-2.760,512.581
2017-01-06 09:29:00,679.454,681.867,-2.225,35,48,679.55,679.95,1100,1100,681.65,682.30,17,165,679.50,680.00,1100,1100,681.50,682.35,221,1262,6600,6600,679.353,680.167,681.192,682.575,-2.790,491.980
2017-01-06 09:30:00,679.851,682.854,-3.150,57,75,679.80,679.95,2200,1100,682.75,683.30,84,612,679.75,680.00,1100,1100,682.25,683.35,371,1028,7700,6600,679.688,680.065,682.136,683.600,-2.640,476.254
2017-01-06 09:31:00,680.670,684.017,-3.075,1,16,680.70,681.00,2200,1100,683.55,684.30,75,234,680.55,681.25,1100,2200,683.50,684.70,297,1033,6600,6600,680.373,681.346,683.333,684.775,-2.410,459.088
2017-01-06 09:32:00,679.727,682.512,-2.975,65,50,679.40,679.65,2200,1100,682.05,682.95,178,75,679.35,679.95,1100,1100,682.00,683.00,627,333,8800,5500,679.311,679.971,681.569,683.200,-2.275,448.768
2017-01-06 09:33:00,679.356,682.171,-2.375,28,52,679.65,679.70,1100,1100,681.70,682.40,75,1,679.15,679.75,1100,1100,681.65,682.45,217,507,7700,5500,679.158,679.914,681.464,682.760,-2.295,451.455
2017-01-06 09:34:00,678.673,680.810,-2.375,73,32,678.20,678.65,1100,1100,680.60,681.00,10,75,678.10,678.70,1100,1100,680.55,681.25,2122,404,5500,5500,677.955,678.832,680.140,681.480,-2.290,452.263
2017-01-06 09:35:00,679.851,682.379,-2.400,41,207,679.95,680.20,1100,1100,682.05,682.90,77,271,679.75,680.45,2200,1100,682.00,682.95,255,1206,6600,6600,679.740,680.477,681.717,683.208,-2.285,455.047
2017-01-06 09:36:00,678.782,681.019,-1.925,77,677,678.80,679.20,1100,1100,680.75,681.10,211,1184,678.75,679.25,2200,1100,680.70,681.20,394,3137,7700,6600,678.729,679.346,680.386,681.675,-2.510,450.335
2017-01-06 09:37:00,680.387,682.695,-2.300,154,340,680.10,680.55,2200,1100,682.40,682.85,57,200,680.05,680.65,1100,1100,682.35,683.00,655,670,6600,5500,679.912,680.629,682.167,683.240,-2.685,439.502
2017-01-06 09:38:00,681.165,683.868,-2.475,617,25,681.00,681.30,1100,1100,683.25,684.00,77,100,680.80,681.40,1100,1100,683.20,684.70,881,388,6600,5500,680.916,681.493,682.867,684.720,-2.735,438.142
2017-01-06 09:39:00,679.464,681.527,-2.350,3,77,679.25,679.35,1100,1100,681.20,682.10,12,28,679.05,679.40,1100,1100,681.15,682.15,1029,327,5500,8800,678.927,679.582,680.910,682.325,-2.800,438.227
2017-01-06 09:40:00,680.353,683.014,-2.375,64,290,680.30,680.50,1100,1100,682.55,683.00,34,246,680.25,680.55,1100,2200,682.50,683.45,478,889,5500,6600,680.143,680.569,682.280,683.783,-2.945,441.590
2017-01-06 09:41:00,680.769,683.736,-3.050,75,50,680.50,680.75,3300,1100,683.30,684.05,886,163,680.45,680.90,1100,2200,683.25,684.55,1028,340,7700,7700,680.447,680.959,683.121,684.671,-3.035,452.799
2017-01-06 09:42:00,680.835,683.862,-3.175,75,74,680.70,681.05,1100,1100,683.60,684.50,75,73,680.65,681.10,1100,1100,683.55,684.55,613,653,5500,7700,680.579,681.270,683.360,684.779,-3.080,455.906
2017-01-06 09:43:00,680.982,683.915,-2.725,10,195,681.15,681.30,1100,1100,683.70,684.20,268,255,681.00,681.35,1100,1100,683.50,684.40,761,2170,5500,5500,680.835,681.413,683.230,684.600,-3.275,453.715
2017-01-06 09:44:00,680.553,683.385,-2.675,75,152,680.60,680.85,1100,1100,683.00,683.80,100,1,680.50,681.00,1100,1100,682.80,683.95,256,692,5500,5500,680.480,681.068,682.560,684.210,-3.490,457.201
2017-01-06 09:45:00,681.333,684.419,-3.100,77,980,681.30,681.40,1100,1100,684.15,684.75,76,415,681.25,681.50,1100,3300,684.10,685.00,347,1451,5500,8800,681.121,681.438,683.910,685.125,-3.655,467.516
