,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue
2017-01-06 09:17:00,914.610,920.250,-5.375,100.000,130.000,914.30,914.50,1100.000,2200.000,919.05,920.50,75.000,30.000,914.15,915.10,1100.000,2200.000,919.00,922.00,420.000,378.000,5500.000,7700.000,913.976,915.106,918.600,922.064,-5.260
2017-01-06 09:18:00,915.786,921.779,-5.925,866.000,586.000,915.55,916.00,1100.000,3300.000,921.40,922.00,112.000,168.000,915.50,916.25,1100.000,1100.000,921.35,922.40,1005.000,912.000,5500.000,7700.000,915.539,916.135,921.100,922.436,-4.955
2017-01-06 09:19:00,916.861,922.390,-5.550,46.000,3.000,916.90,917.10,1100.000,1100.000,922.15,922.95,12.000,30.000,916.75,917.15,1100.000,1100.000,922.00,923.00,218.000,290.000,5500.000,5500.000,916.571,917.504,921.190,923.590,-4.705
2017-01-06 09:20:00,916.823,921.975,-5.325,21.000,50.000,916.65,917.00,1100.000,1100.000,921.45,922.85,67.000,51.000,916.15,917.80,1100.000,1100.000,921.25,922.90,376.000,420.000,5500.000,5500.000,915.884,917.826,920.670,923.280,-4.595
2017-01-06 09:21:00,917.307,922.255,-5.050,10.000,120.000,917.20,917.55,1100.000,1100.000,922.05,922.80,20.000,22.000,917.00,917.80,1100.000,1100.000,922.00,922.85,126.000,229.000,5500.000,6600.000,916.876,917.724,921.580,923.383,-4.555
2017-01-06 09:22:00,917.732,922.790,-4.450,59.000,6.000,917.55,918.10,1100.000,1100.000,922.05,922.50,6.000,40.000,917.40,918.15,1100.000,1100.000,922.00,923.00,194.000,260.000,9900.000,6600.000,917.351,918.345,921.433,923.375,-4.790
2017-01-06 09:23:00,918.778,923.325,-4.400,227.000,50.000,918.80,918.90,1100.000,2200.000,923.00,923.50,6.000,181.000,918.60,919.00,1100.000,1100.000,922.95,923.95,593.000,748.000,6600.000,8800.000,918.600,919.231,922.625,924.606,-5.000
2017-01-06 09:24:00,919.721,924.127,-4.300,26.000,1000.000,919.70,920.00,1100.000,1100.000,923.70,924.60,6.000,52.000,919.55,920.25,1100.000,2200.000,923.45,924.65,183.000,1266.000,9900.000,6600.000,919.505,920.072,921.750,924.892,-5.185
2017-01-06 09:25:00,920.747,925.466,-4.775,135.000,300.000,920.70,920.90,2200.000,6600.000,925.15,926.00,111.000,268.000,920.65,921.00,1100.000,1100.000,924.65,926.50,317.000,663.000,6600.000,11000.000,920.644,921.010,924.450,926.415,-5.240
2017-01-06 09:26:00,920.201,924.990,-4.850,180.000,69.000,920.05,920.40,1100.000,1100.000,924.45,925.70,30.000,59.000,919.65,920.45,1100.000,1100.000,924.25,925.80,428.000,304.000,5500.000,5500.000,919.758,920.511,923.930,926.050,-5.160
2017-01-06 09:27:00,920.187,925.750,-5.625,140.000,225.000,920.10,920.50,5500.000,1100.000,925.55,926.30,59.000,40.000,920.05,920.80,1100.000,1100.000,925.20,926.35,367.000,1291.000,9900.000,5500.000,920.009,920.940,924.978,926.540,-4.970
2017-01-06 09:28:00,920.316,926.375,-5.450,17.000,30.000,920.65,920.95,1100.000,1100.000,925.50,927.00,63.000,807.000,920.15,921.00,1100.000,1100.000,925.45,927.05,220.000,1100.000,6600.000,6600.000,920.138,921.069,925.308,927.608,-4.800
2017-01-06 09:29:00,920.077,924.818,-5.225,10.000,70.000,919.70,920.00,1100.000,1100.000,924.30,925.85,82.000,54.000,919.60,920.50,1100.000,1100.000,924.25,925.90,271.000,233.000,6600.000,5500.000,919.543,920.462,923.392,926.130,-4.640
2017-01-06 09:30:00,919.797,925.062,-5.050,6.000,1.000,919.95,920.45,3300.000,1100.000,924.90,925.60,11.000,28.000,919.65,920.75,1100.000,1100.000,923.75,925.95,109.000,448.000,7700.000,5500.000,919.594,920.950,924.136,926.080,-4.490
2017-01-06 09:31:00,920.723,924.931,-4.450,218.000,167.000,920.80,920.95,2200.000,1100.000,924.90,925.75,7.000,264.000,920.55,921.00,1100.000,1100.000,923.90,925.95,354.000,634.000,6600.000,7700.000,920.670,921.044,924.058,926.171,-4.420
2017-01-06 09:32:00,921.677,926.275,-4.675,3.000,130.000,921.40,921.80,1100.000,1100.000,926.00,926.55,30.000,78.000,921.35,921.95,1100.000,1100.000,925.90,927.05,573.000,651.000,6600.000,6600.000,921.268,922.084,925.367,927.342,-4.265
2017-01-06 09:33:00,921.547,926.243,-4.600,11.000,57.000,921.40,921.80,1100.000,1100.000,926.00,926.40,137.000,56.000,921.30,921.90,1100.000,1100.000,925.90,926.75,365.000,380.000,6600.000,9900.000,921.192,921.955,925.467,927.661,-4.190
