,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,763.757,768.379,-4.225,308,178,764.00,764.05,1000,2000,767.65,768.85,10,30,763.40,764.50,1000,1000,767.40,768.90,637,892,7000,7000,763.611,764.556,767.229,769.150,-4.305,0.000
2017-01-06 09:18:00,764.197,768.721,-4.725,668,84,763.50,764.20,1000,1000,768.30,768.85,96,20,763.45,764.25,2000,1000,768.25,768.90,2218,266,6000,6000,763.407,764.298,768.133,769.450,-4.150,80.000
2017-01-06 09:19:00,761.093,765.415,-4.375,601,252,761.00,761.45,1000,1000,765.45,765.75,30,668,760.70,761.50,1000,1000,764.60,766.20,1476,1858,5000,5000,760.721,761.557,764.620,766.210,-4.055,236.670
2017-01-06 09:20:00,763.069,767.371,-4.875,93,10,762.75,763.00,1000,2000,767.50,768.00,30,27,762.65,763.40,1000,1000,766.45,768.05,1061,855,6000,6000,762.546,763.486,766.275,768.158,-3.780,295.260
2017-01-06 09:21:00,762.641,766.711,-3.700,93,250,762.55,763.20,1000,1000,765.80,767.35,103,157,762.50,763.25,1000,1000,765.75,767.50,531,1916,8000,6000,762.457,763.356,765.194,767.783,-3.890,462.179
2017-01-06 09:22:00,762.895,766.533,-3.850,100,998,762.70,762.85,1000,2000,766.35,766.90,400,27,762.45,763.10,1000,1000,765.95,767.00,1345,1290,5000,7000,762.355,762.925,765.930,767.321,-3.925,467.875
2017-01-06 09:23:00,766.588,770.797,-3.950,16,244,766.80,766.90,1000,2000,770.60,771.00,334,35,766.25,766.95,1000,1000,770.55,771.80,663,1046,7000,12000,766.225,766.981,770.086,771.771,-3.950,454.411
2017-01-06 09:24:00,767.063,770.996,-3.900,71,113,766.75,767.20,1000,1000,770.45,771.30,133,100,766.70,767.25,1000,1000,770.40,771.35,398,300,8000,6000,766.632,767.298,770.150,771.567,-4.025,427.440
2017-01-06 09:25:00,767.622,771.108,-3.500,84,154,767.55,767.95,1000,1000,770.95,771.55,100,652,767.50,768.00,1000,1000,770.85,771.60,387,1072,6000,6000,767.433,768.039,770.442,771.758,-4.180,399.974
2017-01-06 09:26:00,769.970,773.913,-4.250,50,550,769.95,770.00,1000,1000,773.85,774.60,1388,18,769.85,770.15,1000,1000,773.50,774.65,1659,1477,5000,7000,769.834,770.225,773.400,774.793,-4.115,399.977
2017-01-06 09:27:00,775.521,779.425,-4.025,30,84,775.20,775.65,1000,1000,779.15,779.75,120,93,775.05,775.70,3000,1000,779.00,779.80,982,522,7000,5000,774.961,775.755,778.750,780.050,-4.150,386.065
2017-01-06 09:28:00,775.321,779.079,-4.075,84,15,775.10,775.25,3000,1000,779.00,779.50,267,605,775.05,775.50,1000,1000,778.60,779.95,898,843,7000,7000,775.000,775.557,778.393,780.036,-4.070,374.298
2017-01-06 09:29:00,774.510,779.092,-4.275,50,164,774.65,774.95,1000,2000,778.65,779.50,55,1278,774.55,775.00,1000,1000,778.60,779.55,186,2690,5000,7000,774.501,775.312,778.520,779.814,-3.875,360.033
2017-01-06 09:30:00,773.008,777.005,-4.275,7,816,772.90,773.00,1000,1000,777.00,777.45,84,10,772.80,773.15,1000,1000,776.45,777.50,617,1078,5000,5000,772.560,773.086,776.290,777.720,-3.655,348.401
2017-01-06 09:31:00,772.245,776.138,-3.925,1027,408,772.00,772.40,3000,1000,775.80,776.45,25,80,771.70,772.45,1000,1000,775.60,776.50,1383,735,8000,5000,771.892,772.497,775.519,776.640,-3.425,363.869
2017-01-06 09:32:00,770.859,775.059,-4.200,202,5,770.95,771.00,2000,1000,775.00,775.35,30,92,770.90,771.20,1000,1000,774.80,775.40,455,805,6000,5000,770.835,771.348,774.650,775.480,-3.195,394.099
2017-01-06 09:33:00,771.090,775.009,-3.675,4,155,771.00,771.35,1000,1000,774.40,775.30,200,274,770.70,771.40,1000,1000,774.30,775.35,1554,1152,6000,5000,770.542,771.486,774.192,775.600,-3.070,450.121
2017-01-06 09:34:00,770.357,774.069,-3.300,100,163,770.65,770.70,1000,1000,773.70,774.25,535,203,770.50,770.75,1000,1000,773.55,774.30,713,2937,8000,5000,770.489,770.885,773.462,774.500,-2.930,499.514
2017-01-06 09:35:00,769.447,773.138,-3.175,17,27,769.90,770.05,1000,2000,772.85,773.45,1,116,769.80,770.10,1000,1000,772.80,773.95,188,3387,5000,7000,769.442,770.207,772.410,774.000,-2.855,534.102
2017-01-06 09:36:00,767.760,770.680,-2.775,99,200,767.70,767.80,2000,1000,770.05,771.00,11,50,767.55,767.90,5000,1000,770.00,771.05,1699,1555,10000,5000,767.163,768.059,769.905,771.200,-2.995,551.303
2017-01-06 09:37:00,770.995,773.667,-3.050,4,100,770.80,770.90,2000,2000,773.35,774.45,98,125,770.35,770.95,1000,2000,773.30,774.50,963,454,6000,9000,770.077,771.037,772.950,774.744,-2.970,545.878
2017-01-06 09:38:00,771.841,775.330,-3.050,25,75,771.60,771.75,1000,2000,774.45,775.00,92,55,771.55,772.00,1000,1000,774.30,775.70,394,258,19000,6000,771.482,771.978,773.200,775.517,-2.830,534.980
2017-01-06 09:39:00,771.850,774.333,-2.600,3,487,771.85,772.20,1000,2000,774.40,774.85,100,35,771.80,772.30,1000,4000,773.85,775.00,475,2148,5000,10000,771.737,772.377,773.820,775.225,-2.795,525.179
2017-01-06 09:40:00,773.802,776.896,-2.800,59,393,773.55,774.00,1000,3000,776.25,776.90,27,27,773.50,774.15,1000,1000,776.15,777.00,512,677,6000,7000,773.441,774.090,776.008,777.436,-2.715,514.406
2017-01-06 09:41:00,773.904,777.618,-3.475,74,10,773.80,773.95,1000,1000,776.90,777.80,135,1222,773.70,774.00,1000,2000,776.75,777.85,824,1313,7000,7000,773.628,774.017,776.614,778.400,-2.490,504.385
2017-01-06 09:42:00,777.214,780.369,-2.925,1,281,777.30,777.85,2000,1000,780.15,780.85,87,195,777.25,777.90,1000,8000,780.05,780.90,148,1675,6000,12000,777.193,777.965,779.883,781.050,-2.430,504.410
2017-01-06 09:43:00,772.994,775.500,-2.350,2856,279,772.65,773.20,2000,2000,774.85,775.70,5,1071,772.50,773.25,1000,1000,774.70,776.30,3422,1593,8000,11000,772.573,773.268,774.444,776.650,-2.380,505.825
