,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,324.138,324.857,-0.650,828,1767,324.15,324.20,6000,12000,324.75,324.90,2096,200,324.10,324.25,18000,33000,324.70,324.95,14220,20875,105000,102000,324.008,324.351,324.607,324.985,-0.685,0.000
2017-01-06 09:18:00,324.713,325.415,-0.775,2126,86,324.60,324.70,21000,15000,325.40,325.45,1526,150,324.55,324.75,3000,12000,325.35,325.50,37856,16636,42000,48000,324.462,324.872,325.329,325.528,-0.670,35.000
2017-01-06 09:19:00,324.594,325.308,-0.600,225,500,324.65,324.75,3000,3000,325.25,325.35,1341,4831,324.60,324.80,12000,15000,325.20,325.40,10420,33534,48000,48000,324.521,324.894,325.137,325.447,-0.705,38.931
2017-01-06 09:20:00,324.341,325.035,-0.700,330,100,324.25,324.30,3000,3000,324.95,325.00,2989,9452,324.20,324.40,9000,12000,324.90,325.05,29729,24355,51000,27000,324.092,324.463,324.826,325.083,-0.705,36.200
2017-01-06 09:21:00,324.530,325.180,-0.675,99,5909,324.50,324.60,3000,18000,325.15,325.30,1937,4499,324.45,324.65,12000,9000,325.10,325.35,21549,33484,42000,72000,324.355,324.708,325.039,325.404,-0.705,33.524
2017-01-06 09:22:00,325.029,325.707,-0.675,4546,50,325.00,325.10,12000,15000,325.70,325.75,2673,4617,324.95,325.15,12000,15000,325.65,325.80,26415,31974,57000,72000,324.885,325.225,325.608,325.850,-0.700,32.001
2017-01-06 09:23:00,325.370,326.141,-0.700,500,2696,325.40,325.50,15000,3000,326.10,326.20,1285,5496,325.35,325.55,3000,3000,326.05,326.25,14288,40149,45000,36000,325.250,325.629,326.013,326.342,-0.685,29.848
2017-01-06 09:24:00,325.419,326.192,-0.775,455,450,325.40,325.45,3000,3000,326.15,326.25,2476,3010,325.35,325.55,15000,15000,326.10,326.30,17842,25095,48000,60000,325.258,325.637,326.041,326.402,-0.650,28.209
2017-01-06 09:25:00,325.806,326.586,-0.700,268,1303,325.85,325.95,3000,3000,326.55,326.65,193,3981,325.80,326.00,9000,3000,326.50,326.70,12482,37163,39000,45000,325.700,326.093,326.427,326.777,-0.630,32.778
2017-01-06 09:26:00,326.003,326.610,-0.675,7271,2085,326.00,326.10,6000,15000,326.65,326.80,1248,570,325.95,326.15,15000,9000,326.60,326.85,24615,35533,63000,201000,325.891,326.239,326.543,326.934,-0.615,39.750
2017-01-06 09:27:00,326.078,326.596,-0.650,100,1086,326.05,326.10,15000,6000,326.65,326.80,1806,3100,326.00,326.15,9000,6000,326.60,326.85,22673,25912,63000,210000,325.890,326.231,326.562,326.941,-0.605,47.244
2017-01-06 09:28:00,326.825,327.545,-0.625,1685,8851,326.80,326.95,6000,3000,327.45,327.55,268,18150,326.75,327.00,6000,3000,327.40,327.60,19034,47208,39000,21000,326.647,327.037,327.350,327.650,-0.575,53.381
2017-01-06 09:29:00,326.056,326.664,-0.600,791,8800,326.05,326.10,3000,9000,326.65,326.70,9659,7977,326.00,326.15,12000,3000,326.55,326.75,29782,46687,36000,30000,325.936,326.195,326.517,326.800,-0.580,60.170
2017-01-06 09:30:00,325.891,326.507,-0.600,20,3211,325.90,325.95,3000,9000,326.45,326.60,898,5533,325.85,326.00,6000,9000,326.40,326.65,12342,27175,27000,36000,325.736,326.060,326.339,326.696,-0.575,60.983
2017-01-06 09:31:00,325.849,326.498,-0.600,880,3688,325.80,325.90,12000,12000,326.40,326.50,1565,6373,325.75,325.95,3000,6000,326.35,326.55,27776,37176,60000,39000,325.637,326.010,326.285,326.581,-0.585,60.575
2017-01-06 09:32:00,325.241,325.883,-0.600,260,428,325.25,325.30,9000,12000,325.80,325.95,550,4307,325.20,325.35,6000,15000,325.75,326.00,13263,26278,54000,63000,325.087,325.421,325.672,326.093,-0.610,59.031
2017-01-06 09:33:00,325.338,325.880,-0.475,500,2984,325.35,325.40,6000,12000,325.80,325.90,19900,2908,325.30,325.45,3000,9000,325.75,325.95,31618,35933,42000,39000,325.257,325.548,325.636,325.992,-0.660,57.170
2017-01-06 09:34:00,325.166,325.702,-0.625,20798,575,325.00,325.15,12000,18000,325.60,325.80,2535,2094,324.95,325.20,3000,3000,325.55,325.85,41859,8752,45000,45000,324.924,325.274,325.517,325.880,-0.680,59.171
2017-01-06 09:35:00,325.177,325.833,-0.575,2821,2161,325.10,325.25,6000,6000,325.70,325.80,1158,4587,325.05,325.30,9000,6000,325.65,325.85,34137,29279,54000,24000,324.995,325.381,325.569,325.887,-0.705,62.147
2017-01-06 09:36:00,325.108,325.796,-0.650,671,1306,325.10,325.20,12000,3000,325.75,325.85,2714,7635,325.05,325.25,3000,12000,325.70,325.90,13196,25100,39000,39000,324.968,325.310,325.631,325.958,-0.730,67.442
2017-01-06 09:37:00,324.995,325.754,-0.725,293,500,324.95,325.00,6000,3000,325.65,325.75,1175,1236,324.90,325.10,6000,3000,325.60,325.80,18432,18281,48000,36000,324.804,325.205,325.547,325.962,-0.755,73.296
2017-01-06 09:38:00,325.104,325.805,-0.725,937,274,325.05,325.20,12000,9000,325.80,325.90,10651,3046,325.00,325.25,12000,12000,325.75,325.95,29803,32062,42000,72000,324.931,325.346,325.714,326.035,-0.760,78.215
2017-01-06 09:39:00,324.955,325.729,-0.725,26,3267,324.95,325.00,3000,3000,325.65,325.75,159,1318,324.90,325.05,21000,6000,325.60,325.80,12936,20969,60000,39000,324.770,325.134,325.545,325.865,-0.775,79.335
