,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue
2017-01-06 09:17:00,204.198,205.685,-1.648,2012.000,1900.000,204.10,204.20,10500.000,10500.000,205.70,205.90,1535.000,1051.000,204.05,204.25,3500.000,7000.000,205.65,206.00,17010.000,10808.000,28000.000,52500.000,203.967,204.326,205.556,206.037,-1.691
2017-01-06 09:18:00,204.015,205.702,-1.772,462.000,8436.000,203.95,204.10,14000.000,7000.000,205.70,205.90,1064.000,233.000,203.90,204.15,7000.000,7000.000,205.60,205.95,13760.000,23429.000,38500.000,42000.000,203.800,204.183,205.564,206.021,-1.671
2017-01-06 09:19:00,204.011,205.667,-1.696,50.000,1566.000,203.90,204.00,3500.000,7000.000,205.60,205.70,25.000,1357.000,203.85,204.05,7000.000,3500.000,205.55,205.75,16447.000,13815.000,45500.000,35000.000,203.721,204.103,205.488,205.820,-1.657
2017-01-06 09:20:00,203.761,205.496,-1.720,1852.000,100.000,203.75,203.85,3500.000,3500.000,205.50,205.55,6424.000,6156.000,203.71,203.90,7000.000,17500.000,205.40,205.60,16634.000,24321.000,63000.000,66500.000,203.661,203.977,205.308,205.674,-1.658
2017-01-06 09:21:00,203.595,205.279,-1.644,811.000,5309.000,203.61,203.71,3500.000,3500.000,205.25,205.35,1149.000,2592.000,203.56,203.75,10500.000,10500.000,205.20,205.40,12974.000,29232.000,66500.000,70000.000,203.465,203.827,205.074,205.477,-1.685
2017-01-06 09:22:00,203.962,205.607,-1.622,1166.000,2715.000,203.95,204.10,7000.000,3500.000,205.60,205.70,1972.000,10168.000,203.90,204.15,3500.000,10500.000,205.55,205.75,13374.000,32162.000,63000.000,63000.000,203.816,204.209,205.494,205.831,-1.706
2017-01-06 09:23:00,204.228,205.856,-1.674,2049.000,540.000,204.20,204.25,10500.000,7000.000,205.85,205.95,1456.000,1552.000,204.15,204.30,3500.000,14000.000,205.80,206.00,21297.000,16533.000,31500.000,52500.000,204.088,204.401,205.750,206.050,-1.742
2017-01-06 09:24:00,204.233,205.803,-1.624,3431.000,900.000,204.20,204.25,7000.000,17500.000,205.80,205.90,522.000,1268.000,204.15,204.30,7000.000,14000.000,205.75,205.95,18439.000,15191.000,35000.000,73500.000,204.066,204.406,205.685,205.998,-1.788
2017-01-06 09:25:00,204.658,206.276,-1.727,225.000,1256.000,204.55,204.65,7000.000,7000.000,206.25,206.40,3114.000,4414.000,204.50,204.70,3500.000,7000.000,206.20,206.45,21712.000,14300.000,31500.000,49000.000,204.402,204.748,206.100,206.532,-1.803
2017-01-06 09:26:00,204.627,206.296,-1.776,1150.000,500.000,204.50,204.55,3500.000,3500.000,206.25,206.35,6254.000,1008.000,204.45,204.65,7000.000,14000.000,206.20,206.40,35202.000,14958.000,49000.000,49000.000,204.358,204.735,206.071,206.475,-1.808
2017-01-06 09:27:00,204.631,206.261,-1.727,2639.000,616.000,204.55,204.65,7000.000,3500.000,206.25,206.40,2731.000,5535.000,204.50,204.70,3500.000,17500.000,206.20,206.45,28977.000,20146.000,52500.000,87500.000,204.421,204.778,206.077,206.514,-1.824
2017-01-06 09:28:00,205.327,207.106,-1.856,1318.000,402.000,205.24,205.29,7000.000,14000.000,207.05,207.20,1999.000,64.000,205.19,205.34,52500.000,7000.000,207.00,207.25,21841.000,8161.000,73500.000,66500.000,205.117,205.463,206.983,207.321,-1.803
2017-01-06 09:29:00,204.899,206.705,-1.853,1650.000,4593.000,204.85,204.90,7000.000,3500.000,206.70,206.75,50.000,3098.000,204.80,204.95,7000.000,10500.000,206.60,206.80,26505.000,24726.000,45500.000,31500.000,204.693,205.008,206.512,206.856,-1.782
2017-01-06 09:30:00,204.736,206.595,-1.803,4535.000,1628.000,204.75,204.80,10500.000,7000.000,206.50,206.65,345.000,3163.000,204.70,204.85,7000.000,3500.000,206.45,206.70,15179.000,20105.000,59500.000,42000.000,204.653,204.927,206.350,206.775,-1.821
2017-01-06 09:31:00,204.934,206.671,-1.803,92.000,3070.000,204.90,204.95,10500.000,14000.000,206.65,206.80,170.000,1409.000,204.85,205.00,3500.000,7000.000,206.60,206.85,16766.000,17674.000,38500.000,63000.000,204.731,205.076,206.559,206.914,-1.841
2017-01-06 09:32:00,204.877,206.696,-1.803,2723.000,6234.000,204.80,204.95,3500.000,3500.000,206.65,206.70,6287.000,6835.000,204.75,205.00,14000.000,24500.000,206.60,206.75,34911.000,34789.000,66500.000,70000.000,204.688,205.047,206.532,206.835,-1.865
2017-01-06 09:33:00,204.515,206.276,-1.751,1.000,2945.000,204.55,204.60,17500.000,10500.000,206.25,206.40,4001.000,2409.000,204.50,204.65,7000.000,14000.000,206.20,206.45,10791.000,22925.000,59500.000,73500.000,204.429,204.728,206.121,206.531,-1.905
2017-01-06 09:34:00,204.339,206.176,-1.750,2.000,1789.000,204.35,204.40,28000.000,7000.000,206.05,206.20,3142.000,4244.000,204.25,204.45,24500.000,3500.000,206.00,206.25,22414.000,25788.000,87500.000,35000.000,204.163,204.540,205.972,206.330,-1.940
