,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue
2017-01-06 09:17:00,82.988,83.375,-0.475,12526.000,8072.000,82.90,83.00,8000.000,8000.000,83.40,83.45,22476.000,6168.000,82.85,83.05,8000.000,8000.000,83.30,83.50,90212.000,52001.000,48000.000,64000.000,82.796,83.113,83.258,83.581,-0.475
2017-01-06 09:18:00,83.222,83.633,-0.475,1009.000,16575.000,83.20,83.25,8000.000,8000.000,83.65,83.75,8100.000,5404.000,83.15,83.30,8000.000,24000.000,83.60,83.80,66743.000,84051.000,64000.000,120000.000,83.063,83.359,83.519,83.873,-0.455
2017-01-06 09:19:00,83.172,83.521,-0.500,3909.000,1271.000,83.10,83.15,8000.000,8000.000,83.55,83.70,9546.000,2162.000,83.05,83.20,40000.000,24000.000,83.50,83.75,99667.000,52883.000,80000.000,184000.000,82.958,83.305,83.450,83.830,-0.440
2017-01-06 09:20:00,83.112,83.473,-0.500,882.000,162.000,83.05,83.10,8000.000,48000.000,83.50,83.65,17892.000,607.000,83.00,83.15,8000.000,64000.000,83.45,83.70,92864.000,50180.000,40000.000,184000.000,82.918,83.260,83.370,83.722,-0.435
2017-01-06 09:21:00,83.054,83.374,-0.450,4097.000,4235.000,83.00,83.10,8000.000,8000.000,83.45,83.55,17279.000,3560.000,82.95,83.15,8000.000,8000.000,83.40,83.60,101841.000,91607.000,56000.000,144000.000,82.876,83.236,83.257,83.672,-0.440
2017-01-06 09:22:00,83.126,83.448,-0.450,500.000,2564.000,83.10,83.15,8000.000,16000.000,83.50,83.65,5246.000,26640.000,83.05,83.20,16000.000,32000.000,83.45,83.70,89575.000,106065.000,56000.000,144000.000,82.949,83.271,83.321,83.750,-0.440
2017-01-06 09:23:00,82.815,83.276,-0.375,750.000,2340.000,82.85,82.90,8000.000,24000.000,83.15,83.35,2.000,2941.000,82.80,82.95,8000.000,24000.000,83.10,83.50,30724.000,69548.000,64000.000,88000.000,82.671,83.052,83.025,83.536,-0.460
2017-01-06 09:24:00,83.168,83.492,-0.425,3163.000,13511.000,83.15,83.25,8000.000,16000.000,83.55,83.70,2422.000,17636.000,83.10,83.30,16000.000,16000.000,83.50,83.75,52678.000,90975.000,64000.000,128000.000,83.016,83.356,83.419,83.828,-0.475
2017-01-06 09:25:00,83.390,83.768,-0.475,2330.000,2714.000,83.35,83.40,16000.000,48000.000,83.80,83.90,16272.000,7629.000,83.30,83.45,16000.000,8000.000,83.70,83.95,99880.000,82299.000,64000.000,136000.000,83.220,83.531,83.650,83.988,-0.475
2017-01-06 09:26:00,83.311,83.664,-0.475,1660.000,3275.000,83.25,83.30,8000.000,8000.000,83.65,83.85,2455.000,3782.000,83.20,83.35,24000.000,80000.000,83.60,83.90,89802.000,59164.000,64000.000,168000.000,83.095,83.457,83.537,83.940,-0.470
