,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue
2017-01-06 09:17:00,75.601,75.729,-0.275,15792.000,5000.000,75.55,75.60,17000.000,17000.000,75.75,75.95,4288.000,4387.000,75.50,75.65,17000.000,204000.000,75.70,76.00,130563.000,101724.000,85000.000,323000.000,75.409,75.728,75.590,76.047,-0.255
2017-01-06 09:18:00,75.648,75.884,-0.275,3952.000,32531.000,75.60,75.70,17000.000,204000.000,75.85,76.00,25177.000,18317.000,75.55,75.75,68000.000,17000.000,75.80,76.05,141109.000,151408.000,153000.000,323000.000,75.474,75.818,75.750,76.053,-0.260
2017-01-06 09:19:00,75.629,75.808,-0.250,3521.000,16298.000,75.60,75.65,68000.000,17000.000,75.80,75.95,4053.000,43318.000,75.55,75.70,17000.000,238000.000,75.75,76.00,163205.000,166754.000,170000.000,374000.000,75.458,75.781,75.720,76.030,-0.265
2017-01-06 09:20:00,75.672,75.904,-0.250,6720.000,43821.000,75.65,75.70,17000.000,34000.000,75.90,75.95,17100.000,7651.000,75.60,75.75,34000.000,221000.000,75.85,76.00,119676.000,139118.000,238000.000,442000.000,75.532,75.803,75.775,76.038,-0.280
2017-01-06 09:21:00,75.738,75.977,-0.250,2287.000,14590.000,75.70,75.75,34000.000,68000.000,75.95,76.00,37598.000,13294.000,75.65,75.80,34000.000,68000.000,75.90,76.05,149809.000,118180.000,306000.000,357000.000,75.580,75.880,75.825,76.100,-0.285
2017-01-06 09:22:00,75.825,76.147,-0.250,7838.000,20982.000,75.80,75.85,85000.000,136000.000,76.00,76.15,6621.000,28550.000,75.75,75.90,51000.000,85000.000,75.95,76.20,137986.000,160987.000,442000.000,306000.000,75.666,75.961,75.867,76.200,-0.290
2017-01-06 09:23:00,75.928,76.252,-0.300,39740.000,17418.000,75.90,75.95,34000.000,51000.000,76.20,76.25,29483.000,34362.000,75.85,76.00,17000.000,34000.000,76.15,76.30,188345.000,160086.000,187000.000,170000.000,75.793,76.074,76.068,76.340,-0.290
2017-01-06 09:24:00,75.859,76.148,-0.275,19608.000,33683.000,75.80,75.90,17000.000,68000.000,76.10,76.15,59077.000,18079.000,75.75,75.95,85000.000,51000.000,76.05,76.20,176055.000,149216.000,255000.000,204000.000,75.708,75.999,76.003,76.225,-0.290
2017-01-06 09:25:00,75.795,76.122,-0.325,41121.000,2325.000,75.75,75.80,34000.000,51000.000,76.05,76.15,29860.000,11412.000,75.70,75.85,85000.000,102000.000,76.00,76.20,181895.000,102637.000,289000.000,221000.000,75.652,75.938,75.968,76.223,-0.280
2017-01-06 09:26:00,75.922,76.264,-0.275,1825.000,10184.000,75.90,75.95,34000.000,17000.000,76.15,76.25,58331.000,33831.000,75.85,76.00,51000.000,17000.000,76.10,76.30,164527.000,154064.000,374000.000,187000.000,75.785,76.081,76.014,76.382,-0.275
