,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-13 09:17:00,180.047,180.471,-0.400,6910,618,180.00,180.10,4000,4000,180.40,180.50,1279,1329,179.95,180.15,8000,4000,180.35,180.55,17439,11619,24000,24000,179.930,180.237,180.292,180.758,-0.365,0.000
2017-01-13 09:18:00,179.780,180.082,-0.375,8721,418,179.70,179.75,16000,4000,180.05,180.15,2968,50,179.65,179.80,8000,4000,180.00,180.25,24402,7485,40000,36000,179.605,179.881,179.915,180.439,-0.340,35.000
2017-01-13 09:19:00,179.607,179.929,-0.250,938,1692,179.65,179.70,8000,4000,179.90,179.95,252,6304,179.60,179.75,8000,4000,179.85,180.00,9337,27708,32000,24000,179.515,179.819,179.819,180.058,-0.360,41.721
2017-01-13 09:20:00,180.096,180.456,-0.425,2742,474,180.00,180.10,4000,20000,180.45,180.50,7487,269,179.95,180.15,4000,12000,180.40,180.55,27881,12952,20000,44000,179.882,180.264,180.330,180.559,-0.350,35.671
2017-01-13 09:21:00,180.319,180.802,-0.450,3440,6769,180.25,180.35,28000,4000,180.70,180.80,7769,1107,180.20,180.40,12000,4000,180.65,180.90,26230,20458,72000,40000,180.150,180.448,180.592,180.965,-0.315,31.518
2017-01-13 09:22:00,180.086,180.478,-0.325,300,475,180.15,180.20,20000,16000,180.40,180.60,2057,2512,180.10,180.25,4000,4000,180.30,180.65,9737,30963,44000,48000,180.004,180.346,180.305,180.696,-0.340,40.493
2017-01-13 09:23:00,179.795,180.156,-0.250,2362,626,179.75,179.90,16000,4000,180.00,180.15,2606,4830,179.70,179.95,8000,4000,179.95,180.20,19284,23949,44000,20000,179.638,180.029,179.914,180.290,-0.370,38.348
2017-01-13 09:24:00,179.765,180.148,-0.350,3677,100,179.70,179.80,20000,16000,180.00,180.20,5914,200,179.65,179.85,8000,8000,179.95,180.25,26580,16718,48000,36000,179.590,179.966,179.938,180.294,-0.390,37.270
2017-01-13 09:25:00,179.704,180.166,-0.375,2304,2944,179.70,179.80,4000,8000,180.05,180.20,1898,4365,179.65,179.85,16000,12000,180.00,180.25,19789,32896,48000,40000,179.559,179.938,179.946,180.310,-0.410,36.441
2017-01-13 09:26:00,179.261,179.635,-0.275,16,1759,179.30,179.40,4000,20000,179.55,179.70,399,2310,179.25,179.45,28000,4000,179.50,179.75,8370,25808,48000,48000,179.130,179.539,179.467,179.829,-0.465,39.754
2017-01-13 09:27:00,179.769,180.294,-0.450,5904,3816,179.70,179.85,8000,4000,180.20,180.25,2117,3401,179.65,179.90,12000,4000,180.15,180.35,25194,25574,68000,36000,179.598,179.962,180.088,180.411,-0.495,60.600
2017-01-13 09:28:00,179.496,179.893,-0.400,160,1837,179.50,179.55,12000,4000,179.85,180.00,210,2582,179.45,179.60,12000,8000,179.80,180.05,7355,15464,44000,44000,179.314,179.669,179.755,180.127,-0.530,74.314
2017-01-13 09:29:00,179.428,179.909,-0.450,701,79,179.45,179.50,8000,12000,179.85,180.00,595,92,179.40,179.55,8000,4000,179.80,180.05,6810,10400,32000,32000,179.328,179.650,179.744,180.088,-0.570,84.828
2017-01-13 09:30:00,179.747,180.292,-0.475,1190,874,179.70,179.85,12000,8000,180.20,180.30,2389,5104,179.65,179.90,4000,12000,180.15,180.40,18680,26804,52000,48000,179.563,179.971,180.073,180.438,-0.585,95.575
2017-01-13 09:31:00,179.844,180.368,-0.550,2792,114,179.85,179.90,8000,8000,180.35,180.50,830,50,179.80,179.95,12000,12000,180.30,180.55,14295,19346,32000,56000,179.730,180.036,180.275,180.600,-0.615,103.293
2017-01-13 09:32:00,180.078,180.654,-0.600,1046,10,180.00,180.05,4000,4000,180.60,180.65,5312,692,179.95,180.10,20000,4000,180.55,180.70,32496,15343,68000,32000,179.867,180.195,180.459,180.781,-0.625,107.043
