,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-13 09:17:00,673.223,676.530,-3.200,14,505,673.20,673.50,1200,1200,676.35,676.75,134,929,673.05,673.55,1200,1200,676.30,676.80,597,1715,6000,6000,673.003,673.558,676.180,676.880,-3.045,0.000
2017-01-13 09:18:00,673.415,676.407,-3.125,87,195,673.10,673.55,1200,2400,676.30,676.60,193,8,673.05,673.60,2400,2400,676.25,676.85,966,565,7200,9600,672.991,673.651,676.100,676.844,-3.035,155.000
2017-01-13 09:19:00,673.412,676.886,-3.425,202,120,673.35,673.80,1200,1200,676.75,677.25,1,84,673.30,673.90,1200,1200,676.70,677.30,675,1751,6000,10800,673.235,674.080,676.620,677.389,-2.960,141.918
2017-01-13 09:20:00,673.348,676.104,-2.675,34,57,673.35,673.65,2400,2400,675.95,676.40,388,994,673.05,673.70,1200,1200,675.65,676.45,1762,2282,7200,8400,672.993,673.727,675.700,676.579,-3.015,203.618
2017-01-13 09:21:00,673.062,675.988,-2.925,1192,167,673.00,673.15,2400,2400,675.80,676.20,10,80,672.95,673.30,2400,1200,675.60,676.40,2031,1723,8400,7200,672.918,673.495,675.514,676.408,-3.015,182.145
2017-01-13 09:22:00,673.345,676.427,-3.075,9,120,673.35,673.45,1200,2400,676.30,676.65,1,490,673.10,673.50,2400,1200,676.25,676.70,1600,1682,7200,8400,672.982,673.608,676.133,676.814,-3.035,164.762
2017-01-13 09:23:00,674.284,677.195,-3.075,130,173,674.10,674.40,1200,1200,677.15,677.50,51,107,674.05,674.50,1200,1200,677.10,677.60,772,718,6000,7200,673.873,674.535,676.850,677.708,-2.970,150.462
2017-01-13 09:24:00,674.759,677.598,-3.050,10,97,674.65,674.75,3600,1200,677.60,677.90,61,340,674.60,674.80,6000,4800,677.55,677.95,744,592,13200,21600,674.479,674.818,677.464,678.139,-2.965,141.451
2017-01-13 09:25:00,676.415,679.254,-2.950,65,362,676.35,676.45,1200,1200,679.15,679.55,25,1,676.15,676.50,2400,1200,679.00,679.60,636,828,9600,7200,676.039,676.647,678.781,679.658,-3.075,132.327
2017-01-13 09:26:00,675.146,678.020,-2.925,43,127,675.00,675.20,1200,1200,677.85,678.20,10,99,674.80,675.25,1200,1200,677.80,678.30,825,573,6000,6000,674.633,675.318,677.590,678.450,-3.225,126.352
