,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,1809.768,1807.947,2.000,43,30,1809.75,1810.00,500,2500,1807.75,1808.00,54,20,1809.70,1810.80,1000,500,1807.70,1808.40,196,678,3000,5000,1809.667,1810.913,1807.558,1808.300,2.150,0.000
2017-01-06 09:18:00,1806.747,1805.350,1.300,500,44,1806.15,1807.10,500,1000,1805.20,1805.45,84,79,1805.95,1807.15,2000,500,1805.05,1805.85,761,350,4000,5000,1806.056,1807.259,1804.894,1805.960,2.380,150.000
2017-01-06 09:19:00,1808.621,1805.480,2.625,81,1,1808.10,1808.25,1000,2000,1805.35,1805.75,20,50,1808.05,1808.75,1000,500,1805.30,1805.80,1381,325,4500,7000,1807.867,1808.843,1805.200,1805.946,2.290,526.972
2017-01-06 09:20:00,1806.948,1804.734,2.075,467,15,1806.70,1807.00,1000,500,1804.65,1804.90,2,453,1806.30,1807.25,2000,5000,1804.45,1805.00,973,624,5000,7500,1806.432,1807.354,1804.405,1805.110,2.550,467.128
2017-01-06 09:21:00,1806.545,1804.369,2.550,94,25,1806.85,1806.95,1000,7000,1804.20,1804.50,12,20,1806.25,1807.35,500,1000,1804.15,1804.60,143,274,4500,13000,1806.607,1807.399,1804.100,1804.729,2.660,489.164
2017-01-06 09:22:00,1806.946,1804.100,2.200,20,100,1806.20,1806.45,500,1000,1804.05,1804.20,86,20,1806.15,1806.95,1000,1500,1804.00,1804.25,761,262,3500,5000,1806.054,1806.963,1803.843,1804.380,2.855,501.921
2017-01-06 09:23:00,1806.873,1804.222,2.450,20,20,1806.45,1806.95,500,500,1804.05,1804.45,72,12,1806.30,1807.40,2000,500,1804.00,1804.50,337,317,5500,3500,1806.223,1807.470,1803.732,1804.650,2.950,541.087
2017-01-06 09:24:00,1806.950,1804.176,2.175,64,157,1806.15,1806.75,500,1500,1804.05,1804.50,45,20,1806.10,1807.20,500,1000,1804.00,1804.85,1028,337,4000,9500,1806.035,1807.047,1803.875,1804.916,3.320,545.311
2017-01-06 09:25:00,1806.614,1802.987,3.375,132,53,1806.10,1806.75,500,500,1802.85,1803.25,223,50,1806.00,1807.05,500,500,1802.45,1803.35,469,234,3000,3000,1805.950,1807.028,1802.375,1803.508,3.515,626.743
2017-01-06 09:26:00,1803.968,1800.873,3.100,20,50,1803.65,1804.05,500,3000,1800.50,1801.00,40,50,1803.60,1804.70,500,500,1800.45,1801.90,139,223,4000,8000,1803.559,1804.614,1800.294,1801.631,3.795,672.778
2017-01-06 09:27:00,1802.581,1799.746,3.175,295,521,1802.70,1803.00,500,1000,1799.35,1800.00,84,20,1802.10,1803.15,500,500,1799.30,1800.25,514,994,3500,3500,1802.420,1803.168,1799.064,1800.386,3.955,732.250
2017-01-06 09:28:00,1800.556,1797.530,2.925,15,20,1800.10,1800.85,500,500,1797.45,1797.65,184,44,1799.95,1800.90,1500,500,1797.40,1797.95,588,386,3500,7500,1799.806,1801.010,1797.329,1797.983,4.190,772.946
2017-01-06 09:29:00,1800.026,1796.304,4.025,254,20,1800.00,1800.60,1500,500,1796.00,1796.55,251,144,1799.80,1800.65,500,500,1795.70,1796.70,637,781,4000,2500,1799.794,1800.704,1795.725,1796.790,4.285,822.065
2017-01-06 09:30:00,1801.148,1796.718,4.350,1,10,1801.00,1801.45,500,5500,1796.75,1797.00,10,43,1800.75,1801.50,500,500,1796.55,1797.10,222,186,3500,12000,1800.501,1801.604,1796.450,1797.260,4.640,833.931
2017-01-06 09:31:00,1801.901,1797.316,4.500,20,98,1801.30,1802.00,1000,1000,1796.90,1797.40,122,54,1801.25,1802.40,500,500,1796.80,1797.50,492,378,5000,3000,1801.112,1802.361,1796.675,1797.617,4.830,858.002
2017-01-06 09:32:00,1802.641,1798.626,3.975,49,17,1802.40,1802.50,4500,500,1798.25,1798.70,84,408,1802.35,1803.00,1500,500,1798.20,1798.75,380,471,9000,2500,1802.214,1802.990,1798.158,1798.830,5.245,870.922
2017-01-06 09:33:00,1804.075,1799.874,4.100,100,100,1803.95,1804.00,500,500,1799.80,1799.95,5,30,1803.65,1804.10,1000,1500,1799.75,1800.00,211,174,4000,5500,1803.746,1804.145,1799.388,1800.241,5.625,902.831
2017-01-06 09:34:00,1804.590,1800.210,4.500,13,50,1804.35,1805.00,2500,1000,1800.00,1800.35,65,100,1804.30,1805.35,1000,2000,1799.80,1800.50,519,924,6000,4500,1804.076,1805.464,1799.767,1800.578,5.725,942.490
2017-01-06 09:35:00,1804.553,1799.161,6.125,56,5,1805.00,1805.15,2500,1500,1798.80,1799.10,20,23,1804.15,1805.20,500,500,1798.65,1799.45,332,488,5500,4000,1804.206,1805.298,1798.636,1799.631,5.580,976.800
2017-01-06 09:36:00,1805.562,1800.986,5.450,50,393,1806.15,1806.45,1000,3000,1800.70,1801.00,20,388,1805.25,1806.50,1500,500,1800.65,1801.45,144,1389,5500,5000,1805.506,1806.600,1800.205,1801.280,5.600,974.898
2017-01-06 09:37:00,1804.761,1799.066,6.050,8,150,1805.05,1805.30,500,1500,1799.00,1799.25,21,30,1805.00,1805.45,500,4000,1798.85,1799.50,243,1012,3000,8000,1804.554,1805.575,1798.783,1799.509,5.485,965.686
2017-01-06 09:38:00,1806.142,1800.204,6.000,81,55,1806.00,1806.40,1500,1000,1800.00,1800.40,20,16,1805.35,1806.45,500,500,1799.85,1800.45,330,182,4000,3000,1805.362,1806.488,1799.800,1800.533,5.155,943.867
2017-01-06 09:39:00,1805.422,1799.838,5.000,43,4,1804.75,1805.00,500,500,1799.70,1800.05,20,123,1804.70,1805.15,1000,500,1799.40,1800.10,451,185,3500,2500,1804.611,1805.370,1799.264,1800.260,4.845,927.595
2017-01-06 09:40:00,1805.007,1799.131,5.400,39,10,1804.05,1805.00,1000,3000,1799.00,1799.25,912,155,1804.00,1805.15,1000,1000,1798.90,1799.45,1669,363,3500,5500,1803.919,1805.290,1798.814,1799.423,4.455,925.576
2017-01-06 09:41:00,1804.878,1799.433,5.550,45,82,1804.80,1805.15,1500,1500,1799.15,1799.70,5,20,1804.65,1805.20,500,500,1798.95,1799.75,154,205,4000,3500,1804.385,1805.323,1798.894,1799.857,4.025,934.735
2017-01-06 09:42:00,1804.967,1799.869,5.475,3,44,1804.80,1805.55,1500,1000,1799.50,1799.90,5,88,1804.65,1805.60,1500,500,1799.45,1800.15,233,396,5000,3000,1804.509,1805.722,1799.380,1800.217,3.565,968.507
2017-01-06 09:43:00,1804.915,1800.732,4.350,21,64,1804.55,1805.45,500,2000,1800.40,1800.90,93,93,1804.50,1805.50,1000,500,1800.35,1801.00,513,709,3000,4000,1804.356,1805.806,1800.275,1801.181,3.285,1021.623
2017-01-06 09:44:00,1805.195,1801.973,3.450,270,140,1805.30,1805.50,1000,500,1801.90,1802.00,132,20,1805.25,1805.80,500,500,1801.70,1802.20,526,3056,4000,3500,1805.255,1805.973,1801.681,1802.257,3.125,1065.163
2017-01-06 09:45:00,1805.011,1801.839,3.450,119,157,1804.80,1805.40,1500,1500,1801.45,1801.85,70,139,1804.60,1805.50,500,500,1801.40,1802.00,299,402,6000,3500,1804.652,1805.497,1801.167,1802.050,2.865,1095.312
2017-01-06 09:46:00,1804.550,1801.228,3.400,179,20,1804.50,1804.80,500,500,1801.05,1801.45,28,16,1804.35,1805.25,2000,1000,1801.00,1801.50,234,213,4500,4500,1804.452,1805.304,1800.911,1801.650,2.560,1116.027
2017-01-06 09:47:00,1804.588,1801.674,3.175,28,244,1804.55,1805.00,500,1500,1801.40,1801.80,36,10,1804.50,1805.30,2000,500,1801.35,1801.85,189,527,6000,4500,1804.195,1805.241,1801.146,1802.000,2.315,1129.398
