,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score
2017-01-06 09:17:00,136.131,136.616,-0.500,2294,15911,136.10,136.20,22000,44000,136.60,136.70,730,5527,136.05,136.25,11000,22000,136.55,136.75,60827,91927,121000,198000,135.940,136.320,136.505,136.850,-0.710,0.000
2017-01-06 09:18:00,136.280,136.829,-0.700,2545,191,136.10,136.15,55000,22000,136.75,136.90,1342,10,136.05,136.20,44000,77000,136.70,136.95,68220,7423,231000,220000,135.935,136.293,136.614,136.980,-0.705,210.000
2017-01-06 09:19:00,136.213,136.826,-0.650,100,3787,136.15,136.25,22000,11000,136.80,136.90,1632,6436,136.10,136.30,33000,11000,136.75,136.95,38349,39362,132000,143000,135.991,136.378,136.692,137.012,-0.695,166.020
2017-01-06 09:20:00,136.218,136.888,-0.675,8493,4483,136.20,136.25,11000,66000,136.85,136.95,107,5908,136.15,136.30,55000,66000,136.80,137.00,50131,57594,165000,231000,136.058,136.384,136.750,137.029,-0.695,142.900
2017-01-06 09:21:00,136.448,137.146,-0.725,8640,5395,136.40,136.45,22000,22000,137.10,137.20,3116,55247,136.35,136.50,44000,11000,137.05,137.25,71018,89407,154000,143000,136.246,136.526,137.004,137.315,-0.695,127.794
2017-01-06 09:22:00,136.845,137.506,-0.800,2714,1520,136.75,136.80,22000,77000,137.50,137.65,5579,1144,136.70,136.85,11000,66000,137.45,137.70,99375,41652,121000,308000,136.591,136.975,137.382,137.746,-0.690,116.060
2017-01-06 09:23:00,136.871,137.491,-0.675,23164,275,136.85,136.90,11000,55000,137.50,137.60,2233,15456,136.80,136.95,22000,33000,137.45,137.65,76220,76237,132000,286000,136.733,137.025,137.375,137.717,-0.710,106.262
2017-01-06 09:24:00,136.583,137.253,-0.600,167,626,136.60,136.65,11000,55000,137.20,137.25,3146,10503,136.55,136.70,55000,11000,137.15,137.30,44798,74153,220000,154000,136.466,136.789,137.060,137.339,-0.750,98.398
2017-01-06 09:25:00,136.474,137.192,-0.675,1904,2485,136.45,136.50,55000,77000,137.10,137.20,9583,2245,136.40,136.55,11000,11000,137.05,137.25,45289,39671,209000,154000,136.326,136.646,136.992,137.264,-0.775,94.075
2017-01-06 09:26:00,136.797,137.367,-0.725,758,4687,136.70,136.75,22000,22000,137.40,137.50,2761,1578,136.65,136.80,22000,11000,137.35,137.55,77032,41012,187000,341000,136.528,136.887,137.282,137.645,-0.785,92.616
