,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,Y
2017-02-06 09:17:00,652.748,652.996,652.527,653.370,651.640,654.421,652.85,653.00,652.20,653.80,652.55,653.15,652.15,654.70,80,122,1100,3300,50,87,1100,1100,248,483,5500,7700,0
2017-02-06 09:18:00,652.795,653.154,652.371,653.612,652.100,654.250,652.80,653.00,652.50,653.70,652.70,653.35,652.45,654.25,32,197,1100,3300,50,175,1100,1100,412,1699,5500,7700,0
2017-02-06 09:19:00,650.966,651.650,650.625,651.593,650.575,652.567,651.00,651.30,650.80,651.80,650.65,651.35,650.65,652.50,53,37,1100,2200,50,87,1100,1100,370,554,6600,6600,0
2017-02-06 09:20:00,649.955,650.885,649.634,650.640,649.700,651.929,649.75,650.25,650.50,651.65,649.70,650.30,650.20,651.70,13,75,1100,2200,94,82,1100,2200,547,708,6600,7700,0
2017-02-06 09:21:00,650.965,651.886,650.312,651.156,650.775,652.740,650.85,650.90,651.45,652.50,650.60,651.00,651.40,652.55,250,7,1100,1100,50,195,1100,1100,2118,690,6600,5500,0
2017-02-06 09:22:00,651.436,652.208,650.991,651.911,651.314,653.010,651.15,651.50,652.30,652.55,651.10,651.75,651.05,652.95,50,2,2200,1100,1100,178,1100,1100,1828,1116,7700,5500,0
2017-02-06 09:23:00,650.823,652.054,650.525,651.198,651.125,652.843,651.00,651.05,651.45,652.50,650.95,651.10,651.40,652.55,200,76,1100,1100,5,50,1100,3300,887,817,6600,7700,0
2017-02-06 09:24:00,650.179,651.131,649.581,650.439,650.517,651.893,649.95,650.25,651.00,651.65,649.70,650.30,650.55,651.70,8,50,2200,1100,190,77,1100,3300,1977,744,6600,7700,0
2017-02-06 09:25:00,650.817,652.140,650.228,650.931,651.410,652.870,650.50,650.75,651.55,652.50,650.45,650.80,651.50,652.80,30,25,1100,1100,25,50,1100,1100,1013,313,5500,5500,0
2017-02-06 09:26:00,650.398,651.677,650.078,650.795,650.950,652.617,650.30,650.65,651.25,652.35,650.25,650.70,651.20,652.40,50,63,1100,1100,3,335,1100,1100,654,994,5500,6600,0
2017-02-06 09:27:00,649.979,650.768,649.634,650.317,650.460,652.036,649.85,650.00,651.05,651.90,649.80,650.25,651.00,651.95,50,150,1100,1100,59,24,1100,1100,439,466,5500,15400,0
2017-02-06 09:28:00,649.735,650.870,649.516,650.120,650.540,652.000,649.70,649.95,651.05,651.85,649.50,650.00,651.00,651.90,106,129,1100,1100,171,50,1100,2200,417,487,5500,16500,0
2017-02-06 09:29:00,649.342,650.832,649.065,649.642,650.110,651.675,649.30,649.50,650.35,651.50,649.15,649.55,650.30,651.55,160,250,1100,1100,25,7,1100,1100,761,697,5500,6600,0
2017-02-06 09:30:00,649.310,650.790,649.059,649.548,650.090,651.490,649.25,649.35,650.40,651.00,649.10,649.45,650.25,651.25,450,3,1100,1100,100,303,1100,1100,1039,574,5500,5500,0
2017-02-06 09:31:00,649.731,651.097,649.522,650.288,650.660,652.083,649.85,650.15,651.05,651.95,649.65,650.20,650.70,652.00,10,50,1100,2200,30,33,1100,11000,166,690,5500,16500,0
2017-02-06 09:32:00,649.674,650.859,649.123,649.955,650.250,651.725,649.35,649.80,650.65,651.50,649.30,649.85,650.60,651.55,1,50,1100,1100,39,75,1100,1100,1012,670,5500,6600,0
2017-02-06 09:33:00,649.566,650.632,649.249,649.672,650.090,651.217,649.40,649.45,650.25,650.95,649.35,649.50,650.20,651.00,472,105,1100,1100,45,59,1100,2200,1561,610,5500,6600,0
2017-02-06 09:34:00,649.694,650.846,649.526,650.107,650.021,651.408,649.70,649.95,650.45,651.00,649.60,650.00,650.20,651.45,114,50,1100,2200,100,21,2200,1100,489,1088,7700,6600,0
2017-02-06 09:35:00,649.561,650.276,649.418,650.326,649.917,651.808,649.70,649.85,650.05,651.00,649.60,649.90,650.00,651.45,146,17,1100,1100,100,69,2200,1100,686,2071,6600,14300,0
2017-02-06 09:36:00,648.996,649.800,648.972,649.588,649.190,650.712,649.10,649.40,649.30,650.40,649.00,649.45,649.25,650.45,50,99,1100,1100,179,6,1100,3300,299,777,5500,8800,0
2017-02-06 09:37:00,648.521,649.332,648.007,648.734,648.670,650.050,648.10,648.60,648.95,649.50,648.05,648.65,648.90,649.90,155,59,1100,1100,298,50,1100,2200,2858,791,5500,6600,0
2017-02-06 09:38:00,648.833,649.769,648.509,649.148,649.260,650.819,648.80,648.95,649.40,650.50,648.65,649.00,649.35,650.55,1,50,1100,1100,8,115,1100,1100,395,492,5500,8800,0
2017-02-06 09:39:00,649.244,649.935,648.517,649.447,649.093,650.617,649.00,649.20,649.25,650.00,648.80,649.35,649.20,650.65,100,10,1100,1100,45,35,1100,1100,5002,1839,7700,6600,0
2017-02-06 09:40:00,649.782,650.128,649.060,649.938,649.180,650.775,649.25,649.70,649.55,650.45,649.20,649.75,649.15,650.50,178,36,3300,1100,297,21,1100,1100,1026,167,11000,6600,0
2017-02-06 09:41:00,649.499,650.000,648.895,649.583,649.420,650.800,649.15,649.50,649.70,650.50,649.10,649.55,649.60,650.55,156,299,1100,1100,200,219,1100,1100,1171,653,5500,6600,0
2017-02-06 09:42:00,649.844,650.059,649.205,649.961,649.450,650.883,649.45,649.55,649.75,650.75,649.40,649.90,649.70,650.80,16,1,1100,1100,36,21,1100,1100,478,123,5500,6600,0
2017-02-06 09:43:00,649.950,650.326,649.306,650.054,649.750,651.808,649.50,649.95,649.90,651.00,649.45,650.00,649.85,651.60,50,49,1100,2200,30,75,1100,1100,384,189,5500,13200,0
