,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-25 09:17:00,726.215,726.970,726.123,726.867,726.650,727.380,726.60,726.65,726.90,727.25,726.35,726.80,726.85,727.35,52,219,1200,1200,26,183,1200,7200,503,5211,6000,12000,50718,156000,3419439525,10525914000,941.36,0
2017-01-25 09:18:00,726.712,727.547,726.536,727.037,727.200,728.382,726.65,726.90,727.60,727.70,726.60,726.95,727.30,728.00,20,1,1200,1200,285,228,1200,2400,633,1396,7200,13200,78093,235200,5270483325,15886410000,940.90,0
2017-01-25 09:19:00,725.429,726.660,725.015,725.646,726.090,727.230,725.20,725.45,726.50,726.85,725.15,725.50,726.15,726.90,40,5,1200,1200,18,227,1200,1200,918,774,6000,6000,102022,273600,6887012870,18484272000,932.70,0
2017-01-25 09:20:00,724.356,725.942,724.151,724.737,725.400,726.464,724.25,724.50,725.60,726.30,724.20,724.65,725.55,726.45,165,582,1200,3600,93,10,1200,1200,541,1142,7200,8400,117571,304800,7934677935,20590248000,934.19,0
2017-01-25 09:21:00,723.897,725.617,723.690,724.134,725.312,726.056,723.90,723.95,725.50,725.75,723.80,724.00,725.40,725.80,8,198,2400,1200,90,650,1200,1200,1595,3015,9600,19200,140539,321600,9481334260,21723810000,937.82,0
2017-01-25 09:22:00,723.138,724.777,722.624,723.356,724.100,725.443,722.75,723.00,725.00,725.35,722.70,723.30,724.05,725.40,40,117,1200,2400,2399,359,1200,1200,5048,1940,7200,8400,165824,369600,11181851070,24962898000,936.65,0
2017-01-25 09:23:00,722.708,724.986,722.360,722.968,724.000,725.425,722.65,722.70,724.65,725.00,722.50,722.85,724.15,725.10,15,103,1200,1200,596,85,1200,1200,3409,2196,19200,7200,181589,394800,12240647340,26660688000,936.43,0
2017-01-25 09:24:00,722.904,725.248,722.534,723.082,724.103,725.525,722.75,722.90,724.70,725.05,722.60,722.95,724.60,725.40,259,8,1200,1200,38,57,2400,1200,2919,1393,20400,7200,197853,414000,13332754340,27954150000,935.42,0
2017-01-25 09:25:00,722.472,724.970,722.147,722.460,724.071,725.067,722.25,722.30,724.35,724.75,722.20,722.45,724.30,724.80,1029,111,1200,1200,600,1,2400,1200,3375,222,20400,7200,208475,426000,14046128345,28762554000,935.38,0
2017-01-25 09:26:00,722.518,725.105,722.503,722.977,724.087,725.170,722.70,722.85,724.60,724.85,722.60,722.90,724.55,724.90,8,5,1200,1200,274,441,1200,1200,478,1835,19200,6000,222923,436800,15016358595,29490144000,934.48,0
2017-01-25 09:27:00,721.131,723.337,720.766,721.334,722.910,723.850,720.95,721.05,723.15,723.60,720.90,721.10,723.00,723.75,901,2,1200,2400,1,2,1200,1200,2289,348,6000,8400,240395,464400,16188088910,31346982000,937.18,0
2017-01-25 09:28:00,720.140,722.815,719.994,720.520,722.138,723.060,720.15,720.20,722.50,722.90,720.10,720.35,722.30,722.95,50,3,1200,1200,34,5,1200,1200,677,819,9600,6000,252581,506400,17003855160,34168104000,933.42,0
2017-01-25 09:29:00,720.110,723.159,719.933,720.394,722.750,723.500,720.00,720.10,722.85,723.20,719.95,720.30,722.80,723.45,1068,55,1200,1200,15,1029,1200,1200,2544,2082,7200,6000,268170,536400,18046818095,36183570000,931.26,0
2017-01-25 09:30:00,720.827,723.667,720.491,721.307,723.192,724.108,720.80,721.00,723.50,723.90,720.40,721.25,723.45,723.95,957,356,1200,1200,212,50,1200,1200,2672,2238,7200,7200,294323,573600,19798164235,38685228000,937.40,0
2017-01-25 09:31:00,720.386,723.200,720.351,720.958,722.763,723.533,720.60,720.80,723.05,723.10,720.40,720.90,723.00,723.30,29,499,1200,1200,2,86,2400,1200,196,3246,9600,7200,308595,597600,20753828925,40298496000,941.45,0
2017-01-25 09:32:00,720.601,723.250,720.465,720.960,722.880,723.629,720.60,720.70,723.15,723.45,720.55,720.75,723.10,723.50,203,5,1200,1200,136,105,1200,3600,841,1017,6000,8400,316304,631200,21269940810,42556620000,951.12,0
2017-01-25 09:33:00,720.800,723.827,720.483,721.045,723.383,724.200,720.65,720.95,723.75,724.10,720.60,721.00,723.70,724.15,2,550,1200,1200,3,1923,1200,2400,2504,3687,7200,8400,326831,681600,21974886650,45946764000,970.05,0
2017-01-25 09:34:00,720.409,723.006,720.022,720.541,722.671,723.439,720.10,720.15,723.00,723.25,720.05,720.35,722.85,723.30,1239,454,1200,2400,553,5,1200,1200,5839,1366,8400,10800,336258,709200,22605723795,47801934000,967.08,0
