,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-25 09:17:00,50.891,51.062,50.801,51.053,50.950,51.202,50.90,50.95,51.05,51.10,50.85,51.00,51.00,51.15,25802,16778,66282,66282,76551,226570,165705,132564,261834,439434,662820,795384,145337,430833,304662045,909389040,941.36,1
2017-01-25 09:18:00,50.962,51.124,50.852,51.084,50.987,51.236,50.95,51.00,51.10,51.15,50.90,51.05,51.05,51.20,34853,169477,33141,66282,63113,16403,198846,563397,293101,417641,762243,961089,220738,530256,462871815,1119171570,940.90,1
2017-01-25 09:19:00,50.900,51.019,50.800,51.067,50.927,51.202,50.90,50.95,51.00,51.10,50.85,51.00,50.95,51.15,38707,18414,231987,99423,45210,128452,132564,132564,267223,342407,729102,927948,541983,795384,1137279435,1677763125,932.70,1
2017-01-25 09:20:00,50.908,50.993,50.791,51.065,50.918,51.178,50.90,50.95,51.00,51.05,50.85,51.00,50.95,51.10,19825,8546,265128,99423,25937,171356,99423,66282,326418,397840,828525,961089,560040,828525,1175108705,1747524930,934.19,1
2017-01-25 09:21:00,51.214,51.225,51.006,51.278,51.155,51.433,51.15,51.20,51.25,51.30,51.10,51.25,51.20,51.35,1500,42851,165705,33141,9907,187225,99423,132564,391814,362432,729102,1159935,688149,2054742,1444636545,4345945035,937.82,0
2017-01-25 09:22:00,51.077,51.233,50.946,51.230,51.075,51.392,51.05,51.10,51.20,51.30,51.00,51.15,51.15,51.35,10631,26324,33141,331410,97558,26312,132564,198846,390844,315528,795384,1226217,752025,2319870,1579335080,4909176330,936.65,1
2017-01-25 09:23:00,51.056,51.216,50.951,51.223,51.083,51.361,51.05,51.10,51.20,51.25,51.00,51.15,51.15,51.30,29259,46350,33141,33141,105559,66984,231987,298269,421436,468277,894807,1060512,815883,2419293,1714002600,5120781615,936.43,1
2017-01-25 09:24:00,51.063,51.177,50.950,51.216,51.071,51.347,51.05,51.10,51.15,51.25,51.00,51.15,51.10,51.30,6432,37374,198846,132564,118453,77020,298269,331410,433410,461125,927948,1126794,846357,2485575,1778233435,5261465160,935.42,1
2017-01-25 09:25:00,51.073,51.156,50.945,51.192,51.074,51.309,51.05,51.10,51.15,51.20,51.00,51.15,51.10,51.25,23166,163156,265128,99423,123153,110962,331410,132564,536674,614383,1027371,1060512,894573,2485575,1879779365,5261465160,935.38,1
2017-01-25 09:26:00,51.074,51.181,50.950,51.196,51.081,51.337,51.05,51.10,51.15,51.25,51.00,51.15,51.10,51.30,48573,133785,298269,165705,122053,120961,331410,497115,567251,595895,1027371,1193076,902147,2618139,1895748390,5542500840,934.48,1
2017-01-25 09:27:00,51.069,51.233,50.961,51.196,51.087,51.340,51.05,51.10,51.20,51.25,51.00,51.15,51.15,51.30,78127,106307,66282,198846,226541,184469,298269,430833,614987,640475,1126794,1193076,936265,2618139,1967705140,5542500840,937.18,1
2017-01-25 09:28:00,51.062,51.229,50.961,51.199,51.085,51.335,51.05,51.10,51.20,51.25,51.00,51.15,51.15,51.30,78606,137350,66282,231987,222195,132558,231987,463974,611130,692228,1027371,1226217,943787,2684421,1983555950,5683184385,933.42,1
2017-01-25 09:29:00,51.058,51.183,50.943,51.198,51.074,51.328,51.05,51.10,51.15,51.25,51.00,51.15,51.10,51.30,37094,153257,231987,298269,68667,136926,298269,430833,517623,730203,961089,1226217,957985,2717562,2013461980,5753609010,931.26,1
2017-01-25 09:30:00,51.058,51.230,50.953,51.200,51.093,51.328,51.05,51.10,51.20,51.25,51.00,51.15,51.15,51.30,34681,138467,66282,397692,215355,138187,364551,364551,560475,717326,1126794,1325640,980235,2850126,2060342605,6034810395,937.40,1
2017-01-25 09:31:00,51.137,51.263,51.006,51.239,51.165,51.396,51.10,51.15,51.25,51.30,51.05,51.20,51.20,51.35,138354,122956,66282,165705,190459,110567,497115,397692,732376,620787,1027371,1159935,1088482,3512946,2288660830,7443468600,941.45,1
2017-01-25 09:32:00,51.193,51.305,51.063,51.291,51.222,51.454,51.15,51.20,51.30,51.35,51.10,51.25,51.25,51.40,151482,64105,397692,66282,239155,184632,231987,463974,772023,536578,1226217,1391922,1169310,4109484,2459782100,8714094540,951.12,0
2017-01-25 09:33:00,51.246,51.315,51.086,51.351,51.227,51.502,51.20,51.25,51.30,51.40,51.15,51.30,51.25,51.45,34531,98090,298269,165705,113230,133999,231987,397692,656866,531555,1060512,1425063,1695669,5004291,3577536535,10626495945,970.05,0
2017-01-25 09:34:00,51.190,51.235,51.035,51.274,51.169,51.423,51.15,51.20,51.25,51.30,51.10,51.25,51.20,51.35,1147,134027,66282,132564,180776,297048,596538,99423,631521,701505,1027371,1391922,1913007,5700252,4038277750,12110384220,967.08,0
2017-01-25 09:35:00,51.126,51.238,50.991,51.242,51.121,51.407,51.10,51.15,51.20,51.30,51.05,51.20,51.15,51.35,63944,141173,397692,132564,122660,110325,331410,231987,666228,755845,1193076,1159935,2273826,6263649,4800511790,13307602845,970.50,0
2017-01-25 09:36:00,51.126,51.207,51.005,51.236,51.118,51.368,51.10,51.15,51.20,51.25,51.05,51.20,51.15,51.30,169187,164348,463974,99423,118619,178684,198846,298269,777370,822073,1193076,1193076,2419572,6628200,5108744345,14082273720,974.16,0
2017-01-25 09:37:00,51.122,51.204,51.021,51.232,51.118,51.357,51.10,51.15,51.20,51.25,51.05,51.20,51.15,51.30,189793,204459,430833,231987,217379,192280,265128,331410,839299,871598,1259358,1458204,2478115,6661341,5232481500,14152532640,965.85,0
2017-01-25 09:38:00,51.052,51.146,50.970,51.199,51.073,51.318,51.05,51.10,51.15,51.20,51.00,51.15,51.10,51.25,204772,179134,331410,33141,141769,216763,231987,265128,765273,961853,1027371,1193076,2779783,6926469,5869086180,14714438295,963.59,1
2017-01-25 09:39:00,51.044,51.154,50.953,51.202,51.079,51.307,51.05,51.10,51.15,51.20,51.00,51.15,51.10,51.25,92737,179555,265128,231987,105238,216237,430833,132564,614707,982045,1093653,1159935,2920138,7158456,6164527815,15205256505,965.74,1
2017-01-25 09:40:00,50.982,51.169,50.929,51.169,51.062,51.311,51.00,51.05,51.15,51.20,50.95,51.10,51.10,51.25,142238,102965,99423,99423,232334,143358,563397,364551,618629,853832,1193076,1093653,3172102,7423584,6694979270,15766167930,960.27,1
2017-01-25 09:41:00,50.984,51.115,50.919,51.160,51.029,51.260,51.00,51.05,51.10,51.15,50.95,51.10,51.05,51.20,122281,155835,364551,66282,123201,181144,198846,165705,579714,905113,1159935,994230,3194137,7821276,6741293695,16606292280,961.80,1
2017-01-25 09:42:00,50.986,51.113,50.921,51.159,51.025,51.252,51.00,51.05,51.10,51.15,50.95,51.10,51.05,51.20,149851,162324,298269,99423,105201,183769,231987,231987,603184,915693,1126794,1093653,3214614,7953840,6784340700,16886168025,962.12,1
2017-01-25 09:43:00,50.984,51.116,50.923,51.156,51.018,51.246,51.00,51.05,51.10,51.15,50.95,51.10,51.05,51.20,153374,148227,298269,99423,142241,282919,231987,364551,646160,1019246,1193076,1226217,3232393,7953840,6821749685,16886168025,961.02,1
2017-01-25 09:44:00,50.990,51.135,50.936,51.160,51.025,51.286,51.00,51.05,51.10,51.20,50.95,51.10,51.05,51.25,254720,133663,364551,364551,240951,242113,231987,463974,815963,1008633,1259358,1458204,3251591,7986981,6862098745,16956261240,964.38,1
