,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-25 09:17:00,426.863,423.854,426.647,427.035,423.620,424.078,426.90,426.95,423.80,423.90,426.75,427.00,423.75,424.00,30,1799,2000,4000,60,1043,2000,8000,1439,4612,10000,18000,21717,154000,814438700,5737820000,941.36,1
2017-01-25 09:18:00,428.520,424.645,428.451,428.902,424.471,425.083,428.70,428.80,424.65,424.90,428.45,428.85,424.60,424.95,120,2049,2000,2000,687,2064,4000,2000,1078,7919,14000,24000,53849,232000,2025419890,8650520000,940.90,1
2017-01-25 09:19:00,429.560,424.310,429.291,429.785,423.979,424.894,429.45,429.65,424.15,424.65,429.35,429.85,424.10,424.75,454,1940,2000,2000,50,100,2000,2000,2044,3269,14000,16000,134080,410000,5058337990,15299780000,932.70,1
2017-01-25 09:20:00,428.540,424.136,428.603,429.446,423.533,424.620,429.00,429.25,423.75,424.50,428.80,429.30,423.60,424.55,2,241,2000,2000,153,729,2000,2000,439,4494,12000,10000,192441,574000,7265808705,21427420000,934.19,1
2017-01-25 09:21:00,429.043,424.422,428.900,429.275,424.292,424.880,429.00,429.15,424.55,424.70,428.95,429.25,424.30,424.75,167,468,4000,4000,351,1055,2000,2000,1371,2735,12000,20000,210136,630000,7935035850,23519680000,937.82,1
2017-01-25 09:22:00,428.740,424.577,428.704,429.206,424.271,425.062,428.90,429.00,424.40,424.80,428.85,429.10,424.35,425.00,51,50,4000,4000,86,105,4000,2000,702,4497,14000,16000,238368,736000,9002421785,27483290000,936.65,1
2017-01-25 09:23:00,429.375,425.117,429.199,429.578,424.706,425.564,429.35,429.50,425.00,425.35,429.25,429.55,424.95,425.40,350,699,2000,2000,50,500,4000,2000,1124,2001,16000,14000,266331,888000,10059639195,33167100000,936.43,1
2017-01-25 09:24:00,429.358,425.485,429.363,429.621,425.336,425.700,429.45,429.50,425.45,425.50,429.40,429.55,425.40,425.65,50,556,6000,2000,300,283,2000,2000,554,4392,14000,12000,353412,1240000,13364227965,46371490000,935.42,1
2017-01-25 09:25:00,429.407,425.244,429.029,429.416,424.945,425.486,429.20,429.25,425.15,425.30,429.15,429.30,425.10,425.35,8,100,2000,2000,323,5,4000,2000,2709,463,20000,14000,388135,1420000,14676790765,53107360000,935.38,1
2017-01-25 09:26:00,429.697,425.871,429.641,430.135,425.536,426.080,429.80,429.85,425.65,425.95,429.70,430.00,425.60,426.00,100,100,2000,2000,113,196,2000,2000,662,2895,14000,10000,401872,1524000,15197083425,57003070000,934.48,1
2017-01-25 09:27:00,429.306,425.577,429.007,429.532,425.103,425.650,429.15,429.40,425.40,425.55,429.10,429.45,425.25,425.60,166,88,4000,2000,334,50,4000,2000,3138,2436,34000,10000,425838,1582000,16103892090,59175350000,937.18,1
2017-01-25 09:28:00,430.374,426.062,430.213,430.503,425.860,426.371,430.30,430.40,426.00,426.25,430.25,430.50,425.90,426.30,155,695,2000,2000,1174,1601,2000,4000,2248,2919,10000,14000,488863,1704000,18493795195,63743200000,933.42,1
