,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-25 09:17:00,122.951,123.011,122.740,123.039,122.898,123.163,122.85,122.95,123.00,123.05,122.80,123.00,122.95,123.10,25711,25143,60000,160000,34891,39823,100000,40000,204409,117509,420000,480000,158158,180000,616189645,702400000,941.36,0
2017-01-25 09:18:00,122.901,122.977,122.738,123.032,122.861,123.179,122.85,122.95,122.95,123.05,122.80,123.00,122.90,123.10,11643,53241,60000,180000,15292,45206,120000,20000,135612,165122,380000,580000,179644,260000,699760755,1014500000,940.90,0
2017-01-25 09:19:00,122.859,122.967,122.692,122.952,122.846,123.084,122.80,122.85,122.95,123.00,122.75,122.90,122.90,123.05,5193,4850,20000,40000,24084,17845,100000,180000,119108,73636,280000,380000,202127,260000,787140600,1014500000,932.70,1
2017-01-25 09:20:00,122.874,122.942,122.695,122.952,122.824,123.058,122.80,122.85,122.90,122.95,122.75,122.90,122.85,123.00,17468,5276,100000,20000,42631,22455,180000,20000,171384,79811,460000,260000,209150,320000,814390340,1248000000,934.19,1
2017-01-25 09:21:00,122.911,122.985,122.736,123.000,122.879,123.094,122.85,122.90,122.95,123.00,122.80,122.95,122.90,123.05,18226,10180,180000,20000,23900,44080,100000,160000,172030,110191,480000,320000,213512,380000,831331585,1481900000,937.82,0
2017-01-25 09:22:00,122.861,122.884,122.670,122.942,122.804,123.060,122.80,122.85,122.90,122.95,122.75,122.90,122.85,123.00,400,19799,40000,60000,34991,26182,80000,80000,171697,134021,280000,480000,244682,560000,952349585,2183100000,936.65,1
2017-01-25 09:23:00,122.847,122.922,122.678,122.940,122.789,123.067,122.80,122.85,122.90,122.95,122.75,122.90,122.85,123.00,190,21501,20000,20000,35139,27844,140000,140000,151787,137685,540000,540000,249138,620000,969659095,2416800000,936.43,1
2017-01-25 09:24:00,122.855,122.946,122.689,122.942,122.802,123.092,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,12645,26039,80000,160000,33063,15865,160000,140000,187062,135483,560000,620000,254838,640000,991784465,2494700000,935.42,1
2017-01-25 09:25:00,122.848,122.944,122.682,122.943,122.796,123.090,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,863,25319,60000,180000,41458,15865,120000,120000,158165,135306,520000,620000,256093,660000,996657715,2572500000,935.38,1
2017-01-25 09:26:00,122.847,122.936,122.680,122.945,122.808,123.093,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,706,22178,100000,160000,40358,16640,120000,120000,152908,133038,500000,600000,261818,660000,1018886715,2572500000,934.48,1
2017-01-25 09:27:00,122.855,122.956,122.691,122.949,122.813,123.084,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,20885,23538,140000,180000,32574,5245,160000,100000,166652,113288,600000,560000,269765,680000,1049735080,2650300000,937.18,1
2017-01-25 09:28:00,122.854,122.947,122.682,122.945,122.808,123.087,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,6347,28128,120000,160000,33574,4745,120000,100000,154124,117578,500000,540000,284055,740000,1105185330,2883900000,933.42,1
2017-01-25 09:29:00,122.859,122.914,122.675,122.936,122.810,123.062,122.80,122.85,122.90,122.95,122.75,122.90,122.85,123.00,8136,32397,100000,40000,28566,19796,160000,160000,164544,131519,520000,520000,284655,740000,1107513830,2883900000,931.26,1
2017-01-25 09:30:00,122.863,122.917,122.625,122.935,122.793,123.068,122.75,122.85,122.90,122.95,122.70,122.90,122.85,123.00,32572,35493,80000,20000,46470,23801,100000,180000,255309,143756,540000,560000,308955,760000,1201797830,2961800000,937.40,1
2017-01-25 09:31:00,122.862,122.932,122.625,122.935,122.793,123.039,122.75,122.85,122.90,122.95,122.70,122.90,122.85,123.00,32370,35908,80000,200000,48061,25392,100000,100000,258288,147562,540000,560000,320841,840000,1247944455,3273200000,941.45,1
2017-01-25 09:32:00,122.861,122.931,122.691,122.939,122.826,123.072,122.80,122.85,122.90,122.95,122.75,122.90,122.85,123.00,32106,29193,220000,60000,33764,26892,160000,80000,219392,144549,660000,400000,321748,960000,1251461580,3740600000,951.12,1
2017-01-25 09:33:00,123.014,123.102,122.804,123.122,123.010,123.268,122.95,123.00,123.10,123.15,122.90,123.05,123.05,123.20,422,18171,140000,40000,32904,13620,160000,80000,192286,136636,580000,660000,428168,1120000,1665022355,4364800000,970.05,0
2017-01-25 09:34:00,123.059,123.230,122.894,123.178,123.089,123.334,123.00,123.05,123.20,123.25,122.95,123.10,123.15,123.30,41145,5,80000,200000,44322,34363,100000,100000,262958,137450,560000,640000,489692,1500000,1904954725,5852900000,967.08,0
2017-01-25 09:35:00,123.006,123.133,122.773,123.128,122.985,123.312,122.90,123.00,123.10,123.20,122.85,123.05,123.05,123.25,22057,6661,80000,40000,35349,26161,60000,240000,280158,145376,540000,680000,521191,1600000,2027678760,6244800000,970.50,0
2017-01-25 09:36:00,122.876,123.029,122.668,122.968,122.826,123.104,122.80,122.85,122.95,123.00,122.75,122.90,122.90,123.05,10776,11279,20000,40000,28469,18273,80000,40000,234271,128357,460000,240000,546239,1740000,2125252805,6791800000,974.16,0
2017-01-25 09:37:00,122.839,122.958,122.663,122.968,122.793,123.121,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,296,8132,80000,20000,23000,31038,80000,60000,149867,140335,460000,380000,565753,1760000,2200998895,6869800000,965.85,0
2017-01-25 09:38:00,122.845,122.956,122.669,122.969,122.804,123.121,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,70,7831,120000,20000,31853,31038,80000,60000,168618,139334,480000,380000,570931,1760000,2221098625,6869800000,963.59,0
2017-01-25 09:39:00,122.856,122.959,122.672,122.972,122.802,123.086,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,9198,4707,100000,100000,27055,22297,120000,180000,187791,129208,520000,500000,576249,1820000,2241770990,7104000000,965.74,0
2017-01-25 09:40:00,122.856,122.952,122.671,122.959,122.802,123.084,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,13838,17793,100000,120000,21993,26160,120000,180000,193529,145457,520000,560000,576374,1820000,2242256490,7104000000,960.27,0
2017-01-25 09:41:00,122.828,122.955,122.630,122.931,122.804,123.076,122.75,122.80,122.90,123.00,122.70,122.85,122.85,123.05,40081,4851,120000,140000,49278,14995,80000,220000,290186,128982,540000,580000,594103,1880000,2311044875,7337700000,961.80,0
2017-01-25 09:42:00,122.847,122.949,122.680,122.954,122.786,123.084,122.80,122.85,122.90,123.00,122.75,122.90,122.85,123.05,1710,17033,60000,140000,53472,41342,80000,180000,194076,157542,500000,620000,603756,1900000,2348510040,7415500000,962.12,0
2017-01-25 09:43:00,122.821,122.954,122.632,122.928,122.786,123.080,122.75,122.80,122.90,123.00,122.70,122.85,122.85,123.05,48579,3787,60000,140000,40061,22395,80000,220000,280254,136253,500000,600000,613011,1920000,2384413925,7493400000,961.02,0
2017-01-25 09:44:00,122.809,122.948,122.633,122.926,122.794,123.084,122.75,122.80,122.90,123.00,122.70,122.85,122.85,123.05,53387,2491,100000,140000,35061,24444,80000,220000,279062,163506,540000,640000,613714,1920000,2387139050,7493400000,964.38,0
2017-01-25 09:45:00,122.809,122.947,122.632,122.928,122.790,123.084,122.75,122.80,122.90,123.00,122.70,122.85,122.85,123.05,49614,699,80000,140000,35261,24144,80000,220000,276489,161816,520000,640000,617007,1920000,2399914930,7493400000,962.80,0
2017-01-25 09:46:00,122.864,122.968,122.674,122.960,122.840,123.100,122.80,122.85,122.95,123.00,122.75,122.90,122.90,123.05,17082,1300,60000,80000,52161,60753,80000,180000,255656,165281,500000,600000,621541,1980000,2417516850,7727400000,965.87,0
2017-01-25 09:47:00,122.863,122.973,122.677,122.966,122.855,123.107,122.80,122.85,122.95,123.00,122.75,122.90,122.90,123.05,23684,1091,80000,40000,52007,40059,200000,180000,265026,163901,620000,580000,627095,2020000,2439071420,7883400000,967.15,0
2017-01-25 09:48:00,122.820,123.016,122.697,122.866,122.890,123.171,122.80,122.85,123.00,123.05,122.75,122.90,122.95,123.10,47859,1000842,100000,80000,63875,13908,100000,180000,306144,1136069,680000,720000,642081,2160000,2497286540,8429800000,970.23,0
2017-01-25 09:49:00,122.907,123.004,122.709,123.003,122.873,123.188,122.85,122.90,123.00,123.05,122.80,122.95,122.95,123.10,1,24513,20000,80000,22068,38723,80000,80000,214501,178996,560000,680000,644599,2160000,2507074965,8429800000,968.67,0
2017-01-25 09:50:00,122.852,122.976,122.678,122.979,122.855,123.183,122.80,122.85,122.95,123.05,122.75,122.90,122.90,123.10,16210,3863,80000,80000,44878,19820,180000,120000,239187,159098,620000,660000,647525,2280000,2518435500,8897800000,965.89,0
2017-01-25 09:51:00,122.867,122.980,122.666,122.976,122.850,123.180,122.80,122.85,122.95,123.05,122.75,122.90,122.90,123.10,5443,4861,80000,80000,44353,20500,180000,140000,249135,151376,620000,660000,659977,2280000,2566754270,8897800000,963.50,0
2017-01-25 09:52:00,122.862,122.992,122.664,122.955,122.840,123.118,122.80,122.85,122.95,123.00,122.75,122.90,122.90,123.05,6890,19290,40000,40000,39215,38346,180000,60000,242945,180493,600000,440000,661955,2280000,2574429110,8897800000,963.08,0
2017-01-25 09:53:00,122.860,122.988,122.662,122.956,122.843,123.118,122.80,122.85,122.95,123.00,122.75,122.90,122.90,123.05,5034,18265,40000,40000,40119,39062,180000,60000,240993,185285,580000,440000,668293,2280000,2599038175,8897800000,960.37,0
