,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,Y
2017-02-06 09:17:00,103.539,103.900,103.541,103.850,103.636,104.175,103.65,103.70,103.75,103.95,103.60,103.75,103.65,104.00,100,1069,24000,12000,1004,539,24000,24000,3904,26788,84000,72000,0
2017-02-06 09:18:00,103.349,103.686,103.139,103.574,103.338,103.917,103.30,103.40,103.50,103.65,103.25,103.45,103.40,103.80,941,783,12000,12000,100,541,12000,12000,43344,41131,96000,72000,0
2017-02-06 09:19:00,103.339,103.888,103.181,103.651,103.300,104.079,103.35,103.45,103.55,103.75,103.30,103.50,103.50,104.00,195,452,12000,12000,276,50,12000,36000,9604,22350,120000,84000,0
2017-02-06 09:20:00,103.201,103.513,103.028,103.348,103.220,103.642,103.15,103.20,103.35,103.55,103.10,103.25,103.30,103.60,755,872,12000,12000,11000,735,24000,24000,27685,16947,120000,72000,0
2017-02-06 09:21:00,103.200,103.668,103.033,103.421,103.238,103.836,103.15,103.30,103.45,103.65,103.10,103.35,103.40,103.80,1500,5992,12000,24000,600,640,24000,12000,14220,18097,156000,84000,0
2017-02-06 09:22:00,103.268,103.514,103.022,103.467,103.253,103.700,103.20,103.30,103.40,103.55,103.15,103.35,103.25,103.60,1,385,60000,12000,206,100,36000,12000,32261,29034,180000,72000,0
2017-02-06 09:23:00,103.302,103.530,103.018,103.361,103.250,103.633,103.15,103.25,103.35,103.50,103.10,103.30,103.30,103.55,1186,664,36000,12000,1080,641,48000,24000,37034,11176,192000,72000,0
2017-02-06 09:24:00,103.079,103.396,102.848,103.119,103.161,103.540,103.00,103.05,103.25,103.35,102.95,103.10,103.20,103.50,960,6898,12000,12000,2571,11441,48000,12000,31732,26539,108000,60000,0
2017-02-06 09:25:00,103.303,103.525,103.003,103.433,103.379,103.707,103.15,103.30,103.50,103.60,103.10,103.35,103.45,103.65,118,3370,24000,12000,5140,1686,12000,12000,45528,22996,84000,84000,0
2017-02-06 09:26:00,103.098,103.448,102.844,103.201,103.188,103.625,103.00,103.05,103.30,103.40,102.95,103.10,103.25,103.55,1092,1943,12000,12000,6,1189,24000,24000,39890,17315,144000,96000,0
2017-02-06 09:27:00,103.075,103.356,102.845,103.130,103.096,103.558,103.00,103.05,103.20,103.45,102.95,103.10,103.10,103.50,399,2085,60000,12000,542,1594,24000,12000,7420,6179,144000,72000,0
2017-02-06 09:28:00,102.931,103.298,102.816,103.175,103.146,103.458,102.95,103.00,103.25,103.35,102.90,103.05,103.20,103.40,32,611,12000,12000,2501,643,84000,84000,25325,32993,156000,156000,0
2017-02-06 09:29:00,102.902,103.259,102.752,103.150,103.064,103.539,102.90,103.00,103.20,103.30,102.85,103.05,103.10,103.50,585,5145,24000,24000,1090,242,12000,24000,27072,43664,84000,108000,0
2017-02-06 09:30:00,102.879,103.163,102.697,103.073,103.028,103.425,102.80,102.90,103.20,103.30,102.75,102.95,103.10,103.35,4826,10,24000,12000,12975,165,24000,12000,36806,18210,108000,168000,0
2017-02-06 09:31:00,102.848,103.314,102.763,103.166,103.057,103.557,102.90,103.00,103.20,103.40,102.85,103.05,103.10,103.50,1758,1718,12000,24000,543,685,24000,12000,19312,48800,84000,84000,0
2017-02-06 09:32:00,102.980,103.308,102.745,103.136,103.093,103.504,102.85,102.95,103.25,103.35,102.80,103.00,103.20,103.50,12295,237,12000,60000,12952,142,12000,12000,69639,16568,84000,144000,0
2017-02-06 09:33:00,102.874,103.227,102.742,103.052,102.995,103.346,102.85,102.90,103.15,103.25,102.80,102.95,103.10,103.35,4992,152,24000,72000,14,1059,12000,12000,31035,23654,132000,156000,0
2017-02-06 09:34:00,102.788,103.090,102.646,102.906,102.933,103.267,102.75,102.80,103.05,103.10,102.70,102.85,103.00,103.25,122,6204,12000,36000,11496,1100,12000,12000,38388,30838,72000,108000,0
2017-02-06 09:35:00,102.873,103.054,102.613,102.960,102.886,103.307,102.75,102.85,103.00,103.15,102.70,102.90,102.95,103.20,1071,623,24000,12000,9302,100,12000,12000,38167,18623,84000,84000,0
2017-02-06 09:36:00,102.737,103.021,102.575,102.900,102.744,103.140,102.70,102.80,102.90,103.00,102.65,102.85,102.85,103.10,8616,12292,24000,12000,136,1658,12000,12000,24690,33974,108000,60000,0
2017-02-06 09:37:00,102.776,102.933,102.574,102.823,102.750,103.117,102.70,102.75,102.90,103.00,102.65,102.80,102.85,103.05,8471,20,12000,12000,546,12644,12000,12000,24940,16775,72000,72000,0
2017-02-06 09:38:00,102.687,102.923,102.419,102.822,102.672,103.100,102.60,102.70,102.80,103.00,102.55,102.75,102.75,103.05,205,193,24000,12000,442,100,12000,12000,18154,16811,108000,72000,0
2017-02-06 09:39:00,102.590,102.850,102.329,102.703,102.575,103.000,102.50,102.60,102.70,102.85,102.45,102.65,102.65,102.90,228,935,24000,12000,514,12200,12000,12000,23841,22341,120000,72000,0
2017-02-06 09:40:00,102.497,102.733,102.261,102.641,102.492,102.975,102.40,102.55,102.60,102.80,102.35,102.60,102.55,102.90,793,561,12000,12000,8394,14560,12000,12000,25606,26173,72000,72000,0
2017-02-06 09:41:00,102.349,102.704,102.284,102.613,102.412,102.842,102.40,102.50,102.55,102.75,102.35,102.55,102.50,102.80,311,623,12000,12000,2812,12981,12000,24000,6602,28396,96000,72000,0
2017-02-06 09:42:00,102.340,102.563,102.091,102.448,102.391,102.725,102.25,102.35,102.50,102.60,102.20,102.40,102.35,102.65,258,393,144000,12000,2625,12806,12000,12000,24799,22208,264000,96000,0
2017-02-06 09:43:00,102.309,102.689,102.114,102.470,102.426,102.821,102.25,102.35,102.55,102.65,102.20,102.40,102.50,102.75,1082,115,36000,12000,971,1038,120000,12000,25175,25037,252000,84000,0
2017-02-06 09:44:00,102.414,102.779,102.177,102.551,102.509,102.906,102.35,102.45,102.60,102.75,102.30,102.50,102.55,102.80,550,1296,24000,12000,1492,3233,24000,24000,19497,24639,192000,96000,0
2017-02-06 09:45:00,102.372,102.694,102.278,102.553,102.483,102.933,102.40,102.45,102.60,102.75,102.35,102.50,102.50,102.80,50,775,12000,12000,2814,1547,120000,24000,7022,18561,180000,108000,0
2017-02-06 09:46:00,102.388,102.735,102.264,102.522,102.471,102.893,102.40,102.45,102.60,102.70,102.35,102.50,102.55,102.75,51,543,12000,12000,1896,13447,12000,12000,5499,18187,204000,84000,0
2017-02-06 09:47:00,102.319,102.612,102.220,102.499,102.450,102.821,102.35,102.40,102.50,102.65,102.30,102.45,102.45,102.70,1651,835,132000,12000,648,12994,12000,12000,7608,23534,204000,84000,0
2017-02-06 09:48:00,102.360,102.607,102.134,102.467,102.383,102.708,102.30,102.40,102.50,102.60,102.25,102.45,102.45,102.65,102,13094,120000,12000,895,952,12000,12000,13982,22599,252000,72000,0
