,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,Y
2017-02-06 09:17:00,148.295,148.514,148.130,148.460,148.260,148.600,148.30,148.35,148.40,148.50,148.25,148.40,148.35,148.55,373,3132,11000,33000,194,23366,11000,11000,35581,76922,110000,88000,0
2017-02-06 09:18:00,148.129,148.381,147.899,148.335,148.209,148.510,148.05,148.20,148.30,148.40,148.00,148.25,148.25,148.45,5637,770,22000,22000,13772,12,33000,11000,89855,93492,176000,110000,0
2017-02-06 09:19:00,148.006,148.266,147.835,148.225,148.050,148.487,148.00,148.10,148.15,148.30,147.95,148.15,148.10,148.45,1388,4351,44000,44000,1300,1746,11000,22000,43342,85521,143000,165000,0
2017-02-06 09:20:00,147.769,147.963,147.578,147.958,147.800,148.146,147.70,147.85,147.90,148.00,147.65,147.90,147.85,148.05,3661,4312,22000,22000,12906,13784,11000,11000,63294,72324,154000,143000,0
2017-02-06 09:21:00,147.611,147.767,147.443,147.778,147.662,147.938,147.60,147.65,147.75,147.85,147.55,147.70,147.70,147.90,100,1618,22000,22000,400,3743,22000,66000,39540,55653,88000,143000,0
2017-02-06 09:22:00,147.674,147.923,147.514,147.903,147.729,148.010,147.65,147.75,147.85,147.95,147.60,147.80,147.80,148.00,2394,2606,11000,44000,2093,1117,55000,33000,47295,56428,132000,110000,0
2017-02-06 09:23:00,147.638,147.812,147.436,147.775,147.661,147.943,147.60,147.65,147.80,147.85,147.55,147.70,147.75,147.90,982,172,11000,44000,2655,4568,11000,33000,43536,46974,99000,165000,0
2017-02-06 09:24:00,147.634,147.815,147.419,147.831,147.625,148.000,147.55,147.70,147.80,147.90,147.50,147.75,147.70,147.95,3806,3130,11000,33000,2295,3794,11000,33000,50892,46540,110000,154000,0
2017-02-06 09:25:00,147.818,148.025,147.626,148.006,147.800,148.206,147.80,147.85,148.00,148.10,147.75,147.90,147.95,148.15,225,261,11000,22000,905,3056,22000,44000,42049,49584,176000,176000,0
2017-02-06 09:26:00,147.553,147.808,147.412,147.736,147.542,147.917,147.55,147.65,147.70,147.80,147.50,147.70,147.65,147.85,376,5711,11000,22000,6677,23618,22000,22000,22934,60921,198000,132000,0
2017-02-06 09:27:00,147.444,147.665,147.243,147.638,147.487,147.793,147.40,147.50,147.60,147.70,147.35,147.55,147.55,147.75,3667,1200,22000,33000,3641,1902,33000,33000,51526,60371,176000,165000,0
2017-02-06 09:28:00,147.547,147.846,147.399,147.728,147.586,147.939,147.55,147.60,147.70,147.85,147.50,147.65,147.65,147.90,998,2698,88000,33000,4882,3347,33000,44000,26869,43574,308000,154000,0
2017-02-06 09:29:00,147.500,147.805,147.398,147.727,147.565,147.932,147.55,147.60,147.70,147.80,147.50,147.65,147.65,147.85,99,2479,22000,11000,2033,3262,44000,22000,21656,70483,220000,121000,0
2017-02-06 09:30:00,147.431,147.660,147.297,147.655,147.508,147.823,147.45,147.55,147.60,147.70,147.40,147.60,147.55,147.75,709,1076,44000,11000,2473,23618,22000,22000,21285,67116,198000,143000,0
2017-02-06 09:31:00,147.603,147.844,147.598,147.884,147.686,148.056,147.70,147.75,147.80,147.95,147.65,147.80,147.75,148.00,193,2079,11000,33000,4680,3078,22000,33000,9095,62160,121000,176000,0
2017-02-06 09:32:00,147.721,147.925,147.547,147.882,147.746,148.081,147.70,147.75,147.85,148.00,147.65,147.80,147.80,148.05,215,1145,22000,55000,4874,7851,44000,22000,33751,40081,154000,176000,0
2017-02-06 09:33:00,147.492,147.745,147.370,147.684,147.535,147.890,147.50,147.55,147.65,147.80,147.45,147.60,147.60,147.85,3256,436,44000,77000,2103,2002,33000,22000,31714,47689,253000,231000,0
2017-02-06 09:34:00,147.630,147.864,147.479,147.812,147.735,148.017,147.60,147.70,147.85,147.90,147.55,147.75,147.80,147.95,4926,400,22000,22000,4214,14784,33000,22000,46456,62837,143000,165000,0
2017-02-06 09:35:00,147.578,147.791,147.396,147.772,147.636,147.957,147.55,147.65,147.75,147.85,147.50,147.70,147.70,147.90,3895,1767,22000,22000,899,3348,44000,66000,43086,64394,198000,231000,0
2017-02-06 09:36:00,147.364,147.568,147.200,147.529,147.350,147.695,147.35,147.40,147.50,147.60,147.30,147.45,147.40,147.65,2168,162,66000,44000,7024,6535,33000,22000,53456,69646,297000,209000,0
2017-02-06 09:37:00,147.344,147.610,147.227,147.529,147.432,147.739,147.35,147.40,147.55,147.65,147.30,147.45,147.50,147.70,2668,200,11000,22000,10737,5345,66000,66000,54911,80112,187000,198000,0
2017-02-06 09:38:00,147.432,147.631,147.281,147.617,147.477,147.800,147.45,147.50,147.60,147.70,147.40,147.55,147.55,147.75,99,4392,11000,44000,1118,2683,11000,22000,29038,69150,143000,209000,0
2017-02-06 09:39:00,147.600,147.783,147.472,147.786,147.632,147.959,147.60,147.65,147.75,147.85,147.55,147.70,147.70,147.90,5235,370,11000,33000,5711,2112,44000,44000,42725,56428,187000,242000,0
2017-02-06 09:40:00,147.421,147.605,147.264,147.570,147.407,147.750,147.40,147.45,147.55,147.65,147.35,147.50,147.50,147.70,5972,2361,11000,33000,10587,4946,22000,33000,65152,76608,154000,187000,0
2017-02-06 09:41:00,147.268,147.554,147.226,147.468,147.279,147.632,147.30,147.35,147.40,147.55,147.25,147.40,147.35,147.60,9743,99,11000,44000,11247,6249,55000,22000,37475,68258,308000,154000,0
2017-02-06 09:42:00,147.210,147.309,147.007,147.294,147.125,147.456,147.15,147.25,147.25,147.35,147.10,147.30,147.20,147.40,1578,46249,11000,22000,3449,5007,22000,44000,42657,75452,176000,176000,0
2017-02-06 09:43:00,147.000,147.246,146.898,147.170,147.030,147.359,147.00,147.05,147.15,147.25,146.95,147.10,147.10,147.30,22458,5979,22000,22000,1098,2641,33000,33000,53003,67497,308000,187000,0
2017-02-06 09:44:00,146.863,147.174,146.733,147.072,146.998,147.311,146.85,146.95,147.10,147.20,146.80,147.00,147.05,147.25,4147,8795,33000,22000,3919,8255,44000,33000,41952,63445,286000,198000,0
2017-02-06 09:45:00,146.977,147.304,146.835,147.193,147.023,147.371,146.95,147.05,147.20,147.30,146.90,147.10,147.10,147.35,3836,695,22000,66000,3977,2683,22000,33000,41564,45919,308000,187000,0
2017-02-06 09:46:00,147.130,147.320,146.933,147.329,147.162,147.491,147.10,147.15,147.25,147.40,147.05,147.25,147.20,147.45,1405,52,77000,33000,5135,5000,44000,88000,35321,51856,231000,242000,0
2017-02-06 09:47:00,146.904,147.139,146.762,147.095,146.976,147.268,146.90,147.00,147.05,147.15,146.85,147.05,147.00,147.20,2455,7909,66000,11000,2875,25083,187000,33000,31326,74397,374000,154000,0
2017-02-06 09:48:00,146.815,147.139,146.672,147.023,146.963,147.244,146.80,146.85,147.05,147.15,146.75,146.90,147.00,147.20,5827,450,11000,22000,1995,1128,198000,55000,47184,41178,330000,176000,1
2017-02-06 09:49:00,146.596,146.830,146.410,146.774,146.652,146.965,146.55,146.65,146.75,146.85,146.50,146.70,146.70,146.90,5214,4224,44000,11000,11258,3230,44000,55000,56680,64479,286000,187000,1
2017-02-06 09:50:00,146.606,146.862,146.447,146.809,146.670,146.997,146.60,146.70,146.75,146.90,146.55,146.75,146.70,146.95,435,8385,99000,33000,1762,3428,44000,33000,30083,64514,330000,187000,1
2017-02-06 09:51:00,146.638,146.934,146.493,146.828,146.698,147.037,146.65,146.70,146.80,146.95,146.60,146.75,146.75,147.00,2498,410,77000,33000,2180,8668,44000,44000,29527,56063,308000,165000,1
2017-02-06 09:52:00,146.769,146.976,146.636,146.940,146.839,147.118,146.80,146.85,146.95,147.00,146.75,146.90,146.90,147.05,514,5249,22000,33000,1921,39376,55000,11000,19626,81406,198000,187000,1
2017-02-06 09:53:00,146.686,146.936,146.525,146.886,146.731,147.056,146.70,146.75,146.85,146.95,146.65,146.80,146.80,147.00,911,75,22000,22000,808,7339,77000,44000,37974,74154,286000,198000,1
2017-02-06 09:54:00,146.732,146.939,146.539,146.944,146.729,147.109,146.70,146.85,146.85,147.00,146.65,146.90,146.80,147.05,3849,7556,22000,33000,1460,40572,55000,33000,41382,91509,264000,242000,1
2017-02-06 09:55:00,146.697,146.979,146.588,146.954,146.814,147.138,146.75,146.80,146.90,147.05,146.70,146.85,146.85,147.10,1,436,55000,22000,3053,5687,22000,66000,24950,65911,198000,187000,1
2017-02-06 09:56:00,146.522,146.797,146.358,146.723,146.602,146.964,146.50,146.55,146.70,146.85,146.45,146.60,146.65,146.90,10106,350,22000,22000,2243,2142,121000,44000,57827,50237,275000,198000,1
2017-02-06 09:57:00,146.400,146.705,146.326,146.684,146.507,146.858,146.45,146.55,146.60,146.75,146.40,146.60,146.55,146.80,1566,2272,44000,22000,3918,4080,33000,33000,23685,77184,220000,143000,1
2017-02-06 09:58:00,146.401,146.610,146.242,146.583,146.455,146.750,146.40,146.45,146.55,146.65,146.35,146.50,146.50,146.70,1539,387,22000,33000,3868,1531,88000,44000,48154,73805,209000,176000,1
2017-02-06 09:59:00,146.466,146.708,146.368,146.673,146.544,146.850,146.50,146.55,146.65,146.75,146.45,146.60,146.60,146.80,100,610,11000,33000,5191,14768,55000,22000,31511,77420,176000,165000,1
