,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,1031.718,1032.870,1031.575,1032.397,1032.400,1033.340,1031.850,1032.100,1032.700,1033.150,1031.750,1032.250,1032.650,1033.200,5,21,500,500,12,581,500,500,140,1265,2500,2500,59250,142500,5700201715,13730970000,1485.080,0
2017-02-06 09:18:00,1031.218,1033.023,1031.176,1031.945,1032.610,1033.417,1031.400,1031.500,1033.000,1033.300,1031.300,1031.600,1032.650,1033.350,46,4,500,1000,58,149,500,500,354,1714,2500,3000,69616,180500,6698614295,17396465000,1482.510,0
2017-02-06 09:19:00,1030.228,1032.254,1029.872,1030.915,1031.817,1032.520,1030.100,1030.750,1032.100,1032.350,1030.050,1030.800,1032.000,1032.400,117,197,500,500,43,69,1500,500,814,1793,4500,2500,76678,205500,7377968735,19806070000,1485.640,1
2017-02-06 09:20:00,1030.188,1032.125,1030.058,1030.216,1031.890,1032.471,1030.100,1030.200,1032.050,1032.350,1030.050,1030.250,1031.950,1032.400,341,387,500,500,87,1,500,500,546,430,2500,3500,80890,221500,7782856350,21347067500,1482.340,1
2017-02-06 09:21:00,1030.330,1032.104,1030.099,1030.586,1031.750,1032.529,1030.250,1030.300,1031.900,1032.350,1030.150,1030.450,1031.850,1032.450,36,30,500,1000,119,132,500,500,1479,933,2500,3500,88875,233000,8550440855,22454732500,1480.170,1
2017-02-06 09:22:00,1027.667,1029.693,1027.683,1028.341,1029.483,1030.107,1027.850,1028.000,1029.650,1029.950,1027.750,1028.200,1029.600,1030.000,9,212,500,500,1,18,1000,4500,35,855,3000,7500,97278,246000,9357774915,23705765000,1477.600,1
2017-02-06 09:23:00,1026.444,1028.196,1026.004,1026.942,1027.825,1028.550,1026.200,1026.400,1028.050,1028.400,1026.000,1026.750,1027.900,1028.500,105,2,500,500,35,52,500,500,447,323,3000,3000,110029,268500,10579490285,25865085000,1476.250,1
2017-02-06 09:24:00,1027.141,1029.207,1026.867,1027.459,1028.865,1029.560,1027.100,1027.250,1029.000,1029.200,1027.050,1027.300,1028.800,1029.550,3,109,2500,500,62,79,500,500,449,575,5000,2500,117152,286000,11261711040,27544380000,1474.220,1
2017-02-06 09:25:00,1028.736,1030.304,1028.611,1029.285,1029.919,1030.600,1028.750,1029.000,1030.050,1030.450,1028.650,1029.050,1030.000,1030.500,88,2,500,500,336,5,1000,1000,678,1217,4000,3000,123186,310500,11840701790,29899155000,1480.850,1
2017-02-06 09:26:00,1029.152,1030.650,1028.891,1029.652,1030.331,1031.050,1029.050,1029.500,1030.500,1030.800,1029.000,1029.550,1030.400,1030.950,183,4,500,500,569,149,500,1000,1363,1540,4000,5500,135021,321500,12977454170,30957150000,1475.840,1
2017-02-06 09:27:00,1029.497,1031.200,1028.981,1029.888,1030.941,1031.481,1029.450,1029.650,1031.050,1031.300,1029.150,1029.700,1031.000,1031.350,282,147,500,500,212,3,3500,1500,1587,1025,5500,4000,143690,335500,13809963940,32304027500,1476.600,1
2017-02-06 09:28:00,1030.211,1032.055,1029.899,1030.559,1031.827,1032.328,1030.250,1030.300,1032.000,1032.200,1030.100,1030.600,1031.750,1032.250,18,166,4000,1500,10,220,500,1000,136,588,6500,4500,150699,364500,14483461120,35095872500,1477.170,1
2017-02-06 09:29:00,1030.382,1032.610,1029.997,1030.688,1032.043,1032.750,1030.150,1030.450,1032.300,1032.600,1030.100,1030.500,1032.150,1032.700,103,171,500,500,6,374,500,500,1036,1308,7500,3000,155909,379500,14984201940,36540415000,1473.600,1
2017-02-06 09:30:00,1029.792,1031.622,1029.327,1030.158,1031.408,1032.280,1029.650,1030.000,1031.850,1032.100,1029.450,1030.150,1031.350,1032.150,5,255,1000,500,43,623,500,500,1095,1281,3000,5000,160314,404000,15407623785,38901570000,1472.950,1
2017-02-06 09:31:00,1029.729,1032.407,1029.440,1029.833,1031.922,1032.650,1029.550,1029.600,1032.100,1032.500,1029.500,1029.650,1032.050,1032.650,150,9,500,1000,12,9,500,500,426,51,4500,3000,167644,435500,16111804890,41935535000,1474.310,1
2017-02-06 09:32:00,1029.504,1031.865,1029.049,1029.593,1031.630,1032.237,1029.300,1029.550,1031.850,1032.100,1029.150,1029.700,1031.650,1032.150,1,1217,500,500,2,13,500,500,1077,1444,2500,4000,173181,449500,16643704760,43284100000,1475.620,1
2017-02-06 09:33:00,1028.502,1031.620,1028.551,1029.082,1031.300,1032.013,1028.750,1028.950,1031.400,1031.900,1028.550,1029.000,1031.350,1031.950,25,435,500,500,60,112,500,1000,141,3988,3500,4000,178753,469500,17178705735,45209915000,1472.930,1
2017-02-06 09:34:00,1027.854,1030.630,1027.041,1027.991,1030.219,1030.971,1027.200,1027.550,1030.350,1030.850,1027.150,1027.650,1030.300,1030.900,392,1,500,1000,563,15,1000,500,4394,117,4000,3500,188534,482500,18116829730,46460652500,1474.170,1
2017-02-06 09:35:00,1027.567,1030.381,1026.884,1027.840,1029.930,1030.567,1027.100,1027.200,1030.100,1030.450,1026.950,1027.450,1030.050,1030.500,258,2,1000,1000,156,30,500,500,1764,319,5000,3000,195967,496500,18829070360,47806382500,1472.770,1
