,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,272.647,272.581,272.449,272.874,272.258,272.979,272.550,272.600,272.450,272.800,272.500,272.650,272.400,272.900,50,4,8000,8000,950,10,4000,4000,2433,1014,24000,28000,4042,40000,96695785,957840000,1485.080,0
2017-02-06 09:18:00,272.800,272.815,272.497,272.958,272.386,273.150,272.700,272.800,272.650,272.850,272.650,272.850,272.600,273.000,197,50,8000,4000,361,453,4000,8000,5625,3189,28000,24000,7569,64000,181232900,1533400000,1482.510,0
2017-02-06 09:19:00,272.224,272.195,271.829,272.297,271.960,272.583,272.000,272.200,272.150,272.400,271.950,272.250,272.100,272.450,1263,690,4000,4000,191,453,4000,4000,9241,2957,20000,24000,11856,68000,283867395,1629240000,1485.640,0
2017-02-06 09:20:00,271.737,271.740,271.282,271.829,271.460,272.020,271.500,271.700,271.650,271.800,271.400,271.750,271.600,271.950,534,740,4000,4000,1652,361,4000,4000,9697,3579,20000,20000,13184,76000,315605375,1820480000,1482.340,0
2017-02-06 09:21:00,271.735,271.869,271.436,271.862,271.294,272.190,271.650,271.750,271.550,272.050,271.550,271.800,271.500,272.100,10,690,4000,4000,250,453,8000,4000,2914,2891,32000,20000,16254,104000,388950045,2489240000,1480.170,0
2017-02-06 09:22:00,272.292,272.500,272.029,272.567,271.843,272.870,272.200,272.400,272.250,272.450,272.150,272.450,272.200,272.800,52,526,4000,4000,50,465,4000,4000,3721,5350,28000,20000,16839,116000,402926510,2776180000,1477.600,0
2017-02-06 09:23:00,272.229,272.468,272.133,272.596,272.110,272.917,272.250,272.300,272.300,272.550,272.200,272.450,272.250,272.900,50,200,4000,4000,403,418,4000,4000,1201,3314,20000,24000,17992,120000,430511655,2871960000,1476.250,0
2017-02-06 09:24:00,271.808,272.021,271.468,271.965,271.642,272.317,271.650,271.850,271.850,272.050,271.550,271.900,271.800,272.250,10,931,4000,4000,811,164,4000,4000,7092,4415,24000,24000,18984,120000,454219160,2871960000,1474.220,0
2017-02-06 09:25:00,272.333,272.350,272.054,272.564,272.008,272.838,272.250,272.400,272.200,272.600,272.200,272.450,272.050,272.750,50,30,8000,8000,567,123,4000,8000,4420,2650,24000,32000,21566,120000,516012545,2871960000,1480.850,0
2017-02-06 09:26:00,271.860,272.012,271.696,272.123,271.593,272.325,271.850,271.950,271.800,272.200,271.800,272.000,271.750,272.250,9,50,4000,8000,85,815,8000,4000,775,2358,28000,24000,22621,128000,541228665,3063200000,1475.840,0
