,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,200.538,200.050,200.465,200.867,199.738,200.271,200.550,200.750,199.900,200.050,200.500,200.800,199.800,200.200,1030,1749,12000,12000,3511,1180,12000,12000,8463,23587,48000,42000,169628,654000,3063178350,11776080000,1485.080,0
2017-02-06 09:18:00,199.777,199.069,199.440,199.936,198.860,199.400,199.600,199.850,199.000,199.200,199.550,199.900,198.950,199.250,1756,2886,6000,12000,3155,2392,6000,6000,17239,11745,30000,48000,225020,888000,4062404250,15982080000,1482.510,0
2017-02-06 09:19:00,199.824,199.373,199.652,200.079,199.089,199.517,199.800,199.900,199.200,199.300,199.750,199.950,199.150,199.450,861,787,6000,6000,118,1827,18000,6000,9377,14165,54000,36000,254307,1014000,4588879640,18240180000,1485.640,0
2017-02-06 09:20:00,198.954,198.472,198.941,199.257,198.194,198.733,199.000,199.100,198.350,198.550,198.950,199.200,198.250,198.600,2674,1249,12000,18000,1,1895,6000,6000,4341,15054,54000,54000,327824,1188000,5906592635,21349800000,1482.340,1
2017-02-06 09:21:00,199.284,198.723,199.177,199.549,198.463,199.029,199.300,199.350,198.600,198.800,199.250,199.450,198.550,199.000,910,58,24000,12000,773,1421,6000,12000,6305,11011,48000,42000,358545,1440000,6457053960,25850820000,1480.170,1
2017-02-06 09:22:00,199.352,198.825,199.222,199.669,198.635,199.083,199.350,199.550,198.750,198.900,199.300,199.600,198.700,198.950,405,2884,36000,6000,1349,1280,6000,6000,6675,17852,60000,36000,390746,1584000,7035077310,28427400000,1477.600,0
2017-02-06 09:23:00,199.625,199.150,199.517,199.820,198.950,199.340,199.600,199.700,199.050,199.200,199.550,199.750,199.000,199.250,3178,2655,6000,6000,373,273,12000,6000,8279,9070,36000,30000,412546,1776000,7426335695,31863150000,1476.250,0
2017-02-06 09:24:00,199.481,199.046,199.329,199.604,198.750,199.210,199.450,199.500,198.900,199.100,199.400,199.550,198.850,199.150,927,222,6000,6000,835,5757,6000,6000,6299,9416,48000,30000,426312,1878000,7673401345,33687990000,1474.220,0
2017-02-06 09:25:00,199.990,199.696,199.977,200.305,199.542,199.843,200.050,200.100,199.650,199.700,200.000,200.200,199.600,199.800,5046,1,6000,6000,453,881,6000,12000,8551,11194,36000,42000,464534,2142000,8360910940,38430660000,1480.850,0
2017-02-06 09:26:00,199.353,199.211,199.195,199.479,198.900,199.394,199.300,199.350,199.150,199.200,199.250,199.400,199.000,199.400,1027,946,12000,12000,3132,1848,18000,18000,15955,8856,60000,48000,499819,2376000,8993952825,42624030000,1475.840,0
2017-02-06 09:27:00,199.362,198.926,199.083,199.429,198.845,199.271,199.250,199.300,199.000,199.150,199.200,199.350,198.850,199.200,834,2,24000,12000,273,575,6000,12000,19903,8686,60000,102000,537590,2538000,9673552080,45532980000,1476.600,0
2017-02-06 09:28:00,199.448,199.407,199.261,199.516,199.044,199.635,199.400,199.450,199.350,199.500,199.300,199.500,199.150,199.650,3871,930,6000,42000,2213,7614,6000,6000,19604,12333,54000,78000,585831,2760000,10539284760,49514580000,1477.170,0
2017-02-06 09:29:00,200.071,199.845,199.990,200.296,199.560,200.023,200.050,200.100,199.700,199.900,200.000,200.200,199.650,199.950,673,18,6000,6000,6247,786,12000,18000,8071,6482,90000,90000,645451,2928000,11610907265,52531860000,1473.600,0
2017-02-06 09:30:00,199.820,199.531,199.561,199.955,199.164,199.805,199.700,199.850,199.400,199.600,199.650,199.900,199.200,199.800,722,779,6000,18000,478,674,30000,6000,8519,6421,66000,60000,677626,3066000,12190070680,55013130000,1472.950,0
2017-02-06 09:31:00,200.046,199.724,199.874,200.131,199.583,199.997,200.000,200.050,199.700,199.900,199.950,200.100,199.650,199.950,480,1247,6000,18000,94,585,6000,12000,4025,4101,36000,90000,691370,3132000,12437484535,56199450000,1474.310,0
2017-02-06 09:32:00,200.113,199.652,199.975,200.365,199.525,199.987,200.100,200.250,199.650,199.850,200.050,200.300,199.600,199.950,121,1692,12000,18000,945,1344,6000,12000,8263,17071,36000,90000,709397,3234000,12762221715,58033530000,1475.620,0
2017-02-06 09:33:00,199.666,199.168,199.389,199.767,198.825,199.392,199.500,199.650,199.000,199.300,199.450,199.750,198.900,199.350,1886,1760,12000,12000,847,100,6000,6000,8556,4527,48000,36000,731321,3396000,13156597290,60937110000,1472.930,0
2017-02-06 09:34:00,199.757,199.337,199.557,199.970,198.990,199.678,199.700,199.800,199.100,199.500,199.650,199.900,199.050,199.700,674,205,24000,18000,446,100,12000,12000,2969,3042,60000,54000,767171,3648000,13799939295,65449860000,1474.170,0
2017-02-06 09:35:00,199.786,199.193,199.517,199.928,198.931,199.539,199.650,199.850,199.150,199.400,199.600,199.900,199.100,199.450,100,2130,6000,6000,847,2172,6000,12000,7171,7043,48000,84000,784608,3858000,14113257595,69212580000,1472.770,0
2017-02-06 09:36:00,199.214,198.464,198.993,199.336,198.375,198.834,199.100,199.200,198.550,198.700,199.050,199.250,198.500,198.750,1192,899,6000,6000,931,651,6000,6000,26479,9815,36000,96000,795568,3978000,14309788825,71358750000,1466.560,0
2017-02-06 09:37:00,198.928,198.505,198.925,199.240,198.050,198.558,199.000,199.100,198.250,198.450,198.950,199.150,198.200,198.500,2849,1561,6000,6000,100,2506,6000,12000,4999,18077,84000,36000,842787,4116000,15155245590,73824240000,1468.990,0
2017-02-06 09:38:00,199.059,198.575,198.981,199.331,198.191,198.730,199.100,199.200,198.350,198.600,199.000,199.250,198.250,198.650,3430,493,6000,6000,739,4589,6000,6000,10833,17529,66000,30000,905122,4344000,16270458580,77892300000,1470.380,0
2017-02-06 09:39:00,199.145,198.732,198.939,199.374,198.336,198.760,199.100,199.150,198.500,198.650,199.050,199.250,198.450,198.700,385,401,6000,6000,1760,988,6000,6000,13368,12934,84000,30000,917770,4458000,16497032130,79927170000,1471.230,0
2017-02-06 09:40:00,199.159,198.783,199.010,199.448,198.348,198.780,199.150,199.300,198.500,198.600,199.100,199.350,198.450,198.650,205,529,6000,6000,3441,1547,6000,6000,14488,25898,126000,30000,928592,4536000,16690938960,81319620000,1470.460,0
