,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,213.201,213.386,213.165,213.441,213.188,213.683,213.250,213.300,213.400,213.500,213.200,213.350,213.200,213.550,1515,1000,10500,7000,2049,3989,3500,3500,9370,18899,45500,42000,265389,934500,5060200325,17828545000,1485.080,0
2017-02-06 09:18:00,213.307,213.550,213.264,213.576,213.342,213.700,213.400,213.450,213.450,213.550,213.300,213.500,213.400,213.600,960,50,3500,3500,3368,11202,14000,3500,11146,31570,42000,24500,378503,1190000,7213834410,22694717500,1482.510,0
2017-02-06 09:19:00,213.339,213.515,213.200,213.448,213.291,213.592,213.300,213.350,213.400,213.500,213.250,213.400,213.350,213.550,1295,602,3500,7000,2870,4800,10500,3500,11818,9557,38500,21000,453356,1424500,8639449630,27162257500,1485.640,0
2017-02-06 09:20:00,212.235,212.307,212.023,212.423,212.089,212.456,212.200,212.300,212.200,212.350,212.150,212.350,212.150,212.400,457,2327,14000,7000,200,2103,3500,14000,11127,17034,77000,56000,611511,1848000,11642603230,35207077500,1482.340,0
2017-02-06 09:21:00,212.372,212.519,212.222,212.551,212.283,212.606,212.350,212.450,212.400,212.500,212.300,212.500,212.350,212.600,389,6964,17500,10500,1810,903,7000,10500,13038,21699,52500,31500,671510,2044000,12779103175,38920560000,1480.170,0
2017-02-06 09:22:00,212.316,212.532,212.232,212.534,212.387,212.706,212.300,212.400,212.500,212.600,212.250,212.450,212.450,212.650,6335,800,7000,3500,1063,1290,3500,7000,18677,18980,28000,31500,709593,2142000,13500664355,40778570000,1477.600,0
2017-02-06 09:23:00,212.378,212.539,212.197,212.498,212.395,212.728,212.300,212.350,212.500,212.550,212.250,212.450,212.450,212.600,3401,430,7000,3500,62,5319,10500,7000,16900,10948,35000,31500,797527,2303000,15168007645,43830010000,1476.250,0
2017-02-06 09:24:00,212.073,212.378,211.894,212.222,212.170,212.492,212.000,212.100,212.250,212.400,211.950,212.150,212.200,212.450,8144,3140,7000,14000,1565,1940,59500,7000,22923,15655,98000,45500,834637,2390500,15869883990,45487505000,1474.220,0
2017-02-06 09:25:00,212.398,212.637,212.050,212.432,212.387,212.800,212.200,212.350,212.550,212.700,212.150,212.400,212.500,212.750,3416,2981,3500,7000,1976,1702,14000,3500,26931,9815,42000,28000,899048,2586500,17089491200,49204067500,1480.850,0
2017-02-06 09:26:00,211.477,211.742,211.283,211.560,211.618,211.921,211.400,211.450,211.700,211.800,211.350,211.500,211.650,211.850,229,813,10500,7000,5131,2207,14000,3500,19219,9252,49000,42000,1034784,2950500,19647929085,56080447500,1475.840,0
2017-02-06 09:27:00,211.106,211.481,210.890,211.238,211.232,211.660,211.000,211.100,211.350,211.500,210.950,211.150,211.300,211.550,4400,236,3500,7000,7248,1244,3500,7000,31916,13638,87500,52500,1090992,3090500,20706526575,58722685000,1476.600,0
2017-02-06 09:28:00,211.409,211.660,211.158,211.518,211.488,211.902,211.300,211.400,211.600,211.800,211.250,211.450,211.550,211.850,739,2186,14000,21000,4050,1747,3500,17500,20094,11829,56000,87500,1150828,3227000,21833258350,61297670000,1477.170,0
2017-02-06 09:29:00,211.270,211.577,211.021,211.388,211.368,211.762,211.150,211.250,211.500,211.600,211.100,211.300,211.450,211.650,617,200,3500,3500,5959,2644,7000,3500,34082,14507,49000,42000,1231163,3440500,23345727930,65324175000,1473.600,0
2017-02-06 09:30:00,211.180,211.507,210.971,211.284,211.261,211.588,211.100,211.150,211.400,211.500,211.050,211.200,211.300,211.550,1859,200,14000,14000,1340,2822,17500,7000,30348,13965,108500,42000,1258160,3521000,23853779860,66841880000,1472.950,0
2017-02-06 09:31:00,211.274,211.556,211.006,211.301,211.278,211.706,211.150,211.200,211.400,211.550,211.100,211.250,211.350,211.600,50,1672,21000,10500,265,3302,7000,7000,30626,9573,112000,59500,1302062,3619000,24680247730,68690352500,1474.310,0
2017-02-06 09:32:00,211.537,211.792,211.310,211.609,211.584,211.957,211.450,211.500,211.700,211.850,211.400,211.550,211.650,211.900,636,1986,7000,10500,3570,2964,7000,7000,21715,11460,56000,49000,1325831,3717000,25128117240,70540977500,1475.620,0
2017-02-06 09:33:00,211.359,211.683,211.098,211.422,211.420,211.760,211.200,211.300,211.550,211.650,211.150,211.350,211.500,211.700,17449,372,10500,3500,5229,1226,14000,7000,59497,9167,87500,35000,1356600,3843000,25707673755,72918877500,1472.930,0
2017-02-06 09:34:00,211.849,212.139,211.650,212.045,211.975,212.377,211.750,211.950,212.100,212.200,211.700,212.000,212.050,212.250,1552,3807,7000,3500,5520,5730,10500,3500,22604,23389,42000,38500,1387831,3955000,26296087865,75033665000,1474.170,0
2017-02-06 09:35:00,211.693,212.031,211.524,211.890,211.793,212.185,211.650,211.750,211.950,212.100,211.600,211.800,211.900,212.150,1282,1211,14000,10500,1078,437,3500,10500,16182,16262,49000,45500,1414218,4039000,26793816735,76621300000,1472.770,0
2017-02-06 09:36:00,211.155,211.500,210.986,211.340,211.318,211.586,211.100,211.200,211.400,211.500,211.050,211.250,211.350,211.550,1561,2248,24500,3500,1683,2759,28000,14000,32708,26581,87500,38500,1445144,4126500,27376134105,78271830000,1466.560,0
