,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,Y
2017-02-07 09:27:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4802,1501,18000,9000,859,1787,18000,36000,23926,14489,63000,90000,0
2017-02-07 09:28:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6920,1150,9000,9000,1633,2008,9000,27000,26391,24459,45000,90000,0
2017-02-07 09:29:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3690,6304,9000,9000,605,7597,9000,36000,24461,31641,72000,90000,0
2017-02-07 09:30:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1829,1650,9000,36000,3731,2211,9000,9000,25083,19480,54000,90000,0
2017-02-07 09:31:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50,2227,18000,27000,1719,1310,9000,9000,22925,17056,63000,90000,0
2017-02-07 09:32:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2787,2401,9000,18000,1546,1906,9000,9000,24696,21426,108000,90000,0
2017-02-07 09:33:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1554,2190,9000,9000,6295,1116,9000,18000,26261,13159,81000,81000,0
2017-02-07 09:34:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1887,4322,9000,9000,7677,3101,9000,18000,37184,25215,54000,90000,0
2017-02-07 09:35:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,948,4600,9000,9000,3699,2704,9000,27000,26212,19960,81000,99000,0
2017-02-07 09:36:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4646,1500,9000,9000,1682,1041,18000,18000,27924,19535,81000,90000,0
2017-02-07 09:37:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4558,2808,9000,9000,1682,1041,18000,18000,33241,26498,72000,90000,0
2017-02-07 09:38:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3268,2699,9000,9000,10319,2581,18000,18000,41128,22473,72000,81000,0
2017-02-07 09:39:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46,2862,9000,18000,3214,3024,18000,18000,19481,18113,54000,99000,0
2017-02-07 09:40:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,324,3436,9000,18000,4764,3824,9000,45000,21700,29595,45000,126000,0
2017-02-07 09:41:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2764,117,18000,18000,2592,5800,9000,18000,40437,22091,63000,99000,0
2017-02-07 09:42:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,3716,9000,9000,957,4078,9000,9000,6025,30158,63000,72000,0
2017-02-07 09:43:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3344,1145,18000,18000,1060,2950,18000,27000,33461,19848,81000,99000,0
2017-02-07 09:44:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,3022,9000,9000,860,3471,9000,9000,13331,26921,63000,72000,0
2017-02-07 09:45:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50,2664,9000,9000,1555,3968,18000,18000,29003,21410,72000,90000,0
2017-02-07 09:46:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,238,810,18000,18000,1358,3163,18000,9000,29299,20902,81000,90000,0
2017-02-07 09:47:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2238,1741,9000,9000,3861,2263,18000,36000,42834,19992,72000,90000,0
2017-02-07 09:48:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1700,2176,9000,36000,13,9908,9000,18000,11922,32128,54000,126000,0
2017-02-07 09:49:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,465,1091,18000,9000,2490,775,9000,18000,24728,22006,63000,108000,0
2017-02-07 09:50:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2745,20,18000,9000,2490,422,9000,9000,28071,21276,63000,99000,0
2017-02-07 09:51:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3370,175,18000,9000,1254,5321,18000,18000,34309,22881,90000,90000,0
2017-02-07 09:52:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3370,145,18000,9000,1254,6280,18000,18000,34309,24010,90000,90000,0
2017-02-07 09:53:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3754,1681,9000,9000,1801,5289,9000,18000,51508,24555,72000,99000,0
2017-02-07 09:54:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4066,2470,36000,9000,1801,5289,9000,18000,61058,25344,90000,99000,0
2017-02-07 09:55:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5800,8989,9000,9000,2952,5938,9000,18000,45200,44256,72000,99000,0
2017-02-07 09:56:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4448,510,9000,9000,2990,3094,18000,9000,52289,19201,72000,108000,0
2017-02-07 09:57:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5011,750,9000,9000,609,2552,9000,45000,57284,19800,45000,99000,0
2017-02-07 09:58:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3699,4850,9000,9000,2647,1940,9000,9000,41059,29824,63000,90000,0
2017-02-07 09:59:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1386,1314,9000,9000,4204,4820,9000,9000,49803,16410,63000,99000,0
2017-02-07 10:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1927,1419,9000,18000,4205,4346,9000,9000,50507,16064,63000,108000,0
2017-02-07 10:01:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4095,21234,27000,27000,3546,901,9000,9000,61070,35135,81000,90000,0
2017-02-07 10:02:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2413,3166,9000,9000,3686,4852,9000,18000,41244,32526,54000,81000,0
2017-02-07 10:03:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4839,3670,9000,18000,540,1958,9000,9000,53404,30036,117000,72000,1
2017-02-07 10:04:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,600,7350,9000,27000,1856,3578,9000,18000,48512,31587,54000,72000,1
2017-02-07 10:05:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,8353,9000,18000,6381,2317,9000,9000,49768,34215,135000,54000,1
2017-02-07 10:06:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70,4758,9000,9000,10030,3937,9000,9000,50082,33740,54000,45000,1
