,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,1013.969,1014.745,1013.454,1014.874,1013.080,1016.783,1014.000,1014.600,1014.100,1016.500,1013.750,1014.650,1014.050,1016.550,58,19,600,600,18,27,600,600,191,207,3000,3600,6311,6000,636296320,606279000,1485.080,0
2017-02-06 09:18:00,1014.098,1013.475,1013.393,1014.315,1011.886,1014.670,1013.750,1014.100,1012.750,1013.750,1013.600,1014.850,1012.700,1014.700,5,487,1200,600,97,52,600,600,346,660,4200,3000,9364,10200,943861075,1029093000,1482.510,0
2017-02-06 09:19:00,1018.205,1017.882,1017.467,1018.738,1016.575,1019.160,1017.950,1018.450,1017.050,1018.500,1017.450,1018.550,1017.000,1018.550,27,17,1200,600,30,10,600,600,102,70,3600,3000,12651,15600,1275994765,1574229000,1485.640,0
2017-02-06 09:20:00,1018.195,1018.150,1018.282,1019.005,1016.875,1019.460,1018.550,1018.900,1017.150,1018.250,1018.350,1018.950,1017.100,1018.300,9,20,1200,600,16,53,600,600,42,942,3600,3000,15479,22200,1561977680,2241141000,1482.340,0
2017-02-06 09:21:00,1016.882,1016.191,1016.488,1017.566,1015.270,1017.342,1016.750,1017.450,1015.500,1017.200,1016.700,1017.500,1015.450,1017.250,29,118,600,600,17,146,600,600,248,563,3000,3600,23517,41400,2374280260,4181175000,1480.170,0
2017-02-06 09:22:00,1018.134,1018.195,1018.141,1019.000,1016.800,1019.610,1018.400,1018.450,1017.300,1018.600,1018.200,1018.850,1017.250,1019.050,3,1,1200,600,8,15,600,600,32,990,3600,3000,28872,48600,2915434615,4908072000,1477.600,0
2017-02-06 09:23:00,1017.752,1017.950,1017.544,1019.021,1016.910,1018.990,1018.000,1018.800,1017.300,1018.500,1017.650,1018.900,1017.250,1019.000,1,3,600,600,25,148,600,600,288,1782,3000,3000,34274,57000,3461004345,5756862000,1476.250,0
2017-02-06 09:24:00,1014.754,1014.673,1014.166,1015.579,1014.025,1015.429,1015.000,1015.450,1014.300,1015.000,1014.800,1015.500,1014.050,1015.350,10,61,1200,1200,25,38,600,600,452,816,3600,4200,34714,58200,3505412125,5877963000,1474.220,0
2017-02-06 09:25:00,1017.374,1017.382,1016.755,1017.975,1016.375,1018.320,1017.050,1017.750,1016.550,1017.900,1017.000,1017.900,1016.500,1017.950,20,10,1200,600,24,37,600,600,222,289,3600,3000,35417,61800,3576357275,6241248000,1480.850,0
2017-02-06 09:26:00,1015.136,1014.929,1014.129,1015.522,1013.742,1016.033,1014.500,1015.250,1014.000,1015.750,1014.450,1015.300,1013.950,1015.800,29,2,600,600,16,1,600,600,300,103,3600,3600,36564,63000,3691981785,6362295000,1475.840,0
2017-02-06 09:27:00,1013.462,1013.675,1012.955,1014.384,1012.900,1014.679,1013.700,1014.200,1013.300,1014.450,1013.050,1014.300,1013.100,1014.500,27,62,600,600,15,11,600,1200,140,345,3000,4200,38162,64800,3853081455,6543786000,1476.600,0
2017-02-06 09:28:00,1012.343,1012.686,1012.290,1013.320,1011.750,1013.642,1012.500,1013.150,1012.250,1013.300,1012.400,1013.200,1012.000,1013.350,10,55,600,1200,25,22,600,600,57,325,3000,3600,39829,66000,4020821615,6664605000,1477.170,0
2017-02-06 09:29:00,1009.805,1010.615,1009.505,1011.019,1009.540,1012.106,1010.100,1010.750,1009.950,1011.500,1010.000,1010.900,1009.900,1011.700,10,45,600,600,20,102,600,1800,116,491,3000,4800,43195,69600,4358930695,7026498000,1473.600,1
2017-02-06 09:30:00,1009.631,1010.109,1008.820,1010.047,1009.192,1011.060,1009.450,1009.750,1009.650,1010.400,1009.150,1009.850,1009.250,1011.000,90,12,1200,600,25,1,600,600,742,589,3600,3000,43694,71400,4408947135,7207125000,1472.950,1
2017-02-06 09:31:00,1013.169,1013.979,1012.737,1014.010,1012.967,1015.167,1013.000,1013.750,1013.250,1014.300,1012.950,1013.900,1013.200,1014.750,21,2,1200,600,29,101,600,600,189,396,3600,3600,145837,76800,14693359070,7749807000,1474.310,0
