,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,1382.876,1383.240,1382.914,1383.590,1382.080,1383.200,1383.000,1383.350,1382.350,1382.800,1382.850,1383.400,1382.250,1382.850,258,25,500,1000,1,609,500,500,398,1731,7500,3000,72139,186000,9570202055,24671917500,1485.080,1
2017-02-06 09:18:00,1385.273,1384.479,1384.822,1385.714,1383.900,1385.007,1385.250,1385.400,1384.200,1384.850,1385.200,1385.450,1384.050,1384.950,45,6,500,1000,85,20,500,500,467,444,3500,3500,91949,251000,12198058470,33289817500,1482.510,0
2017-02-06 09:19:00,1389.577,1389.146,1389.447,1390.037,1388.600,1389.692,1389.550,1389.750,1389.000,1389.200,1389.500,1389.850,1388.700,1389.700,112,136,500,500,173,50,500,500,372,492,3000,3000,116573,351000,15474333750,46591585000,1485.640,0
2017-02-06 09:20:00,1388.461,1388.582,1387.864,1388.793,1388.307,1389.465,1388.050,1388.350,1388.500,1389.000,1388.000,1388.700,1388.450,1389.250,55,50,500,1000,308,81,1500,500,932,490,3500,5000,130763,421000,17362224430,55902952500,1482.340,0
2017-02-06 09:21:00,1387.151,1387.476,1387.353,1387.941,1387.056,1387.985,1387.500,1387.750,1387.300,1387.750,1387.200,1387.800,1387.250,1387.800,421,66,500,500,1,350,500,500,532,1532,4500,5000,137381,450000,18242903800,59762370000,1480.170,0
2017-02-06 09:22:00,1386.367,1386.527,1385.921,1386.486,1385.944,1386.992,1386.000,1386.250,1386.150,1386.850,1385.900,1386.600,1386.100,1386.900,656,54,500,500,2,2,500,500,970,85,4500,3000,144318,466500,19165285275,61956742500,1477.600,0
2017-02-06 09:23:00,1385.964,1386.377,1385.434,1386.372,1386.117,1386.900,1386.000,1386.050,1386.250,1386.600,1385.900,1386.200,1386.200,1386.900,109,49,500,2500,2,188,500,1000,1161,1252,3000,9000,153667,495000,20407532840,65744732500,1476.250,0
2017-02-06 09:24:00,1386.033,1385.955,1385.754,1386.232,1385.783,1386.846,1385.900,1386.000,1386.200,1386.700,1385.850,1386.300,1386.000,1386.800,28,529,1000,5000,251,5,500,1500,878,1170,3000,12500,158536,504000,21054684340,66941207500,1474.220,0
2017-02-06 09:25:00,1385.145,1385.729,1384.757,1385.696,1385.183,1386.142,1385.000,1385.550,1385.400,1386.000,1384.800,1385.600,1385.350,1386.050,327,64,500,1000,25,475,500,500,1027,1478,3000,3000,165674,531500,22003281210,70596335000,1480.850,0
2017-02-06 09:26:00,1385.693,1385.774,1385.514,1386.013,1385.557,1386.521,1385.600,1385.750,1385.800,1386.000,1385.550,1386.000,1385.650,1386.500,83,166,1000,1500,2,587,500,500,588,1296,3500,7000,173041,558500,22981769055,74183912500,1475.840,0
2017-02-06 09:27:00,1385.085,1385.725,1384.688,1385.176,1385.310,1386.140,1384.850,1385.000,1385.550,1385.800,1384.800,1385.200,1385.500,1386.000,80,632,500,500,103,106,500,500,1032,1203,2500,2500,177343,573000,23553255225,76111002500,1476.600,0
2017-02-06 09:28:00,1384.034,1384.879,1383.629,1384.405,1384.383,1385.412,1383.850,1384.000,1384.550,1385.200,1383.800,1384.350,1384.500,1385.450,2,25,500,1500,16,383,500,500,576,816,3000,4000,182727,583000,24268101045,77439290000,1477.170,0
2017-02-06 09:29:00,1380.497,1381.437,1380.074,1380.518,1380.979,1382.056,1380.450,1380.500,1381.300,1381.850,1380.250,1380.600,1381.250,1381.900,66,1192,500,500,26,59,500,500,499,1323,3500,4000,190299,605500,25271709365,80422265000,1473.600,0
2017-02-06 09:30:00,1383.451,1384.971,1383.287,1384.042,1384.425,1385.517,1383.400,1383.950,1384.650,1385.200,1383.350,1384.000,1384.500,1385.550,91,209,1000,1000,55,353,500,500,200,782,3000,3000,202412,637500,26874956900,84661482500,1472.950,0
2017-02-06 09:31:00,1384.478,1385.289,1384.169,1384.627,1384.100,1385.417,1384.400,1384.450,1384.650,1385.000,1384.350,1384.650,1384.500,1385.100,20,223,1000,1000,6,64,500,500,250,608,8500,3000,206975,656500,27480496080,87184907500,1474.310,0
2017-02-06 09:32:00,1382.895,1383.412,1382.120,1383.052,1383.067,1383.857,1382.300,1382.700,1383.300,1383.650,1382.250,1383.000,1383.250,1383.700,493,41,500,500,616,2,500,500,2681,327,3000,3500,212598,675000,28226250965,89639187500,1475.620,0
2017-02-06 09:33:00,1383.374,1384.361,1383.067,1383.832,1384.031,1384.583,1383.300,1383.450,1384.250,1384.400,1383.200,1383.500,1384.150,1384.500,85,265,1000,500,14,3,500,500,458,902,4000,3000,216875,679000,28793309235,90169885000,1472.930,0
2017-02-06 09:34:00,1382.222,1383.315,1381.472,1382.166,1382.936,1383.717,1381.850,1382.000,1383.100,1383.500,1381.600,1382.250,1383.050,1383.550,53,155,1000,500,80,18,500,500,838,264,3500,3000,222538,695000,29543945295,92292757500,1474.170,0
2017-02-06 09:35:00,1382.566,1383.650,1382.059,1382.877,1383.225,1384.286,1382.200,1382.700,1383.600,1383.900,1382.150,1382.750,1383.500,1383.950,48,246,500,500,121,200,500,500,1408,1050,3000,3500,226098,700000,30015672820,92956082500,1472.770,0
2017-02-06 09:36:00,1382.849,1384.054,1382.375,1382.954,1383.557,1384.340,1382.600,1382.750,1383.750,1384.000,1382.550,1382.850,1383.700,1384.350,21,117,500,500,55,1,500,500,1096,595,3500,2500,228872,711000,30383381230,94415527500,1466.560,0
2017-02-06 09:37:00,1383.870,1384.865,1383.474,1384.154,1384.440,1385.290,1383.600,1384.000,1384.650,1385.100,1383.500,1384.150,1384.600,1385.250,50,280,500,500,797,25,500,500,1044,809,2500,2500,232256,721000,30832209015,95743182500,1468.990,0
2017-02-06 09:38:00,1383.120,1384.211,1383.171,1383.619,1383.531,1384.608,1383.250,1383.450,1384.050,1384.450,1383.200,1383.500,1383.550,1384.500,124,16,500,500,2,537,500,1000,159,1376,4000,3000,237707,730000,31555505015,96938180000,1470.380,0
2017-02-06 09:39:00,1382.641,1383.900,1382.530,1382.752,1383.550,1384.336,1382.550,1382.700,1383.650,1384.000,1382.500,1382.750,1383.600,1384.250,487,23,500,500,5,236,500,1500,519,267,2500,3500,240567,736500,31934716685,97800677500,1471.230,0
2017-02-06 09:40:00,1383.267,1383.700,1383.013,1383.469,1383.275,1384.017,1383.250,1383.350,1383.500,1383.850,1383.100,1383.400,1383.450,1383.900,3,125,500,500,209,63,500,500,576,481,3000,3000,244349,743500,32436214735,98729455000,1470.460,0
