,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-02-06 09:17:00,309.928,310.118,309.409,310.015,309.810,310.425,309.650,309.900,310.000,310.300,309.600,310.000,309.950,310.350,286,643,2500,5000,50,102,2500,2500,3970,1734,12500,15000,12666,82500,305100610,1988550000,1485.080,0
2017-02-06 09:18:00,308.649,308.695,308.285,308.856,308.380,309.033,308.450,308.700,308.800,308.900,308.400,308.750,308.500,308.950,85,346,2500,2500,164,236,2500,5000,5339,3261,12500,15000,19394,117500,466802590,2831400000,1482.510,0
2017-02-06 09:19:00,309.288,309.621,308.986,309.497,309.150,310.000,309.200,309.400,309.500,309.700,309.100,309.450,309.450,309.950,200,550,2500,2500,50,164,2500,2500,1829,1752,15000,15000,28031,155000,673968455,3732087500,1485.640,0
2017-02-06 09:20:00,308.732,309.215,308.619,309.249,308.925,309.771,308.750,309.000,309.050,309.300,308.700,309.050,309.000,309.350,286,605,2500,2500,75,50,5000,2500,1621,4875,15000,17500,35259,177500,847535250,4273225000,1482.340,0
2017-02-06 09:21:00,308.997,309.339,308.934,309.462,309.017,309.881,309.000,309.300,309.200,309.600,308.850,309.350,309.100,309.650,3951,466,5000,5000,275,48,2500,2500,5214,7143,15000,20000,38507,190000,925524090,4573737500,1480.170,0
2017-02-06 09:22:00,309.125,309.467,309.040,309.487,309.142,309.892,309.200,309.250,309.300,309.750,309.150,309.350,309.200,309.800,30,13,5000,2500,1,115,2500,2500,3358,19353,15000,15000,41903,200000,1007097740,4814337500,1477.600,0
2017-02-06 09:23:00,308.180,308.430,307.911,308.414,308.156,309.182,308.000,308.300,308.500,308.950,307.950,308.350,308.300,309.000,1060,482,5000,7500,50,236,2500,2500,2215,1966,20000,35000,49995,217500,1201020745,5234075000,1476.250,1
2017-02-06 09:24:00,308.451,308.900,308.334,308.831,308.531,309.235,308.400,308.700,308.800,309.050,308.350,308.750,308.750,309.100,1081,255,2500,7500,50,164,2500,5000,2203,3816,20000,25000,52294,220000,1256092750,5294012500,1474.220,1
2017-02-06 09:25:00,308.845,309.119,308.597,308.923,308.967,309.750,308.800,308.850,309.150,309.350,308.650,308.950,309.050,309.400,60,2199,2500,2500,286,50,5000,2500,3461,3925,15000,25000,55084,245000,1322966675,5894287500,1480.850,0
2017-02-06 09:26:00,308.506,308.874,308.392,308.712,308.475,309.206,308.500,308.600,308.800,309.100,308.450,308.650,308.700,309.150,3,200,2500,5000,4,214,2500,7500,777,1331,20000,22500,56525,250000,1357493835,6014250000,1475.840,1
2017-02-06 09:27:00,308.661,309.062,308.320,308.688,308.800,309.292,308.450,308.600,308.950,309.200,308.400,308.650,308.900,309.250,286,200,2500,5000,236,173,2500,2500,2819,648,15000,15000,60653,252500,1456366725,6074237500,1476.600,0
2017-02-06 09:28:00,308.697,309.079,308.353,308.875,308.792,309.512,308.550,308.700,308.950,309.300,308.500,308.750,308.900,309.350,100,10,2500,5000,531,60,5000,2500,2667,1093,15000,20000,62547,267500,1501779355,6434575000,1477.170,0
2017-02-06 09:29:00,308.475,309.250,308.420,308.993,308.893,309.500,308.600,308.800,309.000,309.300,308.550,308.850,308.950,309.500,286,24,2500,5000,236,236,2500,2500,2492,10041,17500,15000,64023,272500,1537166395,6554575000,1473.600,1
2017-02-06 09:30:00,308.631,309.207,308.581,309.004,308.957,309.457,308.750,308.800,309.100,309.350,308.650,308.950,309.000,309.400,230,40,2500,2500,50,55,7500,7500,904,9663,17500,17500,65143,280000,1564027220,6734700000,1472.950,0
2017-02-06 09:31:00,309.596,309.889,309.176,309.718,309.493,310.364,309.400,309.600,309.750,310.000,309.350,309.650,309.600,310.250,286,50,5000,2500,296,236,2500,5000,2707,1050,17500,17500,77298,295000,1855784015,7095637500,1474.310,0
2017-02-06 09:32:00,309.708,310.282,309.642,310.004,310.020,310.683,309.750,309.900,310.150,310.500,309.700,309.950,310.100,310.700,296,145,2500,7500,879,110,2500,2500,2879,17443,12500,22500,79866,330000,1917599870,7939837500,1475.620,0
