,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-02 09:17:00,674.680,675.408,674.377,674.868,674.925,675.942,674.500,674.650,675.150,675.550,674.450,674.950,675.050,675.900,305,627,1000,1000,27,123,1000,1000,1485,1600,6000,6000,217967,319000,13163400445,19304945000,1196.740,0
2017-01-02 09:18:00,668.514,668.538,668.081,668.834,667.764,669.800,668.300,668.800,668.250,668.800,668.150,668.850,667.900,669.750,168,1000,2000,1000,250,312,1000,1000,1169,1692,7000,9000,288404,412000,17410731760,24909915000,1183.760,0
2017-01-02 09:19:00,668.926,669.331,668.913,669.509,668.443,670.183,669.000,669.400,668.800,669.500,668.900,669.450,668.500,670.100,151,595,1000,1000,1,427,1000,1000,277,2772,7000,6000,353994,520000,21339513070,31384660000,1190.160,0
2017-01-02 09:20:00,665.787,666.360,665.306,666.003,665.817,667.267,665.400,665.950,666.250,666.950,665.350,666.000,666.000,667.000,27,123,1000,1000,182,60,2000,3000,469,260,6000,9000,423385,604000,25479479685,36400275000,1188.360,0
2017-01-02 09:21:00,663.152,664.214,662.743,663.468,663.475,664.790,662.850,663.000,664.000,664.600,662.800,663.350,663.600,664.650,252,150,1000,1000,556,20,1000,1000,1197,575,6000,5000,521670,719000,31321258620,43247305000,1178.360,1
2017-01-02 09:22:00,665.225,666.047,664.831,665.522,665.521,666.706,665.000,665.450,665.800,666.300,664.850,665.500,665.750,666.350,238,207,1000,1000,114,250,1000,2000,838,733,7000,8000,595586,822000,35709079040,49371140000,1183.810,0
2017-01-02 09:23:00,665.347,666.546,665.025,665.752,666.142,667.025,665.100,665.650,666.350,666.850,665.050,665.700,666.250,666.950,22,51,1000,1000,410,247,1000,3000,712,771,6000,8000,641210,897000,38423778360,53839635000,1178.180,0
2017-01-02 09:24:00,666.983,667.913,666.753,667.507,667.650,668.735,666.900,667.400,667.750,668.000,666.850,667.450,667.700,668.450,51,87,1000,1000,27,1247,1000,1000,866,2561,5000,10000,685714,969000,41079424780,58142985000,1180.080,0
2017-01-02 09:25:00,667.114,668.009,666.890,667.566,667.617,668.440,667.000,667.400,667.800,668.000,666.950,667.450,667.750,668.300,190,172,2000,1000,27,100,1000,1000,846,1464,6000,5000,714617,1011000,42803758415,60652075000,1179.970,0
2017-01-02 09:26:00,666.608,667.169,666.324,666.720,666.629,667.725,666.500,666.650,667.000,667.450,666.400,666.700,666.600,667.650,275,121,2000,1000,100,277,1000,1000,1036,649,7000,6000,735692,1042000,44061964920,62504965000,1180.120,0
2017-01-02 09:27:00,664.623,665.357,664.189,664.674,665.010,666.094,664.300,664.500,665.200,665.750,664.250,664.800,665.150,665.800,149,441,1000,1000,782,30,1000,1000,1607,771,5000,9000,776795,1090000,46508626020,65364160000,1179.040,0
2017-01-02 09:28:00,664.164,664.665,663.983,664.515,664.257,665.042,664.000,664.350,664.400,664.850,663.850,664.400,664.300,664.900,2603,51,1000,1000,70,94,2000,1000,2848,1307,7000,6000,809450,1124000,48449918680,67387505000,1175.980,0
2017-01-02 09:29:00,663.566,664.018,663.315,663.988,663.272,664.480,663.550,663.900,663.700,664.350,663.500,663.950,663.300,664.400,9,44,1000,1000,25,352,5000,1000,349,1013,9000,5000,832355,1160000,49810168670,69526520000,1170.140,0
2017-01-02 09:30:00,661.476,661.844,660.978,661.514,661.025,662.250,661.050,661.450,661.400,662.100,661.000,661.500,661.100,662.150,70,517,1000,1000,2823,15,1000,2000,4219,697,10000,6000,869446,1229000,52009355820,73619275000,1166.750,1
2017-01-02 09:31:00,660.271,661.635,660.259,660.945,661.308,662.021,660.500,660.700,661.550,661.900,660.300,660.850,661.500,661.950,404,745,1000,2000,5,27,2000,1000,1105,4666,6000,7000,940529,1305000,56207093145,78114015000,1163.430,1
