,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-02 09:17:00,60.776,61.960,60.768,60.987,61.856,62.126,60.840,60.890,61.950,62.050,60.790,60.930,61.900,62.100,14957,516,54000,27000,6688,82708,54000,270000,40356,198651,216000,459000,13552,81000,35915465,210870000,1196.740,1
2017-01-02 09:18:00,60.933,62.100,60.841,61.049,62.027,62.214,60.930,60.980,62.100,62.150,60.890,61.030,62.050,62.200,6822,60202,54000,297000,34380,87985,162000,108000,121358,246317,351000,675000,50587,162000,134238495,422280000,1183.760,1
2017-01-02 09:19:00,61.123,62.205,60.905,61.192,62.094,62.370,61.030,61.120,62.150,62.250,60.980,61.170,62.100,62.300,10828,58117,243000,27000,34372,15777,270000,81000,206684,147209,702000,405000,90369,378000,240274405,987930000,1190.160,0
2017-01-02 09:20:00,61.074,62.172,60.859,61.170,62.061,62.371,60.980,61.070,62.100,62.250,60.930,61.120,62.050,62.300,453,3514,351000,27000,29338,58569,162000,81000,196195,126107,621000,378000,181767,486000,483294600,1270620000,1188.360,0
2017-01-02 09:21:00,60.929,62.069,60.807,61.073,61.967,62.247,60.890,60.980,62.050,62.150,60.840,61.030,62.000,62.200,11767,3835,27000,54000,59569,66345,135000,189000,141608,136988,324000,459000,222998,567000,592986665,1482435000,1178.360,0
2017-01-02 09:22:00,60.946,62.059,60.806,61.054,61.983,62.212,60.890,60.980,62.050,62.100,60.840,61.030,62.000,62.150,17520,59498,162000,27000,62078,16726,135000,189000,168991,144803,486000,432000,240795,621000,640246270,1623375000,1183.810,0
2017-01-02 09:23:00,60.870,61.938,60.709,60.963,61.845,62.121,60.840,60.890,61.900,62.000,60.790,60.930,61.850,62.050,5,57936,216000,27000,7417,16379,162000,54000,106286,145575,513000,378000,296364,675000,787149115,1763775000,1178.180,0
2017-01-02 09:24:00,60.695,61.981,60.687,60.908,61.850,62.077,60.750,60.790,61.900,62.000,60.700,60.840,61.850,62.050,30817,1283,324000,108000,15858,11351,162000,54000,74163,177542,675000,297000,336549,864000,893345805,2254500000,1180.080,1
2017-01-02 09:25:00,60.671,61.868,60.584,60.861,61.700,62.000,60.700,60.750,61.800,61.950,60.650,60.790,61.750,62.000,11320,2678,54000,243000,12846,41550,81000,162000,120409,258237,351000,540000,374498,1215000,993220950,3163590000,1179.970,1
2017-01-02 09:26:00,60.821,61.997,60.672,60.963,61.839,62.241,60.790,60.840,61.950,62.100,60.750,60.890,61.900,62.150,8119,1104,54000,27000,24201,14702,81000,54000,110703,101167,378000,432000,403439,1350000,1069403465,3513915000,1180.120,0
