,stockVWAP,futureVWAP,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,stockTopBidPrice,stockTopAskPrice,futureTopBidPrice,futureTopAskPrice,stockNextBidPrice,stockNextAskPrice,futureNextBidPrice,futureNextAskPrice,stockTopBidVol,stockTopAskVol,futureTopBidVol,futureTopAskVol,stockNextBidVol,stockNextAskVol,futureNextBidVol,futureNextAskVol,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockTotalTradedVolume,futureTotalTradedVolume,stockTotalTradedValue,futureTotalTradedValue,market,Y
2017-01-02 09:17:00,66.306,66.575,66.245,66.495,66.280,66.870,66.350,66.400,66.450,66.600,66.300,66.450,66.400,66.800,676,3532,8000,8000,1631,634,8000,8000,5390,21139,40000,40000,21030,104000,170790535,846920000,1196.740,0
2017-01-02 09:18:00,66.341,66.529,66.022,66.414,66.167,66.867,66.200,66.300,66.400,66.750,66.100,66.350,66.200,66.800,200,1848,8000,8000,1232,100,8000,16000,23285,7017,48000,48000,42695,168000,347160255,1369360000,1183.760,0
2017-01-02 09:19:00,66.322,66.583,66.074,66.470,66.218,66.793,66.200,66.350,66.450,66.600,66.150,66.400,66.300,66.750,2470,1948,8000,8000,1232,1693,8000,16000,24129,15386,88000,56000,50988,216000,414459625,1760360000,1190.160,0
2017-01-02 09:20:00,66.146,66.275,65.905,66.219,66.100,66.619,66.050,66.100,66.200,66.450,66.000,66.150,66.050,66.500,2730,419,48000,8000,2325,3232,8000,8000,20775,9531,80000,64000,58597,240000,476286205,1955600000,1188.360,0
2017-01-02 09:21:00,65.885,66.090,65.721,66.072,65.873,66.406,65.850,65.950,66.000,66.200,65.800,66.000,65.850,66.350,2310,2327,56000,8000,844,2504,16000,8000,13705,16890,104000,64000,66594,248000,541067805,2020560000,1178.360,1
2017-01-02 09:22:00,66.162,66.353,65.960,66.367,66.050,66.481,66.100,66.250,66.300,66.400,66.050,66.300,66.150,66.450,2716,3143,8000,16000,2594,5135,24000,16000,34656,43775,88000,64000,80814,280000,656403690,2280200000,1183.810,0
2017-01-02 09:23:00,66.212,66.395,66.086,66.473,66.228,66.675,66.200,66.300,66.400,66.500,66.150,66.350,66.300,66.600,2716,520,16000,8000,11454,674,16000,16000,33450,36358,72000,80000,86123,304000,699529165,2475680000,1178.180,0
2017-01-02 09:24:00,66.312,66.472,66.159,66.547,66.207,66.750,66.300,66.400,66.400,66.600,66.250,66.450,66.350,66.700,2492,567,8000,16000,1876,2862,8000,16000,26710,38754,56000,88000,92583,320000,752086935,2606000000,1180.080,0
2017-01-02 09:25:00,66.318,66.535,66.181,66.549,66.300,66.736,66.300,66.400,66.450,66.600,66.250,66.450,66.400,66.700,2587,1067,8000,8000,2529,2578,8000,16000,32089,38542,48000,56000,96597,320000,784749010,2606000000,1179.970,0
2017-01-02 09:26:00,66.320,66.503,66.188,66.535,66.207,66.706,66.350,66.400,66.400,66.600,66.300,66.450,66.350,66.700,2,3157,8000,24000,2032,2551,8000,16000,19966,45880,56000,72000,99225,328000,806129195,2671200000,1180.120,0
2017-01-02 09:27:00,66.324,66.477,66.171,66.529,66.207,66.694,66.300,66.400,66.400,66.600,66.250,66.450,66.350,66.650,3465,7374,8000,16000,2673,2143,8000,8000,31980,42781,56000,64000,105275,328000,855350835,2671200000,1179.040,0
