,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP
2017-03-31 09:30:00,1310.0,280.50384615384615,280.59999999999997,698.5384615384615,280.769,281.146,279.657,280.5577692307692
2017-03-31 10:00:00,1047.3666666666666,281.92833333333334,282.02833333333336,1049.7666666666667,281.831,282.696,281.003,282.0186666666667
2017-03-31 10:30:00,1509.3666666666666,281.92166666666674,282.0216666666666,609.2,281.757,282.318,281.757,282.00706666666673
2017-03-31 11:00:00,2825.3333333333335,280.87833333333333,280.97333333333336,4476.8,280.452,281.764,280.452,280.95736666666664
2017-03-31 11:30:00,3804.1,280.4333333333333,280.4883333333333,20042.133333333335,280.421,280.53,280.261,280.4342666666667
2017-03-31 12:00:00,1076.0333333333333,280.19666666666666,280.2633333333333,5912.533333333334,279.938,280.463,279.724,280.13790000000006
2017-03-31 12:30:00,1639.8333333333333,280.335,280.40833333333325,5995.466666666666,280.278,280.41200000000003,279.947,280.26353333333344
2017-03-31 13:00:00,1507.4333333333334,280.2916666666667,280.35166666666674,1819.3333333333333,280.257,280.347,280.153,280.2240333333333
2017-03-31 13:30:00,2001.5,280.0766666666666,280.13166666666655,5062.266666666666,279.886,280.369,279.771,280.0656666666666
2017-03-31 14:00:00,4699.533333333334,279.90166666666664,279.95666666666665,15737.166666666666,279.907,280.002,279.723,279.9046333333333
2017-03-31 14:30:00,2669.3333333333335,279.71,279.78,10480.866666666667,279.442,280.003,279.307,279.72253333333333
2017-03-31 15:00:00,1881.3666666666666,278.5133333333332,278.6166666666667,6491.133333333333,277.06,279.492,276.635,278.56703333333337
2017-03-31 15:30:00,2738.4333333333334,277.07166666666666,277.16166666666663,4375.833333333333,277.39,277.97700000000003,275.985,277.0516333333333
2017-04-03 09:30:00,571.6923076923077,278.2269230769231,278.31538461538463,4415.923076923077,278.213,278.73400000000004,277.658,278.17323076923077
2017-04-03 10:00:00,1190.4,277.82166666666666,277.8883333333333,2853.7,278.341,278.47,276.94,277.7916666666667
2017-04-03 10:30:00,913.7333333333333,279.9533333333333,280.04166666666663,1975.7333333333333,279.769,280.589,278.525,279.92263333333335
2017-04-03 11:00:00,997.4333333333333,279.595,279.69,1777.4,279.296,279.833,279.296,279.60153333333335
2017-04-03 11:30:00,1491.6666666666667,279.5516666666666,279.62833333333333,1715.7333333333333,279.974,280.243,279.23400000000004,279.54806666666667
2017-04-03 12:00:00,2398.5666666666666,280.48666666666674,280.55500000000006,1831.1666666666667,281.356,281.356,279.98,280.47563333333335
2017-04-03 12:30:00,1380.7333333333333,282.01166666666666,282.08666666666664,2516.4333333333334,282.373,282.545,281.262,281.9635333333334
2017-04-03 13:00:00,1780.5333333333333,282.11333333333334,282.17500000000007,1601.5333333333333,281.9290000000001,282.518,281.9190000000001,282.08223333333336
2017-04-03 13:30:00,1313.2,282.9283333333334,282.99833333333333,2765.133333333333,283.205,283.2340000000001,282.0,282.8976666666667
2017-04-03 14:00:00,1325.2,284.05499999999995,284.13,4502.1,285.597,285.597,283.178,284.0599333333333
2017-04-03 14:30:00,1567.5,285.7766666666667,285.83666666666664,4960.366666666667,285.402,286.194,285.206,285.76460000000003
2017-04-03 15:00:00,2564.266666666667,285.83666666666676,285.915,3755.3333333333335,285.946,286.045,285.493,285.8036000000001
2017-04-03 15:30:00,4048.3333333333335,286.56499999999994,286.6433333333334,4529.733333333334,286.607,287.146,286.05,286.64166666666665
2017-04-05 09:30:00,2696.230769230769,284.6038461538461,284.6769230769231,2570.769230769231,284.353,284.994,284.119,284.6066153846154
2017-04-05 10:00:00,1342.7333333333333,283.9683333333334,284.0516666666666,2620.8333333333335,283.68,284.348,283.527,283.99979999999994
2017-04-05 10:30:00,1663.2,283.265,283.33,1862.5333333333333,283.578,283.637,283.011,283.3129333333334
2017-04-05 11:00:00,1311.1666666666667,284.14166666666665,284.21500000000003,1380.7666666666667,284.317,284.516,283.709,284.1019
2017-04-05 11:30:00,3373.0666666666666,284.93999999999994,285.01166666666666,2567.233333333333,284.969,285.376,284.32,284.95619999999997
2017-04-05 12:00:00,4320.866666666667,284.96666666666664,285.0383333333333,2701.366666666667,285.074,285.44,284.541,284.9982333333334
2017-04-05 12:30:00,1042.4,284.6816666666666,284.75333333333333,1563.1333333333334,284.771,285.139,283.768,284.69089999999994
2017-04-05 13:00:00,1292.2,285.05333333333334,285.1266666666668,2155.0666666666666,284.934,285.358,284.732,285.0492666666666
2017-04-05 13:30:00,924.3666666666667,285.5633333333333,285.6400000000001,1390.9666666666667,285.649,285.813,284.898,285.5456
2017-04-05 14:00:00,1645.5,285.4016666666667,285.4766666666667,1687.7,285.559,285.745,284.887,285.42636666666664
2017-04-05 14:30:00,2288.1,285.4966666666667,285.5666666666666,2996.9666666666667,285.513,285.682,285.013,285.49256666666673
2017-04-05 15:00:00,2119.233333333333,285.2216666666667,285.285,1686.2,285.18,285.641,284.955,285.21593333333345
2017-04-05 15:30:00,1186.8333333333333,284.8583333333333,284.92,2515.366666666667,284.772,285.166,284.485,284.8751666666667
2017-04-06 09:30:00,1478.1538461538462,282.4923076923077,282.5730769230769,2242.153846153846,282.385,282.813,282.199,282.5110769230769
2017-04-06 10:00:00,570.2,282.63000000000005,282.69666666666666,1785.2666666666667,282.56,283.506,282.178,282.57986666666665
2017-04-06 10:30:00,1037.9333333333334,282.62666666666667,282.6916666666666,1687.8,282.575,283.181,282.378,282.66023333333334
2017-04-06 11:00:00,1264.6666666666667,282.3950000000001,282.45,2200.5666666666666,282.329,282.535,281.9890000000001,282.3446666666666
2017-04-06 11:30:00,813.7,282.0566666666667,282.1149999999999,1638.2,281.767,282.342,281.718,281.9976333333333
2017-04-06 12:00:00,1150.5333333333333,280.8833333333333,280.94166666666666,704.3333333333334,280.97900000000004,281.733,280.548,280.96226666666666
2017-04-06 12:30:00,1623.7,280.47166666666664,280.53,759.3666666666667,280.18,281.19,279.983,280.58833333333337
2017-04-06 13:00:00,702.3666666666667,279.93666666666655,279.9933333333333,5084.633333333333,279.92900000000003,280.143,279.87,279.9885333333333
2017-04-06 13:30:00,2221.5,280.0533333333332,280.1066666666667,3385.766666666667,280.282,280.533,279.887,280.1134666666667
2017-04-06 14:00:00,825.5666666666667,281.0566666666667,281.1133333333334,1387.8,281.28,281.466,280.257,281.02453333333335
2017-04-06 14:30:00,1691.9,280.65999999999997,280.72666666666663,714.4666666666667,280.03700000000003,281.385,279.993,280.6734666666667
2017-04-06 15:00:00,3881.5666666666666,281.36666666666673,281.4433333333333,1305.3333333333333,281.135,282.575,280.067,281.4183666666667
2017-04-06 15:30:00,1823.6,280.90166666666664,280.96666666666675,2492.4,280.25,281.701,280.25,280.95543333333336
2017-04-07 09:30:00,785.3846153846154,281.2192307692308,281.28846153846155,2908.230769230769,281.57,281.764,280.563,281.17538461538464
2017-04-07 10:00:00,974.9666666666667,282.0233333333333,282.0833333333333,2174.1666666666665,281.85,282.905,281.068,281.9662666666666
2017-04-07 10:30:00,1275.7666666666667,281.38,281.4483333333333,2971.8333333333335,281.088,282.307,280.284,281.30353333333335
2017-04-07 11:00:00,1920.0333333333333,280.5166666666666,280.5733333333332,4068.366666666667,279.92400000000004,281.1,279.806,280.5165
2017-04-07 11:30:00,2176.866666666667,279.53833333333324,279.59499999999997,8570.4,279.405,279.915,279.171,279.5101666666667
2017-04-07 12:00:00,1350.1,278.85999999999996,278.925,2880.733333333333,278.482,279.254,278.243,278.78953333333334
2017-04-07 12:30:00,2158.7,278.0733333333332,278.12666666666667,21593.833333333332,277.879,278.737,277.69,278.0474666666667
2017-04-07 13:00:00,4468.866666666667,277.9166666666666,277.975,22364.766666666666,277.97700000000003,277.98,277.688,277.9156
2017-04-07 13:30:00,3135.8333333333335,277.9399999999999,277.9916666666667,44942.73333333333,277.948,277.997,277.858,277.94443333333334
2017-04-07 14:00:00,6010.333333333333,277.94666666666654,278.0,38103.066666666666,277.938,277.975,277.934,277.9572666666666
2017-04-07 14:30:00,1698.1666666666667,278.375,278.4466666666667,2005.0333333333333,278.142,278.939,277.974,278.4035333333333
2017-04-07 15:00:00,1940.6666666666667,278.0033333333333,278.1050000000001,2648.5333333333333,277.849,278.337,277.368,278.0266666666667
2017-04-07 15:30:00,1552.6333333333334,277.3133333333334,277.39166666666665,8051.2,277.901,278.034,275.934,277.31313333333327
2017-04-10 09:30:00,1791.0,277.8,277.8807692307692,2881.230769230769,277.158,278.565,277.026,277.7416923076923
2017-04-10 10:00:00,1995.5,277.4616666666667,277.52166666666665,1326.8,277.933,277.968,277.01,277.47646666666674
2017-04-10 10:30:00,2248.6,277.47333333333336,277.5416666666667,1647.5666666666666,276.575,278.10400000000004,276.575,277.47583333333336
2017-04-10 11:00:00,1721.2333333333333,276.655,276.7133333333333,2024.3,276.759,277.075,276.238,276.6649
2017-04-10 11:30:00,1904.7,277.48833333333334,277.54333333333335,2144.4333333333334,277.513,277.903,276.81,277.50910000000005
2017-04-10 12:00:00,1423.9666666666667,277.9266666666666,277.9899999999999,2503.733333333333,277.831,278.464,277.559,277.9548999999999
2017-04-10 12:30:00,1638.4,277.81499999999994,277.87666666666667,1749.1,278.007,278.116,277.657,277.88753333333335
2017-04-10 13:00:00,1684.1,278.0666666666667,278.1183333333334,1332.7333333333333,277.935,278.331,277.855,278.10299999999995
2017-04-10 13:30:00,1456.3333333333333,277.61499999999995,277.685,1900.7333333333333,277.528,278.096,277.13,277.6663666666667
2017-04-10 14:00:00,1936.2,277.5933333333333,277.66,1492.8333333333333,277.849,277.97700000000003,277.339,277.6669
2017-04-10 14:30:00,2997.0666666666666,277.87,277.9383333333333,48270.23333333333,277.861,278.063,277.668,277.8833
2017-04-10 15:00:00,4337.066666666667,278.0283333333334,278.1283333333332,58767.8,277.47700000000003,278.499,277.47700000000003,278.0716666666667
2017-04-10 15:30:00,2851.0333333333333,277.62166666666667,277.6916666666666,1353.4,277.819,277.85200000000003,277.444,277.6656666666667
2017-04-11 09:30:00,1141.2307692307693,278.33076923076925,278.4,2456.3076923076924,278.122,278.637,278.122,278.31476923076923
2017-04-11 10:00:00,900.3666666666667,279.0033333333333,279.075,2090.233333333333,280.686,280.906,277.827,278.9893333333334
2017-04-11 10:30:00,1662.4666666666667,280.66333333333336,280.72999999999996,3720.266666666667,280.462,281.193,280.30400000000003,280.6408333333333
