,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP
2017-03-31 09:30:00,959.6923076923077,235.25769230769234,235.41153846153844,630.6153846153846,235.005,235.731,234.80900000000003,235.35861538461538
2017-03-31 10:00:00,623.0666666666667,235.08166666666665,235.19,570.6333333333333,235.267,235.588,234.759,235.1668
2017-03-31 10:30:00,645.6666666666666,236.2516666666667,236.35,813.7333333333333,236.817,236.907,235.342,236.28793333333326
2017-03-31 11:00:00,617.6,236.8116666666667,236.89666666666662,676.8666666666667,236.75,237.065,236.535,236.83953333333338
2017-03-31 11:30:00,567.3,236.82999999999998,236.905,481.26666666666665,236.817,237.234,236.491,236.85453333333334
2017-03-31 12:00:00,690.6,236.80666666666667,236.89166666666668,1210.9666666666667,236.888,237.11,236.666,236.82946666666666
2017-03-31 12:30:00,899.0,236.86000000000004,236.94833333333335,616.3666666666667,236.978,237.2,236.686,236.85766666666666
2017-03-31 13:00:00,858.3666666666667,237.02833333333345,237.12333333333325,941.6333333333333,237.039,237.204,236.948,237.06006666666664
2017-03-31 13:30:00,605.3666666666667,237.08500000000006,237.14499999999992,506.7,237.145,237.21400000000003,236.955,237.0891666666667
2017-03-31 14:00:00,239.33333333333334,236.8483333333333,236.925,401.1,236.675,237.229,236.405,236.85063333333335
2017-03-31 14:30:00,668.1,236.7199999999999,236.82333333333327,768.7333333333333,236.807,237.414,236.546,236.78109999999998
2017-03-31 15:00:00,571.9333333333333,236.79333333333338,236.88999999999996,989.2333333333333,236.866,237.182,236.173,236.81729999999996
2017-03-31 15:30:00,798.1,236.58833333333328,236.6550000000001,871.7333333333333,237.009,237.116,235.879,236.59443333333334
2017-04-03 09:30:00,899.0,241.0269230769231,241.17692307692306,404.46153846153845,240.941,241.711,240.457,241.14115384615386
2017-04-03 10:00:00,1835.6,240.815,240.90833333333333,450.26666666666665,241.105,241.162,240.586,240.89046666666664
2017-04-03 10:30:00,801.5,240.7216666666667,240.83333333333331,1011.4333333333333,240.828,241.062,240.526,240.7447999999999
2017-04-03 11:00:00,722.3,240.70999999999998,240.79833333333332,439.93333333333334,240.707,240.855,240.545,240.72110000000004
2017-04-03 11:30:00,346.6666666666667,240.80166666666665,240.8916666666667,436.9,240.876,241.113,240.628,240.83360000000002
2017-04-03 12:00:00,1528.8666666666666,240.51833333333335,240.61666666666673,554.4666666666667,240.273,240.859,240.267,240.5969
