,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP
2017-03-31 09:30:00,1083.1538461538462,140.16153846153844,140.2346153846154,3200.3846153846152,139.925,140.597,139.903,140.21446153846153
2017-03-31 10:00:00,1823.9,140.06,140.15,1652.4,139.857,140.362,139.846,140.11263333333335
2017-03-31 10:30:00,1100.9,139.9466666666667,140.02666666666667,2835.9333333333334,139.778,140.174,139.778,139.94546666666668
2017-03-31 11:00:00,745.4666666666667,139.8716666666667,139.94,1961.2333333333333,139.819,139.98,139.76,139.86426666666665
2017-03-31 11:30:00,1403.7666666666667,139.98500000000004,140.06499999999997,4031.9333333333334,140.178,140.285,139.721,139.98533333333336
2017-03-31 12:00:00,1170.4,140.24833333333336,140.31666666666666,2584.266666666667,140.218,140.47299999999998,140.085,140.23173333333335
2017-03-31 12:30:00,1858.5333333333333,140.82999999999998,140.90000000000003,1735.9666666666667,141.562,141.569,140.257,140.806
2017-03-31 13:00:00,2439.1,141.88333333333333,141.95166666666668,1479.7,141.92700000000005,142.22299999999996,141.596,141.87389999999996
2017-03-31 13:30:00,1835.3666666666666,141.87333333333336,141.94,2344.0333333333333,141.83700000000005,141.982,141.74200000000005,141.87030000000001
2017-03-31 14:00:00,1608.5,141.79166666666663,141.85,1807.1333333333334,141.736,142.033,141.457,141.78656666666666
2017-03-31 14:30:00,1180.9333333333334,141.60333333333335,141.67,2262.0666666666666,141.22299999999996,141.96,141.014,141.59323333333333
2017-03-31 15:00:00,1947.8,141.07000000000005,141.12833333333336,2709.766666666667,140.789,141.296,140.752,141.07543333333336
2017-03-31 15:30:00,915.9333333333333,140.65833333333336,140.755,1574.2,140.589,140.94799999999995,140.41299999999998,140.6938333333333
2017-04-03 09:30:00,1057.3846153846155,141.26923076923077,141.36538461538458,1315.0,141.24200000000005,141.575,141.006,141.26238461538463
2017-04-03 10:00:00,1812.9,141.20333333333335,141.28666666666672,1139.6,141.215,141.658,140.85399999999996,141.24993333333336
2017-04-03 10:30:00,867.9666666666667,141.37,141.44833333333332,870.2333333333333,141.42,141.49,141.255,141.39766666666668
2017-04-03 11:00:00,1279.0666666666666,141.39333333333337,141.495,1147.2666666666667,141.421,141.592,141.30700000000004,141.42363333333336
2017-04-03 11:30:00,1248.6666666666667,141.40666666666667,141.505,1824.7666666666667,141.259,141.52200000000005,141.259,141.42633333333333
2017-04-03 12:00:00,1258.4666666666667,141.3366666666667,141.41500000000002,2172.5333333333333,141.297,141.428,141.27700000000004,141.34786666666668
2017-04-03 12:30:00,1717.2333333333333,141.3650000000001,141.45666666666665,1713.9666666666667,141.373,141.537,141.282,141.3787
2017-04-03 13:00:00,1123.2333333333333,141.38833333333335,141.485,2102.8,141.375,141.505,141.264,141.4025
2017-04-03 13:30:00,1164.3333333333333,141.36833333333334,141.46166666666667,1525.7666666666667,141.315,141.501,141.298,141.39356666666666
2017-04-03 14:00:00,1182.9666666666667,141.29833333333332,141.37,903.7333333333333,141.254,141.395,141.222,141.3096
2017-04-03 14:30:00,2266.3,141.08333333333334,141.16999999999996,1376.9333333333334,140.936,141.369,140.876,141.15696666666665
2017-04-03 15:00:00,2218.9666666666667,140.83499999999998,140.90833333333333,1516.0333333333333,140.888,141.039,140.713,140.8810333333333
2017-04-03 15:30:00,1762.5666666666666,141.0566666666667,141.13333333333333,1807.2666666666667,140.92700000000005,141.246,140.89,141.10013333333333
2017-04-05 09:30:00,836.3846153846154,141.18461538461537,141.2846153846154,1274.2307692307693,141.267,141.47899999999996,140.718,141.21276923076925
2017-04-05 10:00:00,1544.6666666666667,141.14999999999998,141.2466666666667,1425.9,141.35,141.35,141.02200000000005,141.21963333333332
2017-04-05 10:30:00,1344.2666666666667,142.28999999999996,142.36999999999998,1383.9333333333334,143.924,144.088,141.16299999999995,142.2967333333333
2017-04-05 11:00:00,1506.3,144.41833333333332,144.48999999999998,2992.866666666667,144.497,144.648,143.8,144.38843333333335
