,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP
2017-03-31 09:30:00,444.84615384615387,316.83076923076925,316.9923076923077,600.9230769230769,316.176,318.158,316.176,316.8472307692308
2017-03-31 10:00:00,369.5,315.2316666666666,315.41333333333336,747.2666666666667,314.561,317.263,313.337,315.28856666666667
2017-03-31 10:30:00,368.0,314.2233333333333,314.37999999999994,324.06666666666666,313.717,315.226,313.572,314.3069
2017-03-31 11:00:00,388.2,314.41666666666663,314.58,439.4,314.421,314.918,313.677,314.46170000000006
2017-03-31 11:30:00,438.1,314.48499999999996,314.67333333333335,403.73333333333335,315.94,315.94,313.975,314.5375000000001
2017-03-31 12:00:00,577.7,315.7950000000001,315.9433333333333,547.5,315.498,316.409,315.379,315.81716666666665
2017-03-31 12:30:00,440.53333333333336,315.96666666666664,316.1133333333334,706.7666666666667,316.367,316.513,315.568,315.9403
2017-03-31 13:00:00,363.8666666666667,316.4383333333334,316.56833333333344,474.73333333333335,316.438,316.791,316.115,316.4344666666667
2017-03-31 13:30:00,478.4,316.8183333333334,316.9266666666666,593.2666666666667,316.209,318.053,316.183,316.7995333333333
2017-03-31 14:00:00,475.23333333333335,316.0516666666666,316.1783333333333,296.6,316.097,316.822,315.434,316.11476666666664
2017-03-31 14:30:00,321.8666666666667,316.2433333333334,316.4183333333332,307.56666666666666,316.073,316.769,315.741,316.27516666666673
2017-03-31 15:00:00,343.8666666666667,316.045,316.215,555.9,315.384,316.381,315.384,316.02563333333336
2017-03-31 15:30:00,352.23333333333335,314.88,314.9766666666667,1296.2,315.214,315.487,314.29,314.8804333333333
2017-04-03 09:30:00,142.30769230769232,317.5115384615384,317.6461538461538,544.6153846153846,317.875,318.194,316.705,317.4654615384615
2017-04-03 10:00:00,153.73333333333332,316.8283333333333,316.96,635.1666666666666,316.757,318.237,316.022,316.8044333333332
2017-04-03 10:30:00,220.63333333333333,316.53666666666663,316.63666666666666,327.9,316.29,317.132,316.12,316.52933333333334
2017-04-03 11:00:00,269.6333333333333,318.2066666666666,318.33166666666665,453.53333333333336,320.898,321.314,316.772,318.2067333333334
2017-04-03 11:30:00,226.46666666666667,320.23333333333335,320.3716666666667,842.2,320.187,320.83,319.82,320.2831333333334
2017-04-03 12:00:00,321.06666666666666,320.12999999999994,320.2566666666667,570.3666666666667,320.485,320.983,319.759,320.14686666666677
2017-04-03 12:30:00,206.1,321.0683333333334,321.21666666666664,397.3666666666667,321.101,321.439,320.464,321.0697666666667
2017-04-03 13:00:00,218.23333333333332,320.62000000000006,320.73999999999995,329.53333333333336,321.532,321.532,320.2340000000001,320.66659999999996
2017-04-03 13:30:00,350.8666666666667,321.6383333333334,321.73333333333335,306.1,321.242,322.078,321.242,321.5847333333334
2017-04-03 14:00:00,171.9,320.8583333333333,320.97333333333336,688.9333333333333,319.7920000000001,321.755,319.744,320.8730666666667
2017-04-03 14:30:00,473.3333333333333,319.4816666666666,319.64333333333326,284.3333333333333,318.631,320.077,318.499,319.5507666666666
2017-04-03 15:00:00,133.2,318.95500000000004,319.07499999999993,832.4333333333333,319.6790000000001,319.82,318.471,318.9237
2017-04-03 15:30:00,656.4666666666667,319.13,319.2133333333333,336.93333333333334,319.136,319.831,318.548,319.1783
2017-04-05 09:30:00,180.6153846153846,319.6307692307692,319.7692307692308,816.2307692307693,319.826,320.189,319.273,319.6856153846154
2017-04-05 10:00:00,300.23333333333335,319.18833333333333,319.335,532.5333333333333,319.3540000000001,319.84,318.61,319.2355333333334
2017-04-05 10:30:00,141.53333333333333,318.86999999999995,319.01833333333326,351.1,318.764,319.481,318.619,318.8914333333333
2017-04-05 11:00:00,289.3333333333333,318.95000000000005,319.0816666666667,143.2,319.258,319.418,318.7290000000001,318.98246666666665
2017-04-05 11:30:00,226.5,319.21,319.37333333333333,287.3333333333333,319.622,319.64,319.017,319.3426666666666
2017-04-05 12:00:00,216.1,319.10999999999996,319.27666666666676,316.1333333333333,318.744,319.548,318.74,319.1326333333334
2017-04-05 12:30:00,110.1,318.00000000000006,318.1333333333334,417.46666666666664,318.2,318.877,317.559,318.05796666666686
2017-04-05 13:00:00,280.3333333333333,318.3766666666667,318.5716666666667,566.1,318.485,318.961,318.07,318.4519
2017-04-05 13:30:00,408.1,318.2816666666667,318.4733333333333,504.6666666666667,318.022,318.737,317.828,318.3255666666667
2017-04-05 14:00:00,411.56666666666666,318.045,318.2566666666668,341.8333333333333,318.231,318.348,318.067,318.1947333333332
2017-04-05 14:30:00,913.7,318.09000000000003,318.30499999999995,262.4,318.337,318.56,318.126,318.3184999999999
2017-04-05 15:00:00,453.53333333333336,319.97166666666664,320.1316666666667,515.1,321.301,321.672,318.246,320.0623666666667
2017-04-05 15:30:00,199.43333333333334,321.085,321.16833333333335,767.9666666666667,320.633,321.789,320.381,321.04519999999997
2017-04-06 09:30:00,207.15384615384616,320.5692307692307,320.7461538461539,201.07692307692307,322.981,322.981,319.096,320.57599999999996
2017-04-06 10:00:00,379.6333333333333,322.6366666666666,322.83166666666665,340.53333333333336,320.646,324.205,320.646,322.7108666666667
2017-04-06 10:30:00,983.1,319.60833333333323,319.75500000000005,321.2,319.055,321.035,318.812,319.76453333333325
2017-04-06 11:00:00,332.8,320.0366666666667,320.19166666666666,631.7,321.521,321.556,318.991,320.1016666666667
2017-04-06 11:30:00,256.7,322.3866666666666,322.53000000000003,1007.1666666666666,324.263,324.414,321.46,322.42573333333337
2017-04-06 12:00:00,331.1666666666667,324.81166666666667,324.94666666666666,714.9666666666667,327.259,327.56,323.206,324.84580000000005
2017-04-06 12:30:00,284.03333333333336,328.56999999999994,328.635,792.2333333333333,328.589,329.04,327.773,328.51360000000005
2017-04-06 13:00:00,289.76666666666665,329.6499999999999,329.74,987.8666666666667,329.288,331.151,328.5490000000001,329.6280666666666
2017-04-06 13:30:00,167.7,330.3533333333333,330.4433333333333,636.7666666666667,330.462,331.606,329.289,330.3753333333333
2017-04-06 14:00:00,244.63333333333333,330.33,330.43833333333333,380.1,330.976,331.156,329.51,330.37913333333347
2017-04-06 14:30:00,197.06666666666666,329.64666666666676,329.74833333333333,301.2,329.175,330.911,328.75,329.6931333333333
2017-04-06 15:00:00,423.46666666666664,330.6833333333333,330.795,725.5333333333333,333.617,333.617,329.273,330.66023333333334
2017-04-06 15:30:00,374.6,334.00666666666655,334.09833333333336,455.6,334.0080000000001,334.6380000000001,333.14,334.04419999999993
2017-04-07 09:30:00,404.84615384615387,336.36153846153854,336.4730769230769,724.4615384615385,338.0080000000001,338.461,334.514,336.35484615384615
2017-04-07 10:00:00,607.5666666666667,341.56166666666667,341.71833333333325,709.6,342.652,344.136,338.0490000000001,341.6014333333333
2017-04-07 10:30:00,486.6666666666667,339.62500000000006,339.7433333333333,1250.3333333333333,338.706,342.117,337.556,339.62696666666676
2017-04-07 11:00:00,568.3333333333334,337.6433333333334,337.77000000000004,221.36666666666667,337.06,339.213,337.06,337.7444666666667
2017-04-07 11:30:00,329.56666666666666,334.6666666666667,334.8116666666666,271.1,334.102,336.665,333.485,334.72563333333346
2017-04-07 12:00:00,505.46666666666664,335.47999999999996,335.59833333333324,653.4666666666667,336.223,336.587,334.085,335.4675333333334
2017-04-07 12:30:00,553.2666666666667,337.8166666666666,337.93500000000006,423.1666666666667,337.112,338.63,336.581,337.76643333333334
2017-04-07 13:00:00,481.3333333333333,338.20166666666665,338.3183333333334,552.3666666666667,339.2680000000001,340.022,336.853,338.13643333333334
2017-04-07 13:30:00,516.9,339.1016666666666,339.2300000000001,233.36666666666667,338.737,340.0080000000001,338.471,339.21646666666663
2017-04-07 14:00:00,691.2333333333333,338.2083333333333,338.31666666666666,298.3333333333333,337.981,338.7680000000001,337.8640000000001,338.28846666666664
2017-04-07 14:30:00,728.6333333333333,337.96333333333337,338.1366666666667,564.8,337.522,338.451,336.958,337.94533333333334
2017-04-07 15:00:00,458.7,337.04999999999995,337.1433333333333,962.2,335.841,338.0019999999999,335.612,337.02926666666673
2017-04-07 15:30:00,439.73333333333335,335.43833333333333,335.5716666666666,886.4,336.475,336.816,333.598,335.45806666666664
2017-04-10 09:30:00,486.46153846153845,336.1,336.35,185.23076923076923,334.55800000000005,338.723,333.8540000000001,336.21792307692306
2017-04-10 10:00:00,445.03333333333336,334.5316666666667,334.7233333333333,270.43333333333334,336.298,336.298,333.145,334.60510000000005
2017-04-10 10:30:00,694.0333333333333,336.0600000000001,336.25333333333333,353.4,334.617,338.69199999999995,334.52,336.15860000000004
2017-04-10 11:00:00,329.0,335.1416666666667,335.34166666666664,390.56666666666666,335.435,335.6269999999999,334.636,335.23650000000004
2017-04-10 11:30:00,140.83333333333334,335.2683333333334,335.4316666666667,227.6,334.46,335.865,334.46,335.28326666666663
2017-04-10 12:00:00,252.26666666666668,334.1216666666667,334.29499999999996,338.8666666666667,334.11,334.547,333.6740000000001,334.21993333333353
2017-04-10 12:30:00,287.7,333.8316666666667,333.97333333333336,522.0,334.112,334.2,333.722,333.9427666666667
2017-04-10 13:00:00,146.86666666666667,333.01,333.13500000000005,806.7,332.331,334.733,330.759,333.0376666666667
2017-04-10 13:30:00,186.7,332.35333333333335,332.5050000000001,281.4,332.11,333.69699999999995,331.505,332.3750666666667
2017-04-10 14:00:00,275.43333333333334,332.53666666666663,332.7633333333334,327.6333333333333,332.681,333.0180000000001,332.134,332.5898
2017-04-10 14:30:00,483.93333333333334,333.6450000000001,333.83833333333325,367.4,333.816,334.33,332.82199999999995,333.77046666666666
2017-04-10 15:00:00,714.2666666666667,335.2283333333333,335.39833333333326,364.3,336.125,336.287,333.6790000000001,335.3799333333333
2017-04-10 15:30:00,881.3333333333334,337.93666666666667,338.0833333333333,787.6666666666666,337.564,340.175,336.422,338.034
2017-04-11 09:30:00,1452.7692307692307,336.973076923077,337.15,191.46153846153845,337.13199999999995,338.19699999999995,336.172,337.19607692307693
2017-04-11 10:00:00,377.73333333333335,337.78166666666664,337.9166666666667,758.8,337.875,338.515,337.209,337.77043333333336
2017-04-11 10:30:00,693.7,336.64166666666665,336.8383333333333,759.4,336.8930000000001,337.626,336.24300000000005,336.7574666666667
2017-04-11 11:00:00,607.0333333333333,336.86499999999995,337.0849999999999,522.7333333333333,337.256,337.837,336.656,337.06273333333337
2017-04-11 11:30:00,609.2666666666667,337.155,337.345,296.6333333333333,336.592,338.17,336.532,337.3897999999999
2017-04-11 12:00:00,989.0333333333333,336.20166666666665,336.34166666666664,227.9,336.601,337.036,335.869,336.40933333333334
2017-04-11 12:30:00,572.6333333333333,336.3266666666666,336.4849999999999,446.8,335.861,337.089,335.861,336.5415333333333
2017-04-11 13:00:00,512.2,334.9666666666666,335.14,373.3333333333333,335.427,335.838,333.957,335.18126666666666
2017-04-11 13:30:00,354.7,335.25666666666655,335.4016666666667,1347.9333333333334,335.44,335.719,335.043,335.3287000000001
2017-04-11 14:00:00,259.56666666666666,334.71333333333325,334.8866666666667,614.4333333333333,334.477,335.307,334.3280000000001,334.7626333333333
2017-04-11 14:30:00,278.93333333333334,334.89166666666677,335.08500000000004,846.2666666666667,335.14,335.391,334.247,334.84139999999996
2017-04-11 15:00:00,208.03333333333333,334.97,335.12333333333333,372.26666666666665,334.952,335.50699999999995,334.4790000000001,334.98310000000004
2017-04-11 15:30:00,526.7333333333333,334.5516666666666,334.65833333333336,380.3666666666667,334.557,335.347,334.125,334.6519666666667
