,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP,totalTradedStockVolume,totalTradedFutureVolume,totalTradedStockValue,totalTradedFutureValue
2017-03-31 09:30:00,502.61538461538464,257.67153846153843,257.7592307692308,1037.076923076923,257.52,258.309,257.4,257.7353076923077,1402674.0,4025000.0,38825318850.0,103203065000.0
2017-03-31 10:00:00,1047.4,257.0516666666667,257.14099999999996,1602.7333333333333,256.668,258.053,256.319,257.0979,2394338.0,7448000.0,66217414980.0,191029177500.0
2017-03-31 10:30:00,1827.8333333333333,256.30433333333326,256.38199999999995,712.7333333333333,256.319,256.634,256.009,256.39006666666666,2798036.0,8830500.0,77333908700.0,226454655000.0
2017-03-31 11:00:00,1012.9,256.318,256.3889999999999,783.7666666666667,256.446,256.566,256.311,256.4134666666667,3086695.0,10013500.0,85286014475.0,256779390000.0
2017-03-31 11:30:00,1365.6,256.5936666666667,256.6623333333333,471.5,256.751,257.194,256.276,256.66636666666665,3508022.0,11987500.0,96912175950.0,307527832500.0
2017-03-31 12:00:00,2265.366666666667,256.50766666666664,256.56399999999996,874.5,256.416,256.911,256.29400000000004,256.5786,3884050.0,13293000.0,107275612895.0,341111295000.0
2017-03-31 12:30:00,1307.5333333333333,256.7406666666665,256.8006666666666,595.8666666666667,256.846,257.218,256.355,256.7173,4247733.0,14521500.0,117312229895.0,372731922500.0
2017-03-31 13:00:00,1839.8,256.52000000000004,256.5810000000001,439.7,256.481,256.773,256.447,256.58500000000004,4542717.0,15365000.0,125445138010.0,394435895000.0
2017-03-31 13:30:00,1582.8333333333333,256.74300000000005,256.8190000000001,852.4,256.97,257.087,256.47900000000004,256.7527666666667,4881165.0,17143000.0,134785923370.0,440318672500.0
2017-03-31 14:00:00,903.0,256.88199999999995,256.9493333333333,1136.2333333333333,256.898,257.365,256.517,256.8942333333333,5259138.0,18648000.0,145228008230.0,479184422500.0
2017-03-31 14:30:00,1849.6666666666667,256.76266666666663,256.84366666666676,983.8,256.546,257.196,256.028,256.78873333333337,5656929.0,20062000.0,156196335200.0,515583040000.0
2017-03-31 15:00:00,1651.1,256.63800000000003,256.70900000000006,869.3333333333334,256.714,257.096,256.431,256.68123333333335,6172066.0,22582000.0,170413710955.0,580679085000.0
2017-03-31 15:30:00,2166.233333333333,255.65099999999995,255.71900000000005,1543.6666666666667,257.278,257.446,254.758,255.71956666666665,8044965.0,26610500.0,221898462475.0,684398837500.0
2017-04-03 09:30:00,1255.6153846153845,256.5853846153846,256.6676923076923,926.5384615384615,255.147,257.71,255.106,256.61846153846153,488621.0,2369500.0,13482973290.0,61106465000.0
2017-04-03 10:00:00,1068.2,255.734,255.82866666666675,987.7,256.067,256.519,255.07,255.81196666666668,1129364.0,5502000.0,31087780825.0,141493100000.0
2017-04-03 10:30:00,1021.4333333333333,255.876,255.95866666666674,965.6333333333333,255.74,256.394,255.567,255.9341,1506995.0,7238000.0,41474650370.0,186182395000.0
2017-04-03 11:00:00,832.4,255.44299999999993,255.51799999999997,882.9666666666667,255.786,255.821,255.157,255.56286666666662,1777455.0,8858500.0,48897762985.0,227739977500.0
2017-04-03 11:30:00,1273.0,255.59400000000002,255.67333333333335,962.8666666666667,256.22900000000004,256.22900000000004,255.354,255.68853333333342,2097422.0,9936500.0,57687087785.0,255428530000.0
2017-04-03 12:00:00,1242.5,255.72133333333332,255.7966666666667,744.9333333333333,255.81,256.251,255.648,255.8212333333333,2217380.0,10461500.0,60984653935.0,268928170000.0
2017-04-03 12:30:00,1109.3,255.64233333333323,255.719,1058.0,255.687,255.976,255.608,255.76516666666666,2409573.0,10864000.0,66264776905.0,279282377500.0
2017-04-03 13:00:00,3897.0333333333333,255.27966666666651,255.33233333333322,849.2333333333333,255.235,255.736,255.202,255.4107666666667,2663682.0,11399500.0,73234347765.0,293047772500.0
2017-04-03 13:30:00,1813.1666666666667,255.12066666666664,255.1903333333333,715.5,255.204,255.579,254.701,255.21160000000003,3049616.0,12082000.0,83814901195.0,310590647500.0
2017-04-03 14:00:00,1507.4333333333334,254.97800000000004,255.03266666666664,784.9666666666667,254.749,255.3,254.749,255.07726666666676,3253765.0,12565000.0,89407913135.0,323003992500.0
2017-04-03 14:30:00,2924.6,254.57333333333338,254.63600000000005,1141.9,254.247,254.866,254.156,254.67773333333332,3709293.0,13412000.0,101865207645.0,344728860000.0
2017-04-03 15:00:00,2169.133333333333,253.68266666666665,253.76200000000003,1501.2333333333333,253.453,254.583,253.035,253.81166666666675,4646070.0,15662500.0,127397502680.0,402274110000.0
2017-04-03 15:30:00,1483.2,253.7566666666667,253.8256666666667,1034.1,254.063,254.27,253.18,253.82216666666673,5738280.0,18396000.0,157183294810.0,472306135000.0
2017-04-05 09:30:00,1437.6153846153845,254.68846153846152,254.7723076923077,2025.6153846153845,254.883,255.463,253.903,254.77130769230766,603499.0,2387000.0,16522980120.0,61315852500.0
2017-04-05 10:00:00,1700.1,254.66666666666669,254.76399999999998,2135.6666666666665,254.607,255.431,254.307,254.7714333333333,1429239.0,5862500.0,39125892035.0,150656590000.0
2017-04-05 10:30:00,1599.3666666666666,254.64733333333336,254.72299999999998,1627.4333333333334,255.191,255.303,254.296,254.75053333333338,2017734.0,7987000.0,55234106590.0,205300865000.0
2017-04-05 11:00:00,1847.8333333333333,254.72,254.79000000000002,688.0666666666667,254.406,255.192,254.406,254.8318333333333,2351516.0,9250500.0,64370690435.0,237803020000.0
2017-04-05 11:30:00,1300.0,254.69599999999994,254.75133333333332,1749.2666666666667,254.456,254.813,254.421,254.71776666666665,2604547.0,10384500.0,71293998215.0,266949935000.0
