,Bid Volume,Bid Price,Ask Price,Ask Volume,stockVWAP Last,stockVWAP High,stockVWAP Low,stockVWAP,totalTradedStockVolume,totalTradedFutureVolume,totalTradedStockValue,totalTradedFutureValue
2017-03-31 09:30:00,2047.8461538461538,163.99615384615385,164.0730769230769,836.5384615384615,164.24,164.398,163.688,164.08030769230768,116071.0,448000.0,1902717945.0,7388680000.0
2017-03-31 10:00:00,1251.3333333333333,163.97333333333336,164.045,1039.7666666666667,164.542,164.542,163.613,164.0342333333333,342190.0,1256000.0,5610417205.0,20712360000.0
2017-03-31 10:30:00,1045.0333333333333,164.09666666666672,164.16166666666666,1052.7333333333333,164.028,164.408,163.99200000000005,164.1217666666667,384103.0,1480000.0,6299150950.0,24412420000.0
2017-03-31 11:00:00,2798.733333333333,163.97166666666666,164.0416666666666,839.9333333333333,163.94099999999997,164.237,163.896,164.01916666666665,446674.0,1692000.0,7325600075.0,27908040000.0
2017-03-31 11:30:00,1589.0,163.91833333333335,163.9883333333333,1193.4666666666667,164.045,164.15599999999995,163.808,163.95046666666667,508309.0,1808000.0,8336144915.0,29819680000.0
2017-03-31 12:00:00,2500.6666666666665,163.99666666666664,164.05500000000004,1403.6666666666667,164.009,164.03599999999997,163.96400000000003,164.0007,564790.0,1880000.0,9262479720.0,31006140000.0
2017-03-31 12:30:00,5333.1,164.18666666666675,164.24999999999994,963.6333333333333,165.043,165.043,163.99400000000003,164.20719999999997,712717.0,2088000.0,11696527430.0,34443580000.0
2017-03-31 13:00:00,1579.0,165.15666666666672,165.21166666666667,1423.8333333333333,165.274,165.30599999999995,164.981,165.13513333333336,931966.0,2460000.0,15320148885.0,40608340000.0
2017-03-31 13:30:00,604.0,165.59999999999997,165.6616666666667,1989.5666666666666,165.708,165.708,165.35,165.5720333333333,1046999.0,2768000.0,17225655810.0,45723640000.0
2017-03-31 14:00:00,1858.4666666666667,165.56166666666667,165.63166666666672,962.9333333333333,165.49200000000005,165.69,165.46599999999995,165.5745,1139645.0,3032000.0,18760019940.0,50107980000.0
