Name,Volatility,Average Trading Price,Average Trading Volume,MarketCap(Cr),P/E ratio,Sector
AGW,0.37442147076394783,101.82834802788324,5167238.961832061,"5,290.01",25.65,IM
AIO,0.3066980388291233,273.4710823605116,11392402.727272727,"1,17,983.74",16.06,M
AUZ,0.3222913785497792,557.1303437583334,4978758.840909091,123000.00,330.40,P
BSN,0.4380681334230288,58.397200452931166,4169723.8257575757,3137.72,17.98,FS
BWU,0.30686186293874157,159.5670859897599,5221811.916666667,31405,22.93,FS
CBT,0.2666281863412587,388.51375902918875,4722988.878787879,"1,68,510.40",80.65,T
CSR,0.250762573632096,161.29538456571356,1882935.7709923664,"4,818.22",1430.30,FS
CUN,0.33283280137651006,135.23845455164516,6713145.371212121,"23,298.72",15.43,FS
CYD,0.3449554278464721,173.5696291748899,3571537.5833333335,"17,422.34",29.6,CG
DCO,0.21006451166691886,81.7864644190264,5087992.75,21868.1,14.17,E
DFZ,0.3330759854532275,647.0254372267772,1414716.8015267176,10515,,A
DVV,0.2834143623946349,562.4155734592871,5632499,69562,25.8,M
DYE,0.29523629896349785,189.78874901637246,2266943.393939394,5026,21.39,FS
EGV,0.2275293910778381,944.484771475079,5620856.404580153,257000,16.96,IT
FCY,0.23360088672429455,277.97583295113463,2151194.465648855,134000,13.83,M
FFA,0.16793551333524667,165.72190161003726,5726046.295454546,"1,41,000",,E
FFS,0.5252855324933939,149.4820354201272,4165193.712121212,"7,800.20",14.73,FS
FKI,0.2088919451088052,568.796225704666,1178546.0303030303,"30,540",234.85,A
FRE,0.3844347197431421,184.80301586609534,11239340.318181818,"38,649",8.94,C
FUR,0.35005570080094084,1146.383528626565,1337302.1297709923,72977,21.42,CG
GFQ,0.25084834098185227,220.32028663042976,1933149.0610687023,18071,,A
GGK,1.6592830803001593,368.8956669566319,2601162.5,131000,16.64,IT
GYJ,0.26164466998969427,944.4878514629985,780273.0378787878,12841,14.69,CG
GYV,0.32078340353333756,823.6387813610249,2924127.4318181816,14796,,FS
HHK,0.9878875413786241,595.9087010550961,3312102.878787879,96681,152.73,E
IES,0.3342767808978778,293.66429605714245,17086311.03053435,193000,55.09,FS
IFL,0.13689588248948548,1680.5959167905569,1496469.1068702291,485000,240.17,FS
ILW,0.18916585735060992,170.85212563288786,7307116.446969697,,,E
IMC,0.17795937688602542,210.4160045927772,4883694.159090909,,,E
IUE,0.44133532134595566,132.199537459168,9759536.900763359,,,M
IUQ,0.6088190022324858,149.7145496408267,10499866.93939394,,,FS
IYU,0.3982169962678839,282.94470504102827,16130371.386363637,,,FS
JSG,0.375033213858323,812.6181914989986,1388344.3863636365,,,ME
JYW,0.5997195452944442,125.8354497924223,8838555.636363637,,,S
KAA,0.2584722418264177,123.02613939042207,2732096.3257575757,,,M
KFW,1.1455271565824774,1410.5433263601412,3682343.0984848486,,,FS
KKG,0.31028807427781363,101.22431984622695,10216360.606060605,,,A
KMV,0.33250283713802503,341.16403244627344,1909644.803030303,,,FS
KRZ,0.2962650803663906,216.27832406895854,10915605.732824428,,,M
LDU,0.22700198944851196,686.110345061815,1595682.3106060605,,,FS
LKB,0.24770061085470313,414.40304788835124,5223459.374045801,,,E
LPQ,0.3083002012197424,59.02159854697958,9083858.534351146,,,FS
MAS,0.1712618728051455,972.001359853304,1951706.6893939395,,,FS
MQK,0.28925854200915135,486.01107999108797,1589506.8257575757,,,C
MUF,0.5581114570532943,150.42466939457768,5311326.106060606,,,FS
